shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates
2,B - A1_J,single_branch_vs_A1_J,pixel_ap,B,A1_J,-0.0251670085257768,-0.0238385696344766,-0.036957327133562826,-0.011778755889515925,1.0,1000
2,C - A1_J,single_branch_vs_A1_J,pixel_ap,C,A1_J,-0.08993974700377433,-0.08943932423484226,-0.11381527787244179,-0.06601723201791208,1.0,1000
2,DUP_J - A1_J,weight_control,pixel_ap,DUP_J,A1_J,-0.0064105917114247735,-0.006558381318803055,-0.012363519120080515,-0.0018196934073490712,0.992,1000
2,DUP_BAL_J - A1_J,weight_control_equivalence,pixel_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_EXPECTED_J - A1_J,weight_control_equivalence,pixel_ap,DUP_EXPECTED_J,A1_J,-0.0064105917114247735,-0.006558381318803055,-0.012363519120080515,-0.0018196934073490712,0.992,1000
2,A1_L - A1_J,relaxation,pixel_ap,A1_L,A1_J,0.006725696929118341,0.007312509673406391,0.001170648978925401,0.0137453944762836,0.011,1000
2,A1_lambda_0.25 - A1_J,relaxation_ladder,pixel_ap,A1_lambda_0.25,A1_J,0.006229316789411188,0.006886518310969634,0.002058417333189981,0.012476496132908335,0.001,1000
2,A1_lambda_0.50 - A1_J,relaxation_ladder,pixel_ap,A1_lambda_0.50,A1_J,0.004985464571131859,0.005713844286363628,0.0022827268195670146,0.010475116109812048,0.0,1000
2,A1_lambda_0.75 - A1_J,relaxation_ladder,pixel_ap,A1_lambda_0.75,A1_J,0.0029274905702131315,0.0036376288940710164,0.0014773164631882232,0.008051936334135961,0.001,1000
2,A1_lambda_0.25 - A1_L,relaxation_vs_L,pixel_ap,A1_lambda_0.25,A1_L,-0.0004963801397071532,-0.000425991362436757,-0.001973208044134811,0.001126889859502436,0.714,1000
2,A1_lambda_0.50 - A1_L,relaxation_vs_L,pixel_ap,A1_lambda_0.50,A1_L,-0.001740232357986482,-0.0015986653870427637,-0.004526011678937447,0.0014641302406698034,0.865,1000
2,A1_lambda_0.75 - A1_L,relaxation_vs_L,pixel_ap,A1_lambda_0.75,A1_L,-0.0037982063589052095,-0.003674880779335375,-0.007954510933289626,0.0006347737067689258,0.958,1000
2,B - A1_J,single_branch_vs_A1_J,image_auroc,B,A1_J,-0.04891436252490644,-0.04863084452821974,-0.06905010654696361,-0.029726259290890605,1.0,1000
2,C - A1_J,single_branch_vs_A1_J,image_auroc,C,A1_J,-0.03414920055326531,-0.035061148900280184,-0.07467871343711317,0.005745868977201533,0.959,1000
2,DUP_J - A1_J,weight_control,image_auroc,DUP_J,A1_J,-0.02310926877283015,-0.022966007438849738,-0.03553604752584968,-0.01157116774748957,1.0,1000
2,DUP_BAL_J - A1_J,weight_control_equivalence,image_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_EXPECTED_J - A1_J,weight_control_equivalence,image_auroc,DUP_EXPECTED_J,A1_J,-0.02310926877283015,-0.022966007438849738,-0.03553604752584968,-0.01157116774748957,1.0,1000
2,A1_L - A1_J,relaxation,image_auroc,A1_L,A1_J,-0.0023536941560148295,-0.002484940621885703,-0.015362138348852214,0.008394972532223715,0.647,1000
2,A1_lambda_0.25 - A1_J,relaxation_ladder,image_auroc,A1_lambda_0.25,A1_J,-0.0011645579723543742,-0.0012701576087737717,-0.013130453292654826,0.008411791995601353,0.589,1000
2,A1_lambda_0.50 - A1_J,relaxation_ladder,image_auroc,A1_lambda_0.50,A1_J,0.002528799619660571,0.002477895730310635,-0.004735114618621592,0.009721767538028326,0.236,1000
2,A1_lambda_0.75 - A1_J,relaxation_ladder,image_auroc,A1_lambda_0.75,A1_J,0.002815048825653199,0.0027713716848422093,-0.0015156789165508416,0.007289966044780572,0.101,1000
2,A1_lambda_0.25 - A1_L,relaxation_vs_L,image_auroc,A1_lambda_0.25,A1_L,0.0011891361836604553,0.0012147830131119313,-0.0032880102900740118,0.005549497451918576,0.28,1000
2,A1_lambda_0.50 - A1_L,relaxation_vs_L,image_auroc,A1_lambda_0.50,A1_L,0.0048824937756754005,0.004962836352196337,-0.002854122663609479,0.013403772997953435,0.105,1000
2,A1_lambda_0.75 - A1_L,relaxation_vs_L,image_auroc,A1_lambda_0.75,A1_L,0.005168742981668029,0.005256312306727912,-0.00485691748073559,0.016265493654957254,0.15,1000
2,B - A1_J,single_branch_vs_A1_J,image_ap,B,A1_J,-0.04218780705987535,-0.03841680880055604,-0.06596798846293789,-0.013224833903933853,0.999,1000
