shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
2,B,bracket_black,0.9413515278841895,0.08668887317216388,0.4434840425531915,0.645781435391509
2,B,bracket_brown,0.8748120893828069,0.03280809937120432,0.44871794871794873,0.6716084853679896
2,B,bracket_white,0.9911986985833038,0.03378584496525214,0.7377777777777778,0.7797227246589292
2,B,connector,0.9761518124294614,0.39505402281935603,0.8095238095238095,0.5677020874225842
2,B,metal_plate,0.9534589088291197,0.7909846048745672,0.9956663055254604,0.998414891716727
2,B,tubes,0.9851297218027081,0.7033492933114378,0.9556159420289855,0.9827321083566111
2,C,bracket_black,0.9541112559057222,0.026543369581949836,0.4607712765957447,0.584680225235579
2,C,bracket_brown,0.9189493351318225,0.029236531903620452,0.5852187028657617,0.7469741393868325
2,C,bracket_white,0.9812711806890096,0.021746982330234504,0.7155555555555555,0.6475108419416291
2,C,connector,0.9696778389653639,0.16749062846191812,0.8238095238095238,0.7049832060170406
2,C,metal_plate,0.9889622039768033,0.9325919120115781,1.0,1.0
2,C,tubes,0.9748163579161168,0.47642488335669547,0.8940217391304348,0.9498426873775734
2,A1_J,bracket_black,0.9535093521542335,0.09204469509478495,0.5219414893617021,0.6690694910861237
2,A1_J,bracket_brown,0.8916535326322839,0.03131348261232321,0.5490196078431373,0.726702181081979
2,A1_J,bracket_white,0.9932983320251833,0.0438835154305927,0.7944444444444444,0.831753640505265
2,A1_J,connector,0.9787622591382661,0.4248105634323212,0.8523809523809524,0.6847029050854792
2,A1_J,metal_plate,0.9776560041939694,0.8688472805185182,1.0,1.0
2,A1_J,tubes,0.9878714326951409,0.732773252580102,0.9664855072463768,0.9868603575147545
2,DUP_J,bracket_black,0.9488892281840616,0.09987594865761648,0.48936170212765956,0.6726087784350852
2,DUP_J,bracket_brown,0.8836845381314938,0.032052589628677214,0.5082956259426847,0.7144690574002321
2,DUP_J,bracket_white,0.9924516298676566,0.03749373815324153,0.7677777777777778,0.8190686900758906
2,DUP_J,connector,0.9779720779334748,0.42147974182630826,0.8261904761904761,0.6419707949055775
2,DUP_J,metal_plate,0.9707651086698889,0.8413996468084897,0.9983748645720477,0.9994048012645513
2,DUP_J,tubes,0.987270527244081,0.7229075743257604,0.9556159420289855,0.9832451258222639
