shot,method,n_categories,macro_pixel_ap,macro_pixel_auroc,macro_image_auroc,macro_image_ap
2,B,6,0.3404451230856636,0.9536837931519315,0.7317976376878623,0.7743269554857249
2,C,6,0.2756723846076661,0.964631362097473,0.7465627996595035,0.7723318499931091
2,A1_J,6,0.3656121316114404,0.9637918188065129,0.7807120002127688,0.8165147625456003
2,DUP_J,6,0.35920153990001563,0.9601721850051095,0.7576027314399386,0.8051278746506001
2,DUP_BAL_J,6,0.3656121316114404,0.9637918188065129,0.7807120002127688,0.8165147625456003
2,DUP_EXPECTED_J,6,0.35920153990001563,0.9601721850051095,0.7576027314399386,0.8051278746506001
2,A1_L,6,0.37233782854055875,0.9675144442394945,0.7783583060567539,0.8240448715683902
2,A1_lambda_0.25,6,0.3718414484008516,0.966888153895756,0.7795474422404144,0.8218419793176227
2,A1_lambda_0.50,6,0.37059759618257226,0.9660467472881495,0.7832407998324293,0.8257340852240636
2,A1_lambda_0.75,6,0.36853962218165354,0.9650101845575914,0.783527049038422,0.8238610651808059
4,B,6,0.3671551189617038,0.963806818496936,0.782449348788829,0.7922082184344884
4,C,6,0.28300103602274096,0.9696050563865977,0.779949994367949,0.7831133500385777
4,A1_J,6,0.39852189015766143,0.9719111233550408,0.8206758833145756,0.8284086939873828
4,DUP_J,6,0.38881918983536784,0.9692847103544354,0.8058402244845216,0.8182780529496378
4,DUP_BAL_J,6,0.39852189015766143,0.9719111233550408,0.8206758833145756,0.8284086939873828
4,DUP_EXPECTED_J,6,0.38881918983536784,0.9692847103544354,0.8058402244845216,0.8182780529496378
4,A1_L,6,0.4056390058488392,0.9753248063722287,0.8224607889203579,0.8401362895940238
4,A1_lambda_0.25,6,0.4044484897944523,0.9747859954607282,0.8224538410583128,0.8376142354663414
4,A1_lambda_0.50,6,0.4033085642451308,0.9740226987902744,0.8222717834692722,0.8335642689694356
4,A1_lambda_0.75,6,0.4012926360507276,0.9730554152880216,0.8222373290560087,0.8314779260471844
