shot,method,metric,n_replicates,n_nan_metric,n_replicates_with_nan_category,max_nan_categories_in_a_replicate
4,DUP_EXPECTED_J,image_ap,1000,0,0,0
4,A1_L,pixel_auroc,1000,0,0,0
4,A1_L,pixel_ap,1000,0,0,0
4,A1_L,image_auroc,1000,0,0,0
4,A1_L,image_ap,1000,0,0,0
4,A1_lambda_0.25,pixel_auroc,1000,0,0,0
4,A1_lambda_0.25,pixel_ap,1000,0,0,0
4,A1_lambda_0.25,image_auroc,1000,0,0,0
4,A1_lambda_0.25,image_ap,1000,0,0,0
4,A1_lambda_0.50,pixel_auroc,1000,0,0,0
4,A1_lambda_0.50,pixel_ap,1000,0,0,0
4,A1_lambda_0.50,image_auroc,1000,0,0,0
4,A1_lambda_0.50,image_ap,1000,0,0,0
4,A1_lambda_0.75,pixel_auroc,1000,0,0,0
4,A1_lambda_0.75,pixel_ap,1000,0,0,0
4,A1_lambda_0.75,image_auroc,1000,0,0,0
4,A1_lambda_0.75,image_ap,1000,0,0,0
4,TRI_L,pixel_auroc,1000,0,0,0
4,TRI_L,pixel_ap,1000,0,0,0
4,TRI_L,image_auroc,1000,0,0,0
4,TRI_L,image_ap,1000,0,0,0
4,TRI_lambda_0.25,pixel_auroc,1000,0,0,0
4,TRI_lambda_0.25,pixel_ap,1000,0,0,0
4,TRI_lambda_0.25,image_auroc,1000,0,0,0
4,TRI_lambda_0.25,image_ap,1000,0,0,0
4,TRI_lambda_0.50,pixel_auroc,1000,0,0,0
4,TRI_lambda_0.50,pixel_ap,1000,0,0,0
4,TRI_lambda_0.50,image_auroc,1000,0,0,0
4,TRI_lambda_0.50,image_ap,1000,0,0,0
4,TRI_lambda_0.75,pixel_auroc,1000,0,0,0
4,TRI_lambda_0.75,pixel_ap,1000,0,0,0
4,TRI_lambda_0.75,image_auroc,1000,0,0,0
4,TRI_lambda_0.75,image_ap,1000,0,0,0
4,BAL_L,pixel_auroc,1000,0,0,0
4,BAL_L,pixel_ap,1000,0,0,0
4,BAL_L,image_auroc,1000,0,0,0
4,BAL_L,image_ap,1000,0,0,0
4,BAL_lambda_0.25,pixel_auroc,1000,0,0,0
4,BAL_lambda_0.25,pixel_ap,1000,0,0,0
4,BAL_lambda_0.25,image_auroc,1000,0,0,0
4,BAL_lambda_0.25,image_ap,1000,0,0,0
4,BAL_lambda_0.50,pixel_auroc,1000,0,0,0
4,BAL_lambda_0.50,pixel_ap,1000,0,0,0
4,BAL_lambda_0.50,image_auroc,1000,0,0,0
4,BAL_lambda_0.50,image_ap,1000,0,0,0
4,BAL_lambda_0.75,pixel_auroc,1000,0,0,0
4,BAL_lambda_0.75,pixel_ap,1000,0,0,0
4,BAL_lambda_0.75,image_auroc,1000,0,0,0
4,BAL_lambda_0.75,image_ap,1000,0,0,0
