shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates,also_listed_as
2,B - A1_J,primary_vs_A1_J,pixel_auroc,B,A1_J,-0.011540447830643119,-0.011530039728337375,-0.013839003229390528,-0.009050317749565457,1.0,1000,
2,S - A1_J,primary_vs_A1_J,pixel_auroc,S,A1_J,-0.0027544299607240585,-0.002769762111733723,-0.00616824938203559,0.00044437833989193165,0.955,1000,
2,C - A1_J,primary_vs_A1_J,pixel_auroc,C,A1_J,-0.0022354477390190697,-0.00229910182475703,-0.006695822288271616,0.0021076448731617388,0.837,1000,
2,TRI_J - A1_J,primary_vs_A1_J,pixel_auroc,TRI_J,A1_J,-0.00035689567560837077,-0.0003693418704426246,-0.0016426549525696665,0.0009184933258926273,0.723,1000,
2,BAL_J - A1_J,primary_vs_A1_J,pixel_auroc,BAL_J,A1_J,0.0022067337147299027,0.0021980860243528775,0.0008607422893321782,0.0035919257609103635,0.0,1000,
2,DUP_J - A1_J,primary_vs_A1_J,pixel_auroc,DUP_J,A1_J,-0.003668426339338504,-0.0036640302421002157,-0.004632508080057404,-0.0026797135611005968,1.0,1000,
2,DUP_BAL_J - A1_J,primary_vs_A1_J,pixel_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,
2,DUP_EXPECTED_J - A1_J,primary_vs_A1_J,pixel_auroc,DUP_EXPECTED_J,A1_J,-0.003668426339338504,-0.0036640302421002157,-0.004632508080057404,-0.0026797135611005968,1.0,1000,
2,A1_L - A1_J,family_lambda,pixel_auroc,A1_L,A1_J,0.0022689266152973175,0.00227290435154953,0.0015133699877968644,0.003059928286093516,0.0,1000,additional_vs_A1_J
2,A1_lambda_0.25 - A1_J,family_lambda,pixel_auroc,A1_lambda_0.25,A1_J,0.001984247451883414,0.00198781939972726,0.001407788616420727,0.002578753661048827,0.0,1000,additional_vs_A1_J
2,A1_lambda_0.50 - A1_J,family_lambda,pixel_auroc,A1_lambda_0.50,A1_J,0.0015042908005943323,0.0015069205893469462,0.0011140940380750335,0.0019122149141428955,0.0,1000,additional_vs_A1_J
2,A1_lambda_0.75 - A1_J,family_lambda,pixel_auroc,A1_lambda_0.75,A1_J,0.0008374682405859479,0.0008387938422379259,0.000640476001559212,0.00104430351168599,0.0,1000,additional_vs_A1_J
2,TRI_L - TRI_J,family_lambda,pixel_auroc,TRI_L,TRI_J,0.0035394021912655838,0.0035505959334128723,0.002661593593852346,0.004464619606376876,0.0,1000,
2,TRI_lambda_0.25 - TRI_J,family_lambda,pixel_auroc,TRI_lambda_0.25,TRI_J,0.0029356746990085725,0.00294523271174544,0.002260471711034895,0.003653723054047883,0.0,1000,
2,TRI_lambda_0.50 - TRI_J,family_lambda,pixel_auroc,TRI_lambda_0.50,TRI_J,0.002133002130389805,0.0021402036006570218,0.0016674326727149664,0.002629529544317341,0.0,1000,
2,TRI_lambda_0.75 - TRI_J,family_lambda,pixel_auroc,TRI_lambda_0.75,TRI_J,0.0011504030069086069,0.0011544257607688203,0.00091661111404992,0.0014009608971577241,0.0,1000,
2,BAL_L - BAL_J,family_lambda,pixel_auroc,BAL_L,BAL_J,0.0035732150161306153,0.003585705150906415,0.002688091043368876,0.004567473687661611,0.0,1000,
2,BAL_lambda_0.25 - BAL_J,family_lambda,pixel_auroc,BAL_lambda_0.25,BAL_J,0.0030333881843369603,0.003044703520586295,0.0023423152472678067,0.003802963609675533,0.0,1000,
2,BAL_lambda_0.50 - BAL_J,family_lambda,pixel_auroc,BAL_lambda_0.50,BAL_J,0.0022440322360522957,0.002252408465027761,0.0017785913084404,0.0027662059512491813,0.0,1000,
