perturbation,config,dataset,seed,shot,n_category_units,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_excludes_zero,ci_family_level,ci_family_low,ci_family_high,ci_family_excludes_zero,n_replicates,direction
input_geometry (common_region - native_frame),controlled_A1_J,mpdd,0,1,2,0.011310973928569043,-0.16592986237925078,-0.35999919838671035,-0.02240857691174286,True,0.9916666666666667,-0.3798920524793104,-0.018679619577469376,True,29,negative
input_geometry (common_region - native_frame),controlled_A1_L,mpdd,0,1,2,0.007854658490479192,-0.19474760585362985,-0.4140367082835242,-0.014904589667111317,True,0.9916666666666667,-0.5199823458982611,-0.008223225760161849,True,29,negative
input_geometry (common_region - native_frame),PatchCore_native_local128,mpdd,0,1,2,0.00017965127036061873,-0.0008715281607468664,-0.0039026279195612237,0.0005777908497900706,False,0.9916666666666667,-0.007144140545526634,0.0006529106719071384,False,50,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,mpdd,0,1,2,7.584447798024418e-05,-0.002000268049746796,-0.004769778263833219,-0.000665867358425607,True,0.9916666666666667,-0.005164465768640878,-0.0004079758680227114,True,50,negative
input_geometry (common_region - native_frame),anomalydino_canvas,mpdd,0,1,2,-0.0009848337736620694,-0.4754931138350202,-0.8115127308588349,-0.1946595290210668,True,0.9916666666666667,-0.9345544997600006,-0.1828038377097753,True,29,negative
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,mpdd,0,1,2,-0.0008393269047650975,-0.46187067007635113,-0.7923031479259048,-0.17554068608108075,True,0.9916666666666667,-0.9169436155834318,-0.1631965908988901,True,29,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,mpdd,0,1,2,,0.0,0.0,0.0,False,0.975,0.0,0.0,False,29,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,mpdd,0,1,2,,-0.013726857277520084,-0.024927593880309427,-0.004054870432175061,True,0.975,-0.027897392762685873,-0.003910618940123581,True,50,negative
