dataset,evaluation_revision,metric,branch,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,n_replicates,effect_scale
mpdd,study,pixel_ap,E1,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.029388958153264966,0.028989850124126817,0.015215145138282116,0.04517368422318386,1000,0.005
mpdd,study,pixel_ap,E1,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0196911839774711,0.01903732721185478,0.005252727280083322,0.035294144409847274,1000,0.005
mpdd,study,pixel_ap,E1,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0202687041075538,0.020060965938052545,0.007896069907302317,0.034855324568002874,1000,0.005
mpdd,study,pixel_ap,E1,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.013297577785056275,0.012591401538866499,0.0005544244962286414,0.02673541385047135,1000,0.005
btad,corrected,pixel_ap,E1,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.04398986370508141,0.043325195837185006,0.028667038075840923,0.057157494590648616,1000,0.005
btad,corrected,pixel_ap,E1,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.03971678019225864,0.03891391676786982,0.025410063025935577,0.05176473391446981,1000,0.005
btad,corrected,pixel_ap,E1,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.025485980415738203,0.024799775590516434,0.009581097025802277,0.03766834407244147,1000,0.005
btad,corrected,pixel_ap,E1,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.023884208785006578,0.023062079635727876,0.00924671894606343,0.03533348251202671,1000,0.005
btad,study,pixel_ap,E1,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.043865061477562806,0.04322943609989724,0.028638048534602046,0.056979794092040854,1000,0.005
btad,study,pixel_ap,E1,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.03978861273320755,0.0390087260364382,0.02538576318477647,0.051721015976427885,1000,0.005
btad,study,pixel_ap,E1,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.025274546945732824,0.02463789683860972,0.009568560706451325,0.037328074947732715,1000,0.005
btad,study,pixel_ap,E1,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.02407252214721235,0.02329915424303033,0.009425933458663568,0.03527362887527306,1000,0.005
