dataset,reference_seed,shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates,multiple_comparison_adjusted
btad,0,2,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,2,DUP_J - A1_J,weight,image_auroc,DUP_J,A1_J,-0.0012640913508259466,-0.0011165851920738087,-0.011396528564675481,0.008385998962345683,0.6,1000,False
btad,0,2,A1_L - DUP_L,weight,image_auroc,A1_L,DUP_L,-0.0028603012633624525,-0.0030345476601831844,-0.009778882575757594,0.0032494406870213514,0.806,1000,False
btad,0,2,A1_L - A1_J,matching,image_auroc,A1_L,A1_J,0.004748785228377073,0.004877470277258628,-0.0073407681168131955,0.0174672601891632,0.199,1000,False
btad,0,2,DUP_L - DUP_J,matching,image_auroc,DUP_L,DUP_J,0.008873177842565472,0.00902860312951562,-0.0017856149655071094,0.021549047210616137,0.054,1000,False
btad,0,2,DUP_BAL_J - A1_J,equivalence_control,image_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,2,DUP_BAL_L - A1_L,equivalence_control,image_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,2,DUP_EXPECTED_J - DUP_J,equivalence_control,image_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,2,DUP_J - A1_J,weight,image_ap,DUP_J,A1_J,-0.0005660509889647836,-0.0005202779396534889,-0.0031207611296989457,0.0016983705093612073,0.677,1000,False
btad,0,2,A1_L - DUP_L,weight,image_ap,A1_L,DUP_L,-0.0006122468777581824,-0.0006612670885151835,-0.002578642598529665,0.001095613773755813,0.788,1000,False
btad,0,2,A1_L - A1_J,matching,image_ap,A1_L,A1_J,0.0009069170637888702,0.0009605250142458425,-0.0015549196481178724,0.0037953704914211457,0.212,1000,False
btad,0,2,DUP_L - DUP_J,matching,image_ap,DUP_L,DUP_J,0.002085214930511836,0.002142070042414515,-0.00045819012735618113,0.006123642438112194,0.055,1000,False
btad,0,2,DUP_BAL_J - A1_J,equivalence_control,image_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,2,DUP_BAL_L - A1_L,equivalence_control,image_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,2,DUP_EXPECTED_J - DUP_J,equivalence_control,image_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_J - A1_J,weight,pixel_auroc,DUP_J,A1_J,-0.0014171573426038364,-0.0014118600727867974,-0.0019460113700744796,-0.0009317429525727397,1.0,1000,False
btad,0,4,A1_L - DUP_L,weight,pixel_auroc,A1_L,DUP_L,0.001679245451106981,0.0016791705230185317,0.0011974509487566315,0.002215088906085344,0.0,1000,False
btad,0,4,A1_L - A1_J,matching,pixel_auroc,A1_L,A1_J,0.001219420304744534,0.0012318817993691722,0.000959950313820504,0.0015148362222889315,0.0,1000,False
btad,0,4,DUP_L - DUP_J,matching,pixel_auroc,DUP_L,DUP_J,0.0009573321962413894,0.0009645713491374378,0.0007260029316139727,0.001207290584728815,0.0,1000,False
btad,0,4,DUP_BAL_J - A1_J,equivalence_control,pixel_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_BAL_L - A1_L,equivalence_control,pixel_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_J - A1_J,weight,pixel_ap,DUP_J,A1_J,-0.01096972065726387,-0.010834920445492302,-0.015519157499019876,-0.006708781117805304,1.0,1000,False
btad,0,4,A1_L - DUP_L,weight,pixel_ap,A1_L,DUP_L,0.013362506813957786,0.013334350028070957,0.009216565728838316,0.0178799608691296,0.0,1000,False
btad,0,4,A1_L - A1_J,matching,pixel_ap,A1_L,A1_J,0.009228610735032894,0.009466247356048051,0.007449464753769866,0.011706781004900954,0.0,1000,False
btad,0,4,DUP_L - DUP_J,matching,pixel_ap,DUP_L,DUP_J,0.006835824578338978,0.006966817773469398,0.005435449189335986,0.008651683811962315,0.0,1000,False
btad,0,4,DUP_BAL_J - A1_J,equivalence_control,pixel_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_BAL_L - A1_L,equivalence_control,pixel_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
