dataset,reference_seed,shot,method,pixel_auroc,pixel_ap,image_auroc,image_ap
btad,0,2,B,0.9567377711613775,0.5550794455029431,0.9090379008746357,0.9799548924201922
btad,0,2,C,0.9438390974369946,0.5011147340060722,0.9002162293488825,0.9806503482984634
btad,0,2,A1_J,0.9605156485343196,0.587497390863827,0.9008595724003887,0.9782381847506508
btad,0,2,A1_L,0.961817867739911,0.5961758122623313,0.9056083576287658,0.9791451018144397
btad,0,2,DUP_J,0.959089623127771,0.575490167136234,0.8995954810495628,0.977672133761686
btad,0,2,DUP_L,0.9600779044448741,0.5816693776567748,0.9084686588921282,0.9797573486921979
btad,0,2,DUP_BAL_J,0.9605156485343196,0.587497390863827,0.9008595724003887,0.9782381847506508
btad,0,2,DUP_BAL_L,0.961817867739911,0.5961758122623313,0.9056083576287658,0.9791451018144397
btad,0,2,DUP_EXPECTED_J,0.959089623127771,0.575490167136234,0.8995954810495628,0.977672133761686
btad,0,2,A1_lambda_0.25,0.96157747091533,0.5943620706113393,0.9051083576287657,0.9790739456669155
btad,0,2,A1_lambda_0.50,0.9612777295649024,0.5923299019623278,0.9020262390670554,0.9782404781173668
btad,0,2,A1_lambda_0.75,0.9609226999367955,0.5900547869666317,0.9002069970845481,0.9779643907649622
btad,0,4,B,0.9571269722482151,0.5630647790792014,0.9107468415937804,0.980990154621743
btad,0,4,C,0.9451078100679864,0.5055712979352363,0.8875894071914481,0.9791149239409802
btad,0,4,A1_J,0.9608783964052111,0.5915886506148851,0.9082363945578231,0.9785428302649757
btad,0,4,A1_L,0.9620978167099556,0.600817261349918,0.9102621477162294,0.9802432068156217
btad,0,4,DUP_J,0.9594612390626073,0.5806189299576212,0.907708211856171,0.9785655364644241
btad,0,4,DUP_L,0.9604185712588487,0.5874547545359602,0.9115109329446064,0.9810694009857002
btad,0,4,DUP_BAL_J,0.9608783964052111,0.5915886506148851,0.9082363945578231,0.9785428302649757
btad,0,4,DUP_BAL_L,0.9620978167099556,0.600817261349918,0.9102621477162294,0.9802432068156217
btad,0,4,DUP_EXPECTED_J,0.9594612390626073,0.5806189299576212,0.907708211856171,0.9785655364644241
btad,0,4,A1_lambda_0.25,0.9618691691773724,0.5988456802917419,0.9102210884353742,0.9798749551119582
btad,0,4,A1_lambda_0.50,0.9615871854197379,0.5966758203764302,0.9097633624878523,0.9794462019152967
btad,0,4,A1_lambda_0.75,0.9612558523432817,0.5942546413950569,0.9103748785228377,0.9791915740535297
btad,1,2,B,0.9580023268027671,0.5568380749852233,0.9101965500485909,0.9785205340188909
btad,1,2,C,0.9440533867119583,0.4991950365826161,0.8831482021379982,0.9763978446961175
btad,1,2,A1_J,0.9616549587765906,0.5878165489894793,0.9117106413994169,0.9791524349438006
btad,1,2,A1_L,0.9626819857588285,0.5951220370450911,0.9137517006802721,0.9793727877985656
btad,1,2,DUP_J,0.9602963848523252,0.5754543897713783,0.9048785228377065,0.9776316526381492
btad,1,2,DUP_L,0.9611492785280733,0.5812973063070722,0.9128350340136054,0.9792203019819354
btad,1,2,DUP_BAL_J,0.9616549587765906,0.5878165489894793,0.9117106413994169,0.9791524349438006
btad,1,2,DUP_BAL_L,0.9626819857588285,0.5951220370450911,0.9137517006802721,0.9793727877985656
btad,1,2,DUP_EXPECTED_J,0.9602963848523252,0.5754543897713783,0.9048785228377065,0.9776316526381492
btad,1,2,A1_lambda_0.25,0.962509598160022,0.5936448171142402,0.9100721574344024,0.9786403902084941
btad,1,2,A1_lambda_0.50,0.9622776539380882,0.591928680879187,0.9064618561710398,0.9779161143145527
btad,1,2,A1_lambda_0.75,0.9619912788091538,0.5899843251278052,0.9103913994169096,0.9789466278090115
btad,1,4,B,0.9591163832711134,0.5545260758044002,0.9134851797862003,0.9800488139421095
btad,1,4,C,0.9448371846472462,0.5047927789814699,0.8858816812439261,0.9779109389587481
btad,1,4,A1_J,0.9627179725203505,0.5884765503423772,0.9124992711370262,0.9798446748872994
btad,1,4,A1_L,0.963456210145371,0.5938660394591075,0.9197198736637513,0.9816761707005881
btad,1,4,DUP_J,0.9614115243430159,0.5745729211460308,0.9110004859086491,0.9792217896466509
btad,1,4,DUP_L,0.9620403268442856,0.5793219808470182,0.917192905733722,0.9808794217727868
btad,1,4,DUP_BAL_J,0.9627179725203505,0.5884765503423772,0.9124992711370262,0.9798446748872994
btad,1,4,DUP_BAL_L,0.963456210145371,0.5938660394591075,0.9197198736637513,0.9816761707005881
btad,1,4,DUP_EXPECTED_J,0.9614115243430159,0.5745729211460308,0.9110004859086491,0.9792217896466509
btad,1,4,A1_lambda_0.25,0.9633479470228836,0.5928386396038252,0.9156377551020408,0.9806347073117095
btad,1,4,A1_lambda_0.50,0.9631851097527634,0.591584094726078,0.9152210884353742,0.9805254157395991
btad,1,4,A1_lambda_0.75,0.9629738542176838,0.5901388621372793,0.9149710884353741,0.9805023700476952
