ablation,dataset,seed,shot,interaction,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_excludes_zero,n_replicates
baseline,mpdd,0,1,I_BAL,0.003460053373353311,0.0038784673998395053,-0.001466147832312944,0.009674132140838043,False,1000
baseline,mpdd,0,2,I_TRI,0.005470497077509073,0.006569486916585829,0.0007832051107060859,0.012667910383139356,True,1000
baseline,mpdd,0,2,I_BAL,0.004778307482131594,0.005679540957065553,0.0011414443306501697,0.011706717984774835,True,1000
baseline,mpdd,0,4,I_TRI,0.009489361957041975,0.007278658944484237,-0.0026028763452039484,0.017161163903259623,False,1000
baseline,mpdd,0,4,I_BAL,0.0032328836673301,0.002637959637933925,-0.006810855378979322,0.010042747529775159,False,1000
baseline,mpdd,0,8,I_TRI,0.01206303493474753,0.010325694431160435,0.0013787891039843657,0.02045316359959222,True,1000
baseline,mpdd,0,8,I_BAL,0.007122006591684771,0.007185738063119322,-0.0012321288930789087,0.01587862081516715,False,1000
baseline,mpdd,1,1,I_TRI,0.004413784961259937,0.003442412195603475,-0.0045959230889744095,0.008166385395540458,False,1000
baseline,mpdd,1,1,I_BAL,0.004584745234716969,0.004338915530016189,-0.0015826122505729885,0.009148689994570006,False,1000
baseline,mpdd,1,2,I_TRI,0.00673575426098566,0.006647758540879199,0.0015390371954110138,0.011554465028216535,True,1000
baseline,mpdd,1,2,I_BAL,0.006096350695019737,0.005609637165157169,0.00068339451827691,0.010451215149150995,True,1000
baseline,mpdd,1,4,I_TRI,0.012774219868761094,0.013006860543777865,0.008094500875743565,0.018988351554990245,True,1000
baseline,mpdd,1,4,I_BAL,0.010601434016520028,0.011022993054124932,0.004880359110617331,0.017297087293713872,True,1000
baseline,mpdd,1,8,I_TRI,0.008019621489234019,0.009338546875461125,0.001970222089710228,0.018975347398365497,True,1000
baseline,mpdd,1,8,I_BAL,0.009299797886265004,0.009787534065102004,0.0016841183936954053,0.019052574553109002,True,1000
ABL_S,btad,0,1,I_TRI,0.002929475870098508,0.003120816001868616,0.00014587005228000884,0.006403119298940684,True,1000
ABL_S,btad,0,1,I_BAL,0.0015773180309855972,0.0018060207817769288,-0.0011682054612522279,0.005076821914538934,False,1000
ABL_S,btad,0,2,I_TRI,0.0004388145187714798,0.0007328733622291841,-0.0020319654613211503,0.0039625072121050875,False,1000
ABL_S,btad,0,2,I_BAL,-0.0006845889878289713,-0.00036988522025477587,-0.0027463435376150615,0.0025496131123232944,False,1000
ABL_S,btad,0,4,I_TRI,-0.0017202602002722722,-0.0014158028454675292,-0.0038315169343525715,0.0012468936091623083,False,1000
ABL_S,btad,0,4,I_BAL,-0.002063153668859452,-0.001681364008598989,-0.004106442728134559,0.001219391094451518,False,1000
ABL_S,btad,0,8,I_TRI,-0.0014088836632362156,-0.001214379279534739,-0.0034389516741943314,0.0009200472949386331,False,1000
ABL_S,btad,0,8,I_BAL,-0.0019973048708515906,-0.0017388607412999679,-0.003990868265371125,0.0004835858681868053,False,1000
ABL_S,btad,1,1,I_TRI,0.004231316324913914,0.004529648240894584,0.002481857404229915,0.007147268697857858,True,1000
ABL_S,btad,1,1,I_BAL,0.0031053586348768203,0.00339069667118015,0.0013309011587181038,0.0060474459296519945,True,1000
ABL_S,btad,1,2,I_TRI,0.00369903949408823,0.004035885798214379,0.0016309877770678079,0.007043281228281262,True,1000
ABL_S,btad,1,2,I_BAL,0.002806310734461248,0.0031466552723062335,0.0008556334179325611,0.006072121492619625,True,1000
ABL_S,btad,1,4,I_TRI,0.0006366355885694119,0.0010082248445079606,-0.0013522465833297605,0.003906453231294613,False,1000
ABL_S,btad,1,4,I_BAL,-0.00024627703414981106,0.00023494101576253157,-0.0023364480988291602,0.003302733567597603,False,1000
ABL_S,btad,1,8,I_TRI,-0.0017808691237891638,-0.0014425641180256473,-0.0034088952044595998,0.0008568682525404346,False,1000
ABL_S,btad,1,8,I_BAL,-0.0017196198662104978,-0.0013694090262941323,-0.0035749453435508474,0.0010278804684169423,False,1000
ABL_S,mpdd,0,1,I_TRI,0.004603057469409033,0.006154284494851597,0.0016617373418878819,0.011717277273502798,True,1000
ABL_S,mpdd,0,1,I_BAL,0.0018270384803897866,0.0019696873619113853,-0.004062088635432614,0.007135944524670306,False,1000
ABL_S,mpdd,0,2,I_TRI,0.0087152177660334,0.009492575002019783,0.0050957053837962065,0.015356623408271134,True,1000
ABL_S,mpdd,0,2,I_BAL,0.0064311116992346595,0.006733825362209641,0.0015514744444466524,0.012286104595855427,True,1000
ABL_S,mpdd,0,4,I_TRI,0.00540852950818016,0.005313315232925596,-0.005176900763789708,0.01324970306542372,False,1000
ABL_S,mpdd,0,4,I_BAL,0.00229801438319599,0.0025584753834914354,-0.00651177334711257,0.010573769623075482,False,1000
ABL_S,mpdd,0,8,I_TRI,0.008686328253960207,0.009560697686244417,0.003524876137821778,0.0167219650082904,True,1000
ABL_S,mpdd,0,8,I_BAL,0.006382164161542914,0.006607088941589406,-0.0005838627074512991,0.014067706139779495,False,1000
ABL_S,mpdd,1,1,I_TRI,0.006387925060730215,0.0061858070797114395,0.0022796997823473822,0.009179142353737405,True,1000
ABL_S,mpdd,1,1,I_BAL,0.005609082940492727,0.005958173284959838,0.002411360285285383,0.009961195900364418,True,1000
ABL_S,mpdd,1,2,I_TRI,0.009129959473805016,0.009295945944224176,0.0056200329555146965,0.013592268773197982,True,1000
ABL_S,mpdd,1,2,I_BAL,0.006944434281335621,0.006759258034558621,0.00199775083196371,0.011344570307622317,True,1000
ABL_S,mpdd,1,4,I_TRI,0.013318367094161732,0.013126648388405496,0.006724978148704253,0.01933040705562211,True,1000
ABL_S,mpdd,1,4,I_BAL,0.01584771159634507,0.015053418267076242,0.009523574852616278,0.021319797077455526,True,1000
ABL_S,mpdd,1,8,I_TRI,0.012089624537304333,0.012423722846595521,0.003991743774605552,0.021534927888227577,True,1000
ABL_S,mpdd,1,8,I_BAL,0.009251873437884583,0.009902346396940601,-0.00021373794422741734,0.019743775538852152,False,1000
ABL_N,btad,0,1,I_TRI,0.0022830009310240706,0.0025160115186037522,-0.0009681997570882614,0.006066747148963144,False,1000
ABL_N,btad,0,1,I_BAL,0.0019078554826886807,0.002181911068012032,-0.0015413802499677878,0.005815111514028637,False,1000
ABL_N,btad,0,2,I_TRI,-0.0010488899114998729,-0.0006568739792223704,-0.003879194310123654,0.003193173714152786,False,1000
ABL_N,btad,0,2,I_BAL,-0.0011213363186630687,-0.0006823763634429098,-0.0039246742072318284,0.003170452798041453,False,1000
ABL_N,btad,0,4,I_TRI,-0.0003197097768106172,-0.00011133432508330687,-0.0030624420781758853,0.0029920278859171543,False,1000
ABL_N,btad,0,4,I_BAL,-0.0005252178428193366,-0.0002722242317241167,-0.0031155504857905826,0.002805293956102158,False,1000
ABL_N,btad,0,8,I_TRI,-0.00022329037084856118,4.215705869357189e-05,-0.002247683624782903,0.0025553817680705887,False,1000
ABL_N,btad,0,8,I_BAL,-0.0002604034252030596,1.14442492286847e-05,-0.0023107423637107882,0.002583906739883956,False,1000
ABL_N,btad,1,1,I_TRI,0.0038483067023670214,0.0041199280042974774,0.0017061914205866982,0.006895015019792521,True,1000
ABL_N,btad,1,1,I_BAL,0.003961755051543503,0.0042148041857592465,0.0018189649734732221,0.006959267108592678,True,1000
ABL_N,btad,1,2,I_TRI,0.004552827147137339,0.004786821901450899,0.0017056794993663723,0.008291834413615376,True,1000
ABL_N,btad,1,2,I_BAL,0.004524316290231756,0.004782080097760174,0.001869656557790443,0.008160951824048742,True,1000
ABL_N,btad,1,4,I_TRI,0.000980653212688365,0.0012764631679558279,-0.0015569146332270133,0.004773679657893908,False,1000
ABL_N,btad,1,4,I_BAL,0.001111109771087082,0.0014435517663030275,-0.0013160935043267012,0.004854659620502521,False,1000
ABL_N,btad,1,8,I_TRI,-0.002142392671704574,-0.0019154502696293427,-0.004507503407959944,0.0008187820912611438,False,1000
ABL_N,btad,1,8,I_BAL,-0.0020061072840515948,-0.0017578979656329597,-0.004341324529557408,0.0010253146215485956,False,1000
ABL_N,mpdd,0,1,I_TRI,0.004743712322281268,0.005109117095415069,0.002643741814446766,0.007701962245694024,True,1000
ABL_N,mpdd,0,1,I_BAL,0.0039016887382367083,0.004400701805813519,0.0006615590895097905,0.007859686961548682,True,1000
ABL_N,mpdd,0,2,I_TRI,0.007403908095437339,0.008186131663404698,0.003060842952419312,0.013781225217428951,True,1000
ABL_N,mpdd,0,2,I_BAL,0.007636904140998546,0.008431289133990248,0.0034074585481176545,0.014234512693161448,True,1000
ABL_N,mpdd,0,4,I_TRI,0.00871418548803593,0.009102411257421662,0.0024815223426611294,0.016413298149214155,True,1000
ABL_N,mpdd,0,4,I_BAL,0.009256473043162516,0.009506835509812071,0.0018264102302609248,0.017558976535425333,True,1000
ABL_N,mpdd,0,8,I_TRI,0.017728506293884227,0.01858134730319019,0.01084809564964018,0.029407434902860075,True,1000
ABL_N,mpdd,0,8,I_BAL,0.017776033112078315,0.018152641426338066,0.01035978813414552,0.029147939815924562,True,1000
ABL_N,mpdd,1,1,I_TRI,0.007649142259319508,0.007946984728338864,0.0053045170374040815,0.010789325702402876,True,1000
ABL_N,mpdd,1,1,I_BAL,0.007639522977190227,0.00795669522814061,0.005366227014727081,0.0109100816610179,True,1000
ABL_N,mpdd,1,2,I_TRI,0.010456489848147899,0.011278020101279321,0.0072823950250742965,0.01672420686492578,True,1000
ABL_N,mpdd,1,2,I_BAL,0.010193197306944735,0.011172997034710143,0.006864134074195588,0.016978323819206817,True,1000
ABL_N,mpdd,1,4,I_TRI,0.015676593399559846,0.016743491257695288,0.009589261920409096,0.02685125645526267,True,1000
ABL_N,mpdd,1,4,I_BAL,0.014669409820929014,0.014715935716603672,0.0067466306981965275,0.02260750611270195,True,1000
ABL_N,mpdd,1,8,I_TRI,0.013353387920829962,0.01471306834438355,0.005173731798514101,0.02909353239356657,True,1000
ABL_N,mpdd,1,8,I_BAL,0.014855037272449023,0.016039985996200542,0.006301175386579156,0.030302022047770213,True,1000
ABL_C,btad,0,1,I_TRI,0.0010976588178598368,0.0012771932331603608,-0.0014217342191044605,0.004425078869176807,False,1000
ABL_C,btad,0,1,I_BAL,-0.0006716527165253616,-0.00039122711700218584,-0.0037006074173185403,0.002990654052804639,False,1000
ABL_C,btad,0,2,I_TRI,-0.0009609990758100428,-0.0006707943321597336,-0.0030141471541662744,0.0023263279364278545,False,1000
ABL_C,btad,0,2,I_BAL,0.001533210154923248,0.002094831915139621,-0.001238783650087985,0.007494055396301535,False,1000
ABL_C,btad,0,4,I_TRI,-0.003063136940412048,-0.002771873155473264,-0.005013086850586686,-0.00037244207074995495,True,1000
ABL_C,btad,0,4,I_BAL,0.0008501172176921257,0.0013953614456959503,-0.0017398186493262535,0.005914103964514837,False,1000
ABL_C,btad,0,8,I_TRI,-0.0025082346466792638,-0.0022648460108709817,-0.004373542223027396,-0.00015484302958899228,True,1000
ABL_C,btad,0,8,I_BAL,-0.002868239772442549,-0.002765801383731952,-0.00483087039263469,-0.0005638144987860588,True,1000
ABL_C,btad,1,1,I_TRI,0.002622733849516279,0.0029196262066263513,0.001064815999430816,0.005359982018387576,True,1000
ABL_C,btad,1,1,I_BAL,0.0023642174361576673,0.0026669098591356358,0.00011343615137294509,0.005932605452435093,True,1000
ABL_C,btad,1,2,I_TRI,0.0021635912730771922,0.0024501550521038077,0.0002984682778057611,0.005149149882299827,True,1000
ABL_C,btad,1,2,I_BAL,0.003284296504469819,0.003673068702159724,0.0006533502176636047,0.008061799484563805,True,1000
ABL_C,btad,1,4,I_TRI,-0.0006033872421193909,-0.00022625680431236496,-0.0023604611965366033,0.002291834710253873,False,1000
ABL_C,btad,1,4,I_BAL,0.001282271191407336,0.001879179875997008,-0.001672190373071211,0.007375987584759437,False,1000
ABL_C,btad,1,8,I_TRI,-0.002571945286003685,-0.0022881531679048014,-0.004227109025498057,-0.00013910238376513094,True,1000
ABL_C,btad,1,8,I_BAL,-0.0025908038628958963,-0.0022733671209522843,-0.0044693128149537265,0.0003191097714648589,False,1000
ABL_C,mpdd,0,1,I_TRI,0.004006271328466426,0.004067639026389577,-0.0011988335173055025,0.00859892335545934,False,1000
ABL_C,mpdd,0,1,I_BAL,0.004072376226677388,0.004176735821746423,-0.0004120133927021399,0.008946842742055578,False,1000
ABL_C,mpdd,0,2,I_TRI,0.005470497077509073,0.006569486916585829,0.0007832051107060859,0.012667910383139356,True,1000
ABL_C,mpdd,0,2,I_BAL,0.006443975641052813,0.006792068515805978,0.0016626944505038026,0.014116354731803058,True,1000
ABL_C,mpdd,0,4,I_TRI,0.009489361957041975,0.007278658944484237,-0.0026028763452039484,0.017161163903259623,False,1000
ABL_C,mpdd,0,4,I_BAL,-0.0008573023366209576,-0.000716261921700945,-0.010204781197845467,0.006264732685738936,False,1000
ABL_C,mpdd,0,8,I_TRI,0.01206303493474753,0.010325694431160435,0.0013787891039843657,0.02045316359959222,True,1000
ABL_C,mpdd,0,8,I_BAL,0.004298983168049442,0.004677747699332048,-0.001327875050903711,0.010761468486677585,False,1000
ABL_C,mpdd,1,1,I_TRI,0.004413784961259937,0.003442412195603475,-0.0045959230889744095,0.008166385395540458,False,1000
ABL_C,mpdd,1,1,I_BAL,0.0031040573801348614,0.002594779429516942,-0.0037007000886301778,0.007818431951646491,False,1000
ABL_C,mpdd,1,2,I_TRI,0.00673575426098566,0.006647758540879199,0.0015390371954110138,0.011554465028216535,True,1000
ABL_C,mpdd,1,2,I_BAL,0.0031293697250313612,0.0029514078428804326,-0.0018602841612274466,0.00724277872272665,False,1000
ABL_C,mpdd,1,4,I_TRI,0.012774219868761094,0.013006860543777865,0.008094500875743565,0.018988351554990245,True,1000
ABL_C,mpdd,1,4,I_BAL,0.011429182711806651,0.01117552894871092,0.0037546907515894593,0.019877468783330736,True,1000
ABL_C,mpdd,1,8,I_TRI,0.008019621489234019,0.009338546875461125,0.001970222089710228,0.018975347398365497,True,1000
ABL_C,mpdd,1,8,I_BAL,0.008704831457157891,0.009804057252593416,0.0008369406903493339,0.019631083007400473,True,1000
