ablation,dataset,seed,shot,interaction,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_excludes_zero,n_replicates
baseline,btad,0,1,I_TRI,0.0010976588178598368,0.0012771932331603608,-0.0014217342191044605,0.004425078869176807,False,1000
baseline,btad,0,1,I_BAL,-0.00013389290097365336,1.715529771584934e-05,-0.002674909424098597,0.002949761849259328,False,1000
baseline,btad,0,2,I_TRI,-0.0009609990758100428,-0.0006707943321597336,-0.0030141471541662744,0.0023263279364278545,False,1000
baseline,btad,0,2,I_BAL,-0.0018331303082177453,-0.0015283069331203398,-0.003733588150598013,0.0010118180287315146,False,1000
baseline,btad,0,4,I_TRI,-0.003063136940412048,-0.002771873155473264,-0.005013086850586686,-0.00037244207074995495,True,1000
baseline,btad,0,4,I_BAL,-0.0032014824362269767,-0.0028978273774955595,-0.004955507038040027,-0.0006208163020950036,True,1000
baseline,btad,0,8,I_TRI,-0.0025082346466792638,-0.0022648460108709817,-0.004373542223027396,-0.00015484302958899228,True,1000
baseline,btad,0,8,I_BAL,-0.002902613885876204,-0.002734957691657974,-0.0047350515639591525,-0.000599287109057864,True,1000
baseline,btad,1,1,I_TRI,0.002622733849516279,0.0029196262066263513,0.001064815999430816,0.005359982018387576,True,1000
baseline,btad,1,1,I_BAL,0.0016766537356673883,0.0019972979322593833,0.00012714620826133913,0.004307695911739775,True,1000
baseline,btad,1,2,I_TRI,0.0021635912730771922,0.0024501550521038077,0.0002984682778057611,0.005149149882299827,True,1000
baseline,btad,1,2,I_BAL,0.0012872562483674521,0.001601297191282062,-0.00046323921420689143,0.004147829103730102,False,1000
baseline,btad,1,4,I_TRI,-0.0006033872421193909,-0.00022625680431236496,-0.0023604611965366033,0.002291834710253873,False,1000
baseline,btad,1,4,I_BAL,-0.0015451912035752136,-0.0010751379041511603,-0.0033106431929839247,0.0015442202647132721,False,1000
baseline,btad,1,8,I_TRI,-0.002571945286003685,-0.0022881531679048014,-0.004227109025498057,-0.00013910238376513094,True,1000
baseline,btad,1,8,I_BAL,-0.00269873531934961,-0.0023658839609056875,-0.004389724766924291,-0.00024391856589233446,True,1000
baseline,mpdd,0,1,I_TRI,0.004006271328466426,0.004067639026389577,-0.0011988335173055025,0.00859892335545934,False,1000
