ablation,dataset,interaction,n_conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_excludes_zero,same_sign_as_single_condition,n_conditions_same_sign_as_mean,n_conditions_excluding_zero_95,archived_single_point_delta,recomputed_single_point_delta,archived_vs_recomputed_abs_delta
baseline,btad,I_TRI,8,-0.0004779649063213903,-0.00019686862235382825,-0.0019227731265864213,0.001922059450874149,False,False,5,5,0.0010976630059693255,0.0010976588178598368,4.188109488769201e-09
baseline,btad,I_BAL,8,-0.0011688920087730703,-0.0008732954307591785,-0.002577840629952031,0.001094660308100416,False,True,6,4,-0.00013389291130783132,-0.00013389290097365336,1.0334177957815882e-11
baseline,mpdd,I_TRI,8,0.007871568234750714,0.007584632184292718,0.0032616431916203553,0.011670310379047005,True,True,8,5,0.00400627209515075,0.004006271328466426,7.666843236664445e-10
baseline,mpdd,I_BAL,8,0.006146947368377689,0.006267598234044825,0.0025153624183449925,0.009805319551617285,True,True,8,4,0.003460093216257024,0.003460053373353311,3.984290371282853e-08
ABL_S,btad,I_TRI,8,0.0008781586011429865,0.001169337750585851,-0.000743992423605735,0.003506659076985602,False,True,5,3,0.002929476491829286,0.002929475870098508,6.217307779721182e-10
ABL_S,btad,I_BAL,8,9.725537155291786e-05,0.00042734934307224725,-0.0015581359184248097,0.0028353525537945746,False,True,3,2,0.0015773180309854862,0.0015773180309855972,1.1102230246251565e-16
ABL_S,mpdd,I_TRI,8,0.008542376145448012,0.008944124584372255,0.005296519355576426,0.012671681273664586,True,True,8,7,0.004603058031506776,0.004603057469409033,5.620977424833362e-10
ABL_S,mpdd,I_BAL,8,0.006823928872552669,0.006942784129092146,0.0033934005351730803,0.010473173014808235,True,True,8,4,0.001827038367398588,0.0018270384803897866,1.1299119864575935e-10
ABL_N,btad,I_TRI,8,0.0009913131577941464,0.0012572153846333136,-0.0010016349461901097,0.0037617493921489617,False,True,4,2,0.0022830018767501605,0.0022830009310240706,9.457260898883268e-10
ABL_N,btad,I_BAL,8,0.0009489964656017452,0.0012401616007828972,-0.0010144125542403174,0.0037691338970275096,False,True,4,2,0.001907867911380719,0.0019078554826886807,1.2428692038437064e-08
ABL_N,mpdd,I_TRI,8,0.010715740703436998,0.01145757146889108,0.00803391374200651,0.015821895387678624,True,True,8,8,0.0047437131297197975,0.004743712322281268,8.074385292322628e-10
ABL_N,mpdd,I_BAL,8,0.010741033301498636,0.011297135231451108,0.007554566684921409,0.015818107997442928,True,True,8,8,0.00390168823973268,0.0039016887382367083,4.985040284212483e-10
ABL_C,btad,I_TRI,8,-0.0004779649063213903,-0.00019686862235382825,-0.0019227731265864213,0.001922059450874149,False,False,5,5,0.0010976630059693255,0.0010976588178598368,4.188109488769201e-09
ABL_C,btad,I_BAL,8,0.00039792701909829864,0.0007848695220551897,-0.0014151206470226273,0.003621404038714415,False,False,5,3,-0.0006716529692804007,-0.0006716527165253616,2.527550391207001e-10
ABL_C,mpdd,I_TRI,8,0.007871568234750714,0.007584632184292718,0.0032616431916203553,0.011670310379047005,True,True,8,5,0.00400627209515075,0.004006271328466426,7.666843236664445e-10
ABL_C,mpdd,I_BAL,8,0.005040684246661181,0.005182007948610652,0.0016498129914069265,0.008429977901220414,True,True,7,3,0.0040724009349348425,0.004072376226677388,2.470825745479882e-08
