ablation,rule,dataset,seed,shot,category,construction,pixel_ap
baseline,J,mpdd,0,1,connector,BAL,0.13403111937349674
baseline,J,mpdd,0,1,connector,DUP,0.10397225255963727
baseline,J,mpdd,0,1,connector,TRI,0.11641748570695626
baseline,L,mpdd,0,1,connector,A1,0.13137885478104683
baseline,L,mpdd,0,1,connector,BAL,0.14841362999952024
baseline,L,mpdd,0,1,connector,DUP,0.10843827506632359
baseline,L,mpdd,0,1,connector,TRI,0.12692809736327682
ABL_C,J,mpdd,0,1,metal_plate,A1,0.8713213311009844
ABL_C,J,mpdd,0,1,metal_plate,BAL,0.9177415929558842
ABL_C,J,mpdd,0,1,metal_plate,DUP,0.8340747944714959
ABL_C,J,mpdd,0,1,metal_plate,TRI,0.863940745918512
ABL_C,L,mpdd,0,1,metal_plate,A1,0.8692493303964087
ABL_C,L,mpdd,0,1,metal_plate,BAL,0.9225489799333983
ABL_C,L,mpdd,0,1,metal_plate,DUP,0.8305623426194798
ABL_C,L,mpdd,0,1,metal_plate,TRI,0.8704466453064268
ABL_N,J,mpdd,0,1,metal_plate,A1,0.7778786956462256
ABL_N,J,mpdd,0,1,metal_plate,BAL,0.8064753687358752
ABL_N,J,mpdd,0,1,metal_plate,DUP,0.769097518402545
ABL_N,J,mpdd,0,1,metal_plate,TRI,0.7986798505838867
ABL_N,L,mpdd,0,1,metal_plate,A1,0.7780113797643758
ABL_N,L,mpdd,0,1,metal_plate,BAL,0.8200458654111876
ABL_N,L,mpdd,0,1,metal_plate,DUP,0.769257541943878
ABL_N,L,mpdd,0,1,metal_plate,TRI,0.8127113084140004
ABL_S,J,mpdd,0,1,metal_plate,A1,0.8529795363210672
ABL_S,J,mpdd,0,1,metal_plate,BAL,0.8765639314213058
ABL_S,J,mpdd,0,1,metal_plate,DUP,0.8125503350959399
ABL_S,J,mpdd,0,1,metal_plate,TRI,0.8452298213395371
ABL_S,L,mpdd,0,1,metal_plate,A1,0.8510213896275779
ABL_S,L,mpdd,0,1,metal_plate,BAL,0.8832221800835499
ABL_S,L,mpdd,0,1,metal_plate,DUP,0.8090493338688381
ABL_S,L,mpdd,0,1,metal_plate,TRI,0.8527827122876466
baseline,J,mpdd,0,1,metal_plate,A1,0.8713213311009844
baseline,J,mpdd,0,1,metal_plate,BAL,0.8926238652970473
baseline,J,mpdd,0,1,metal_plate,DUP,0.8340747944714959
baseline,J,mpdd,0,1,metal_plate,TRI,0.863940745918512
baseline,L,mpdd,0,1,metal_plate,A1,0.8692493303964087
baseline,L,mpdd,0,1,metal_plate,BAL,0.898121281213656
baseline,L,mpdd,0,1,metal_plate,DUP,0.8305623426194798
baseline,L,mpdd,0,1,metal_plate,TRI,0.8704466453064268
ABL_C,J,mpdd,0,1,tubes,A1,0.7281610081614966
ABL_C,J,mpdd,0,1,tubes,BAL,0.6981196248727284
ABL_C,J,mpdd,0,1,tubes,DUP,0.7166371181842282
ABL_C,J,mpdd,0,1,tubes,TRI,0.6880817543263583
ABL_C,L,mpdd,0,1,tubes,A1,0.7360580765762201
ABL_C,L,mpdd,0,1,tubes,BAL,0.7242331643494746
ABL_C,L,mpdd,0,1,tubes,DUP,0.7195809103535745
ABL_C,L,mpdd,0,1,tubes,TRI,0.7005058304198302
ABL_N,J,mpdd,0,1,tubes,A1,0.6913215227326979
ABL_N,J,mpdd,0,1,tubes,BAL,0.661204637948279
ABL_N,J,mpdd,0,1,tubes,DUP,0.6888402995077736
ABL_N,J,mpdd,0,1,tubes,TRI,0.6582502298689937
ABL_N,L,mpdd,0,1,tubes,A1,0.6918118080535934
ABL_N,L,mpdd,0,1,tubes,BAL,0.6701649374935535
ABL_N,L,mpdd,0,1,tubes,DUP,0.6890595995725864
ABL_N,L,mpdd,0,1,tubes,TRI,0.6666916236782789
ABL_S,J,mpdd,0,1,tubes,A1,0.7067526567689604
ABL_S,J,mpdd,0,1,tubes,BAL,0.6787464962639276
ABL_S,J,mpdd,0,1,tubes,DUP,0.6938712364942312
ABL_S,J,mpdd,0,1,tubes,TRI,0.6675904668013561
ABL_S,L,mpdd,0,1,tubes,A1,0.7157736830685522
ABL_S,L,mpdd,0,1,tubes,BAL,0.7004783288553704
ABL_S,L,mpdd,0,1,tubes,DUP,0.6968128019992198
ABL_S,L,mpdd,0,1,tubes,TRI,0.6822805822411798
baseline,J,mpdd,0,1,tubes,A1,0.7281610081614966
baseline,J,mpdd,0,1,tubes,BAL,0.6987113862679069
baseline,J,mpdd,0,1,tubes,DUP,0.7166371181842282
baseline,J,mpdd,0,1,tubes,TRI,0.6880817543263583
baseline,L,mpdd,0,1,tubes,A1,0.7360580765762201
baseline,L,mpdd,0,1,tubes,BAL,0.7167169052249515
baseline,L,mpdd,0,1,tubes,DUP,0.7195809103535745
baseline,L,mpdd,0,1,tubes,TRI,0.7005058304198302
ABL_C,J,mpdd,0,2,bracket_black,A1,0.01464221130514777
ABL_C,J,mpdd,0,2,bracket_black,BAL,0.010222434781331063
ABL_C,J,mpdd,0,2,bracket_black,DUP,0.020066572766348156
ABL_C,J,mpdd,0,2,bracket_black,TRI,0.018055578520210655
ABL_C,L,mpdd,0,2,bracket_black,A1,0.014433756802586274
ABL_C,L,mpdd,0,2,bracket_black,BAL,0.009801749264754361
ABL_C,L,mpdd,0,2,bracket_black,DUP,0.02002958271827035
ABL_C,L,mpdd,0,2,bracket_black,TRI,0.01844410220678235
ABL_N,J,mpdd,0,2,bracket_black,A1,0.013221986335947379
ABL_N,J,mpdd,0,2,bracket_black,BAL,0.01602628497489513
ABL_N,J,mpdd,0,2,bracket_black,DUP,0.013360960924808662
ABL_N,J,mpdd,0,2,bracket_black,TRI,0.01899492768625923
ABL_N,L,mpdd,0,2,bracket_black,A1,0.012844925598604286
ABL_N,L,mpdd,0,2,bracket_black,BAL,0.015334222225986825
ABL_N,L,mpdd,0,2,bracket_black,DUP,0.013136563921779039
ABL_N,L,mpdd,0,2,bracket_black,TRI,0.01638097131201088
ABL_S,J,mpdd,0,2,bracket_black,A1,0.016776643780054494
ABL_S,J,mpdd,0,2,bracket_black,BAL,0.015072269855790795
ABL_S,J,mpdd,0,2,bracket_black,DUP,0.024477484171141758
ABL_S,J,mpdd,0,2,bracket_black,TRI,0.02276912723118167
ABL_S,L,mpdd,0,2,bracket_black,A1,0.016327075759043113
ABL_S,L,mpdd,0,2,bracket_black,BAL,0.014354467962236078
ABL_S,L,mpdd,0,2,bracket_black,DUP,0.024009052726849493
ABL_S,L,mpdd,0,2,bracket_black,TRI,0.023040997918359014
baseline,J,mpdd,0,2,bracket_black,A1,0.01464221130514777
baseline,J,mpdd,0,2,bracket_black,BAL,0.013042690414162172
baseline,J,mpdd,0,2,bracket_black,DUP,0.020066572766348156
baseline,J,mpdd,0,2,bracket_black,TRI,0.018055578520210655
baseline,L,mpdd,0,2,bracket_black,A1,0.014433756802586274
baseline,L,mpdd,0,2,bracket_black,BAL,0.012632736107173147
baseline,L,mpdd,0,2,bracket_black,DUP,0.02002958271827035
baseline,L,mpdd,0,2,bracket_black,TRI,0.01844410220678235
ABL_C,J,mpdd,0,2,bracket_brown,A1,0.03336955823493852
ABL_C,J,mpdd,0,2,bracket_brown,BAL,0.032951158774033915
ABL_C,J,mpdd,0,2,bracket_brown,DUP,0.03532161217426308
ABL_C,J,mpdd,0,2,bracket_brown,TRI,0.03730236186027333
ABL_C,L,mpdd,0,2,bracket_brown,A1,0.03909909143001779
ABL_C,L,mpdd,0,2,bracket_brown,BAL,0.03584245500609104
ABL_C,L,mpdd,0,2,bracket_brown,DUP,0.03897792076861423
ABL_C,L,mpdd,0,2,bracket_brown,TRI,0.0414549056119677
ABL_N,J,mpdd,0,2,bracket_brown,A1,0.03753921005104709
ABL_N,J,mpdd,0,2,bracket_brown,BAL,0.03597857310041089
ABL_N,J,mpdd,0,2,bracket_brown,DUP,0.03788823776340268
ABL_N,J,mpdd,0,2,bracket_brown,TRI,0.03619973158124622
ABL_N,L,mpdd,0,2,bracket_brown,A1,0.03893206804435586
ABL_N,L,mpdd,0,2,bracket_brown,BAL,0.0394466950139164
ABL_N,L,mpdd,0,2,bracket_brown,DUP,0.038676719305808974
ABL_N,L,mpdd,0,2,bracket_brown,TRI,0.03934046441703404
ABL_S,J,mpdd,0,2,bracket_brown,A1,0.03383973074438687
ABL_S,J,mpdd,0,2,bracket_brown,BAL,0.03585530650522081
ABL_S,J,mpdd,0,2,bracket_brown,DUP,0.03530701679011205
ABL_S,J,mpdd,0,2,bracket_brown,TRI,0.03758062478657364
ABL_S,L,mpdd,0,2,bracket_brown,A1,0.039435992668697434
ABL_S,L,mpdd,0,2,bracket_brown,BAL,0.041477006620252624
ABL_S,L,mpdd,0,2,bracket_brown,DUP,0.03854325818621534
ABL_S,L,mpdd,0,2,bracket_brown,TRI,0.04204938716546569
baseline,J,mpdd,0,2,bracket_brown,A1,0.03336955823493852
baseline,J,mpdd,0,2,bracket_brown,BAL,0.03529768435675153
baseline,J,mpdd,0,2,bracket_brown,DUP,0.03532161217426308
baseline,J,mpdd,0,2,bracket_brown,TRI,0.03730236186027333
baseline,L,mpdd,0,2,bracket_brown,A1,0.03909909143001779
baseline,L,mpdd,0,2,bracket_brown,BAL,0.04017309185879966
baseline,L,mpdd,0,2,bracket_brown,DUP,0.03897792076861423
baseline,L,mpdd,0,2,bracket_brown,TRI,0.0414549056119677
ABL_C,J,mpdd,0,2,bracket_white,A1,0.10598851655794718
ABL_C,J,mpdd,0,2,bracket_white,BAL,0.10938950745703546
ABL_C,J,mpdd,0,2,bracket_white,DUP,0.1006182293807479
ABL_C,J,mpdd,0,2,bracket_white,TRI,0.1443748979535413
ABL_C,L,mpdd,0,2,bracket_white,A1,0.10841576102443233
ABL_C,L,mpdd,0,2,bracket_white,BAL,0.1096260611071988
ABL_C,L,mpdd,0,2,bracket_white,DUP,0.09914016283766229
ABL_C,L,mpdd,0,2,bracket_white,TRI,0.14142741366720624
ABL_N,J,mpdd,0,2,bracket_white,A1,0.09774074356236738
ABL_N,J,mpdd,0,2,bracket_white,BAL,0.17401586738826197
ABL_N,J,mpdd,0,2,bracket_white,DUP,0.09766263493369527
ABL_N,J,mpdd,0,2,bracket_white,TRI,0.17336697155065778
ABL_N,L,mpdd,0,2,bracket_white,A1,0.09825821871118591
ABL_N,L,mpdd,0,2,bracket_white,BAL,0.17806108162649914
ABL_N,L,mpdd,0,2,bracket_white,DUP,0.09735974543557423
ABL_N,L,mpdd,0,2,bracket_white,TRI,0.17700027016988618
ABL_S,J,mpdd,0,2,bracket_white,A1,0.11331304694210882
ABL_S,J,mpdd,0,2,bracket_white,BAL,0.12564620859947925
ABL_S,J,mpdd,0,2,bracket_white,DUP,0.10807118846335767
ABL_S,J,mpdd,0,2,bracket_white,TRI,0.12506246773304164
ABL_S,L,mpdd,0,2,bracket_white,A1,0.11936145323093168
ABL_S,L,mpdd,0,2,bracket_white,BAL,0.13799167634829032
ABL_S,L,mpdd,0,2,bracket_white,DUP,0.10987952388720514
ABL_S,L,mpdd,0,2,bracket_white,TRI,0.13648274024589255
baseline,J,mpdd,0,2,bracket_white,A1,0.10598851655794718
baseline,J,mpdd,0,2,bracket_white,BAL,0.12774249417456807
baseline,J,mpdd,0,2,bracket_white,DUP,0.1006182293807479
baseline,J,mpdd,0,2,bracket_white,TRI,0.1443748979535413
baseline,L,mpdd,0,2,bracket_white,A1,0.10841576102443233
baseline,L,mpdd,0,2,bracket_white,BAL,0.13364551583805862
baseline,L,mpdd,0,2,bracket_white,DUP,0.09914016283766229
baseline,L,mpdd,0,2,bracket_white,TRI,0.14142741366720624
ABL_C,J,mpdd,0,2,connector,A1,0.29911106461002196
ABL_C,J,mpdd,0,2,connector,BAL,0.22093095115282163
ABL_C,J,mpdd,0,2,connector,DUP,0.29706635023234235
ABL_C,J,mpdd,0,2,connector,TRI,0.24787381914050943
ABL_C,L,mpdd,0,2,connector,A1,0.327864234158091
ABL_C,L,mpdd,0,2,connector,BAL,0.2632974657216329
ABL_C,L,mpdd,0,2,connector,DUP,0.31021665310956736
ABL_C,L,mpdd,0,2,connector,TRI,0.2753381258971199
ABL_N,J,mpdd,0,2,connector,A1,0.19124815342706125
ABL_N,J,mpdd,0,2,connector,BAL,0.16736038107991785
ABL_N,J,mpdd,0,2,connector,DUP,0.18903084024887082
ABL_N,J,mpdd,0,2,connector,TRI,0.1652971941132802
ABL_N,L,mpdd,0,2,connector,A1,0.19630745703244
ABL_N,L,mpdd,0,2,connector,BAL,0.1949576182299667
ABL_N,L,mpdd,0,2,connector,DUP,0.19166562112219265
ABL_N,L,mpdd,0,2,connector,TRI,0.1908143573816691
ABL_S,J,mpdd,0,2,connector,A1,0.2594270272212674
ABL_S,J,mpdd,0,2,connector,BAL,0.2189622173382137
ABL_S,J,mpdd,0,2,connector,DUP,0.25187555189248323
ABL_S,J,mpdd,0,2,connector,TRI,0.215965184602472
ABL_S,L,mpdd,0,2,connector,A1,0.29322307057450897
ABL_S,L,mpdd,0,2,connector,BAL,0.26195729833340137
ABL_S,L,mpdd,0,2,connector,DUP,0.26877450872018344
ABL_S,L,mpdd,0,2,connector,TRI,0.2513984365854476
baseline,J,mpdd,0,2,connector,A1,0.29911106461002196
baseline,J,mpdd,0,2,connector,BAL,0.24484137667169684
baseline,J,mpdd,0,2,connector,DUP,0.29706635023234235
baseline,J,mpdd,0,2,connector,TRI,0.24787381914050943
baseline,L,mpdd,0,2,connector,A1,0.327864234158091
baseline,L,mpdd,0,2,connector,BAL,0.28006588978425806
baseline,L,mpdd,0,2,connector,DUP,0.31021665310956736
baseline,L,mpdd,0,2,connector,TRI,0.2753381258971199
ABL_C,J,mpdd,0,2,metal_plate,A1,0.8783905729250696
ABL_C,J,mpdd,0,2,metal_plate,BAL,0.926907956046316
ABL_C,J,mpdd,0,2,metal_plate,DUP,0.8383355445259506
ABL_C,J,mpdd,0,2,metal_plate,TRI,0.8718479054189763
ABL_C,L,mpdd,0,2,metal_plate,A1,0.8668161980937015
ABL_C,L,mpdd,0,2,metal_plate,BAL,0.9249728879143961
ABL_C,L,mpdd,0,2,metal_plate,DUP,0.826486468103962
ABL_C,L,mpdd,0,2,metal_plate,TRI,0.8677784732640497
ABL_N,J,mpdd,0,2,metal_plate,A1,0.7786373183279961
ABL_N,J,mpdd,0,2,metal_plate,BAL,0.8127535006061734
ABL_N,J,mpdd,0,2,metal_plate,DUP,0.7681627055837997
ABL_N,J,mpdd,0,2,metal_plate,TRI,0.8035353790980655
ABL_N,L,mpdd,0,2,metal_plate,A1,0.7750659523324425
ABL_N,L,mpdd,0,2,metal_plate,BAL,0.8168235714311533
ABL_N,L,mpdd,0,2,metal_plate,DUP,0.7662262234140814
ABL_N,L,mpdd,0,2,metal_plate,TRI,0.8091932549365265
ABL_S,J,mpdd,0,2,metal_plate,A1,0.8617102574880386
ABL_S,J,mpdd,0,2,metal_plate,BAL,0.8873530606750079
ABL_S,J,mpdd,0,2,metal_plate,DUP,0.818615474616144
ABL_S,J,mpdd,0,2,metal_plate,TRI,0.854567715269628
ABL_S,L,mpdd,0,2,metal_plate,A1,0.8495666226713338
ABL_S,L,mpdd,0,2,metal_plate,BAL,0.8833298728387212
