dataset,category,seed,shot,revision,status,new_method_conditions,control_conditions,load_s,score_s,sources
mpdd,connector,2,1,study,reused_verified,5,,,,
mpdd,connector,2,2,study,reused_verified,5,,,,
mpdd,connector,2,4,study,reused_verified,5,,,,
mpdd,connector,2,8,study,reused_verified,5,,,,
mpdd,metal_plate,0,1,study,reused_verified,5,,,,
mpdd,metal_plate,0,2,study,reused_verified,5,,,,
mpdd,metal_plate,0,4,study,reused_verified,5,,,,
mpdd,metal_plate,0,8,study,reused_verified,5,,,,
mpdd,metal_plate,1,1,study,reused_verified,5,,,,
mpdd,metal_plate,1,2,study,reused_verified,5,,,,
mpdd,metal_plate,1,4,study,reused_verified,5,,,,
mpdd,metal_plate,1,8,study,reused_verified,5,,,,
mpdd,metal_plate,2,1,study,reused_verified,5,,,,
mpdd,metal_plate,2,2,study,reused_verified,5,,,,
mpdd,metal_plate,2,4,study,reused_verified,5,,,,
mpdd,metal_plate,2,8,study,reused_verified,5,,,,
mpdd,tubes,0,1,study,reused_verified,5,,,,
mpdd,tubes,0,2,study,reused_verified,5,,,,
mpdd,tubes,0,4,study,reused_verified,5,,,,
mpdd,tubes,0,8,study,reused_verified,5,,,,
mpdd,tubes,1,1,study,reused_verified,5,,,,
mpdd,tubes,1,2,study,reused_verified,5,,,,
mpdd,tubes,1,4,study,reused_verified,5,,,,
mpdd,tubes,1,8,study,reused_verified,5,,,,
mpdd,tubes,2,1,study,reused_verified,5,,,,
mpdd,tubes,2,2,study,reused_verified,5,,,,
mpdd,tubes,2,4,study,reused_verified,5,,,,
mpdd,tubes,2,8,study,reused_verified,5,,,,
btad,01,0,1,corrected,reused_verified,5,,,,
btad,01,0,1,study,reused_verified,5,,,,
btad,01,0,2,corrected,reused_verified,5,,,,
btad,01,0,2,study,reused_verified,5,,,,
btad,01,0,4,corrected,reused_verified,5,,,,
btad,01,0,4,study,reused_verified,5,,,,
btad,01,0,8,corrected,reused_verified,5,,,,
btad,01,0,8,study,reused_verified,5,,,,
btad,01,1,1,corrected,reused_verified,5,,,,
btad,01,1,1,study,reused_verified,5,,,,
btad,01,1,2,corrected,reused_verified,5,,,,
btad,01,1,2,study,reused_verified,5,,,,
btad,01,1,4,corrected,reused_verified,5,,,,
btad,01,1,4,study,reused_verified,5,,,,
btad,01,1,8,corrected,reused_verified,5,,,,
btad,01,1,8,study,reused_verified,5,,,,
btad,01,2,1,corrected,completed,5,4,4.7,0.81,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,01,2,1,study,completed,5,4,4.46,0.72,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
