dataset,evaluation_revision,metric,branch,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,n_replicates,effect_scale
mpdd,study,pixel_ap,E2,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.02129184743711361,0.02063375950515875,0.01602594581429722,0.02508664391000754,1000,0.005
mpdd,study,pixel_ap,E2,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.021683126719463156,0.021014174528461542,0.016268287827890512,0.025612392936115266,1000,0.005
mpdd,study,pixel_ap,E2,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.011533310769478958,0.011264064015995709,0.005912411359303181,0.016581487915272204,1000,0.005
mpdd,study,pixel_ap,E2,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.011431335521697858,0.010901622846666887,0.005442146075141265,0.016073911406704243,1000,0.005
btad,corrected,pixel_ap,E2,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.009781031376868504,0.009618091543078645,0.004170427280019338,0.014657285676392713,1000,0.005
btad,corrected,pixel_ap,E2,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.008044200767210455,0.007833369137523668,0.0018107668722541906,0.013104261191810495,1000,0.005
btad,corrected,pixel_ap,E2,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.012289806064300135,-0.012700773761720172,-0.02614736019505244,-0.0017905543506527984,1000,0.005
btad,corrected,pixel_ap,E2,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.014326677109375926,-0.014959502669414936,-0.029748589362482494,-0.003046544552063337,1000,0.005
btad,study,pixel_ap,E2,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.009429518765143585,0.00930462494314967,0.003727808525089025,0.014351142453122986,1000,0.005
btad,study,pixel_ap,E2,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.007778544413195708,0.0076073061229416684,0.001826927897208388,0.012839829993461324,1000,0.005
btad,study,pixel_ap,E2,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.012782668583344972,-0.013175924450457238,-0.02639717749270588,-0.002342593125817033,1000,0.005
btad,study,pixel_ap,E2,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.014589227243926861,-0.01520240664758707,-0.029483605366960004,-0.003745009129328887,1000,0.005
