dataset,category,seed,shot,revision,method,pixel_ap,pixel_auroc,is_new_method
mpdd,bracket_white,0,1,study,E,0.002691188345615221,0.9583757312835122,True
mpdd,bracket_white,0,1,study,A1_J,0.08474999424338445,0.9942810208045932,False
mpdd,bracket_white,0,1,study,A1_L,0.09410628236856856,0.9938922226902085,False
mpdd,bracket_white,0,1,study,DUP_J,0.08387013885406,0.9932579069112234,False
mpdd,bracket_white,0,1,study,DUP_L,0.08814853229063051,0.9930530616089863,False
mpdd,bracket_white,0,1,study,TRI_E_J,0.0727662509151516,0.9939877841981319,True
mpdd,bracket_white,0,1,study,TRI_E_L,0.08625248241885315,0.993459043487409,True
mpdd,bracket_white,0,1,study,BAL_E_J,0.08550324276623832,0.9952252624572708,True
mpdd,bracket_white,0,1,study,BAL_E_L,0.09334653667553038,0.9943433274022562,True
mpdd,bracket_white,0,4,study,E,0.0038250998547042017,0.9685479014729947,True
mpdd,bracket_white,0,4,study,A1_J,0.09536222826166875,0.9965490304092048,False
mpdd,bracket_white,0,4,study,A1_L,0.10594663284797728,0.996420090366819,False
mpdd,bracket_white,0,4,study,DUP_J,0.09563884001026517,0.9959780102214962,False
mpdd,bracket_white,0,4,study,DUP_L,0.09882279125568984,0.9959534090053555,False
mpdd,bracket_white,0,4,study,TRI_E_J,0.09475458358258898,0.9963907914310132,True
mpdd,bracket_white,0,4,study,TRI_E_L,0.10688128220716543,0.9963184712730115,True
mpdd,bracket_white,0,4,study,BAL_E_J,0.0875264712502667,0.9970703536678249,True
mpdd,bracket_white,0,4,study,BAL_E_L,0.10342345691150608,0.9967967733094358,True
mpdd,bracket_white,1,1,study,E,0.0026487493473319056,0.9591260065637035,True
mpdd,bracket_white,1,1,study,A1_J,0.05459945795601944,0.992043422753603,False
mpdd,bracket_white,1,1,study,A1_L,0.06562252590780643,0.9926005970307197,False
mpdd,bracket_white,1,1,study,DUP_J,0.06276725254105953,0.9923591589647759,False
mpdd,bracket_white,1,1,study,DUP_L,0.07943111609190674,0.992943654190471,False
mpdd,bracket_white,1,1,study,TRI_E_J,0.04005683748128208,0.9930215374375497,True
mpdd,bracket_white,1,1,study,TRI_E_L,0.05603993977336343,0.9935731486255894,True
mpdd,bracket_white,1,1,study,BAL_E_J,0.031948451986783935,0.9909076872124734,True
mpdd,bracket_white,1,1,study,BAL_E_L,0.04194227287124019,0.9914716608206842,True
mpdd,bracket_white,1,4,study,E,0.003685367462878488,0.9685480250971965,True
mpdd,bracket_white,1,4,study,A1_J,0.1561633017689133,0.9983195762261264,False
mpdd,bracket_white,1,4,study,A1_L,0.1444409856412213,0.9983171037420923,False
mpdd,bracket_white,1,4,study,DUP_J,0.12786478962318706,0.9979133470993004,False
mpdd,bracket_white,1,4,study,DUP_L,0.12584910289290377,0.9979871507477225,False
mpdd,bracket_white,1,4,study,TRI_E_J,0.15821598425047304,0.9984164976002688,True
mpdd,bracket_white,1,4,study,TRI_E_L,0.14544781326310202,0.9984156322308567,True
mpdd,bracket_white,1,4,study,BAL_E_J,0.14307147232476009,0.9985794342981256,True
mpdd,bracket_white,1,4,study,BAL_E_L,0.13872649471573342,0.9985037762866776,True
mpdd,connector,0,1,study,E,0.08823208982002873,0.9557660730923935,True
mpdd,connector,0,1,study,A1_J,0.1261114244347553,0.9488033413687348,False
mpdd,connector,0,1,study,A1_L,0.1313788825962804,0.9572065456854167,False
mpdd,connector,0,1,study,DUP_J,0.10397225655520026,0.9456403749548818,False
mpdd,connector,0,1,study,DUP_L,0.10843829504590503,0.952155417295267,False
mpdd,connector,0,1,study,TRI_E_J,0.13669762933772678,0.9545962659038758,True
