dataset,evaluation_revision,metric,branch,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,n_replicates,effect_scale
mpdd,study,pixel_ap,E2,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.02010091352737836,0.019331050221205244,0.013950312995386502,0.02437845515849086,1000,0.005
mpdd,study,pixel_ap,E2,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.020287388570304002,0.01950640836779399,0.01405472285711802,0.02499123182442142,1000,0.005
mpdd,study,pixel_ap,E2,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.009924499405284129,0.009376909815971664,0.003536263699976503,0.015354848217691284,1000,0.005
mpdd,study,pixel_ap,E2,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.009531803402707234,0.00861419623815143,0.002471208494936916,0.01448901813976234,1000,0.005
btad,corrected,pixel_ap,E2,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.013356766932459435,0.013286605760126448,0.008227227541167866,0.018119298101441476,1000,0.005
btad,corrected,pixel_ap,E2,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.010669289691665196,0.010511050618598335,0.004955813577223224,0.015627216816033837,1000,0.005
btad,corrected,pixel_ap,E2,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,-0.004357490157057137,-0.004827980664582797,-0.016385109121712076,0.003924050402217183,1000,0.005
btad,corrected,pixel_ap,E2,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,-0.008338388348925696,-0.009046800225243685,-0.0234774535521044,0.0010754153892547898,1000,0.005
btad,study,pixel_ap,E2,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.012855075872642313,0.012817590096534055,0.007815547109998796,0.01760064006612327,1000,0.005
btad,study,pixel_ap,E2,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.010298503393374792,0.010180012754094478,0.0048168710538429894,0.01529594204084163,1000,0.005
btad,study,pixel_ap,E2,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,-0.005527604491451815,-0.005921835807926885,-0.017472770567550925,0.0030385106751498717,1000,0.005
btad,study,pixel_ap,E2,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,-0.009292505694606379,-0.009898111815747693,-0.02398560558113151,7.624186118059904e-05,1000,0.005
