dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mpdd,0,2,bracket_brown,B,1,0.8806527868456234,0.0382095872726534,0.45248868778280543,0.6526055952335706
mpdd,0,2,bracket_brown,S,1,0.9264204758044274,0.043859938820852214,0.4660633484162896,0.6793357099056567
mpdd,0,2,bracket_brown,C,1,0.9251417026727558,0.02902521770207809,0.6176470588235294,0.7313922613207775
mpdd,0,2,bracket_brown,A1_J,1,0.9038258110231177,0.03422953940374184,0.5708898944193062,0.7598400574200707
mpdd,0,2,bracket_brown,TRI_J,1,0.9153051517628834,0.03810516683972013,0.5407239819004525,0.7379669213664904
mpdd,0,2,bracket_brown,BAL_J,1,0.9191500902234602,0.03601377536060644,0.5761689291101055,0.7542956958361293
mpdd,0,2,bracket_brown,DUP_J,1,0.8947033598705226,0.03604926185574418,0.5150829562594268,0.7149788611545356
mpdd,0,2,bracket_brown,DUP_BAL_J,1,0.9038258110231177,0.03422953940374184,0.5708898944193062,0.7598400574200707
mpdd,0,2,bracket_brown,DUP_EXPECTED_J,1,0.8947033598705226,0.03604926185574418,0.5150829562594268,0.7149788611545356
mpdd,0,2,bracket_brown,A1_L,1,0.912103888477587,0.03771572610947457,0.552790346907994,0.7371496498349854
mpdd,0,2,bracket_brown,DUP_L,1,0.9006158668189856,0.03876918937700533,0.5113122171945701,0.7016401944694092
mpdd,0,2,bracket_brown,TRI_L,1,0.9231728931720597,0.04184524568805036,0.5444947209653092,0.747203874411268
mpdd,0,2,bracket_brown,BAL_L,1,0.927939091997857,0.03948560664334341,0.5716440422322775,0.7586885658644605
