reference_seed,shot,method,pixel_auroc,pixel_ap,image_auroc,image_ap
1,2,B,0.9536837931519315,0.3404451230856636,0.7317976376878623,0.7743269554857249
1,2,C,0.964631362097473,0.2756723846076661,0.7465627996595035,0.7723318499931091
1,2,S,0.9600841864707058,0.3087139708860999,0.7248084505472137,0.7622623780355675
1,2,A1_J,0.9637918188065129,0.3656121316114404,0.7807120002127688,0.8165147625456003
1,2,TRI_J,0.9635426534114812,0.352575791582497,0.7643002763796759,0.8098560158851273
1,2,BAL_J,0.9662537754461521,0.3565967070689733,0.775581210996302,0.809261618315596
1,2,DUP_J,0.9601721850051095,0.35920153990001563,0.7576027314399386,0.8051278746506001
1,2,DUP_BAL_J,0.9637918188065129,0.3656121316114404,0.7807120002127688,0.8165147625456003
1,2,DUP_EXPECTED_J,0.9601721850051095,0.35920153990001563,0.7576027314399386,0.8051278746506001
1,2,A1_L,0.9675144442394945,0.37233782854055875,0.7783583060567539,0.8240448715683902
1,2,DUP_L,0.9628634544955076,0.3640324610881917,0.7589159807324496,0.8074971270621288
1,2,DUP_BAL_L,0.9675144442394945,0.37233782854055875,0.7783583060567539,0.8240448715683902
1,2,TRI_L,0.9679643503237246,0.3641424024223238,0.7839216698820076,0.8352949841334857
1,2,BAL_L,0.9710546447713346,0.3694188177707831,0.7916581371710745,0.836679236496166
1,2,A1_lambda_0.25,0.966888153895756,0.3718414484008516,0.7795474422404144,0.8218419793176227
1,2,A1_lambda_0.50,0.9660467472881495,0.37059759618257226,0.7832407998324293,0.8257340852240636
1,2,A1_lambda_0.75,0.9650101845575914,0.36853962218165354,0.783527049038422,0.8238610651808059
1,2,TRI_lambda_0.25,0.9671272973396187,0.3630375251875497,0.7826045221511362,0.8350750660901142
1,2,TRI_lambda_0.50,0.9661029748548358,0.36044913193295397,0.7766150036850844,0.824739315246474
1,2,TRI_lambda_0.75,0.9649036173998163,0.3570581529835346,0.7705619316581048,0.8158907495465452
1,2,BAL_lambda_0.25,0.9702089267062366,0.3681089836442895,0.7903472095013834,0.8341317661095098
1,2,BAL_lambda_0.50,0.9691112982600926,0.36583284919054787,0.7871006639331175,0.826615558273331
1,2,BAL_lambda_0.75,0.9677910642088857,0.36219055273269435,0.7819776704731404,0.8191908081121042
1,4,B,0.963806818496936,0.3671551189617038,0.782449348788829,0.7922082184344884
1,4,C,0.9696050563865977,0.28300103602274096,0.779949994367949,0.7831133500385777
1,4,S,0.9683094342993783,0.34297529066392746,0.7551699914372004,0.7680127779975211
1,4,A1_J,0.9719111233550408,0.39852189015766143,0.8206758833145756,0.8284086939873828
1,4,TRI_J,0.9709695163947302,0.38505900311744795,0.7891842240960364,0.7952492819101095
1,4,BAL_J,0.9727573953699662,0.39039426720393716,0.8016067530236396,0.7979375588929535
1,4,DUP_J,0.9692847103544354,0.38881918983536784,0.8058402244845216,0.8182780529496378
1,4,DUP_BAL_J,0.9719111233550408,0.39852189015766143,0.8206758833145756,0.8284086939873828
1,4,DUP_EXPECTED_J,0.9692847103544354,0.38881918983536784,0.8058402244845216,0.8182780529496378
1,4,A1_L,0.9753248063722287,0.4056390058488392,0.8224607889203579,0.8401362895940238
1,4,DUP_L,0.9716241180731454,0.39273081996471054,0.8090476317546161,0.8249919772764928
1,4,DUP_BAL_L,0.9753248063722287,0.4056390058488392,0.8224607889203579,0.8401362895940238
1,4,TRI_L,0.9756284485080778,0.4017445503508217,0.8097401894453236,0.8254977882204552
1,4,BAL_L,0.9778521482806514,0.4081126858389192,0.8192333986240432,0.8320818735235771
