reference_seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
1,2,bracket_black,B,8,0.9413515278841895,0.08668887317216388,0.826377974588377,0.44348404255319146,0.6457814353915088,0.7460317460317459
1,2,bracket_black,C,8,0.9541112559057222,0.026543369581949833,0.8472001484823932,0.46077127659574474,0.5846802252355792,0.7479674796747967
1,2,bracket_black,S,8,0.926560824567397,0.07904911650517195,0.7913342659854878,0.45079787234042556,0.6518481258743737,0.7460317460317459
1,2,bracket_black,A1_J,8,0.9535093521542335,0.09204469509478497,0.8492973020702228,0.5219414893617021,0.6690694910861238,0.7460317460317459
1,2,bracket_black,TRI_J,8,0.9448522918415627,0.10529857804262399,0.8311395159240049,0.4900265957446808,0.6777848633027196,0.7460317460317459
1,2,bracket_black,BAL_J,8,0.9508379628790257,0.09942429577063819,0.8375255444106334,0.5219414893617021,0.6920175233429523,0.7460317460317459
1,2,bracket_black,DUP_J,8,0.9488892281840617,0.09987594865761647,0.8439036753462197,0.4893617021276596,0.6726087784350853,0.7460317460317459
1,2,bracket_black,DUP_BAL_J,8,0.9535093521542335,0.09204469509478497,0.8492973020702228,0.5219414893617021,0.6690694910861238,0.7460317460317459
1,2,bracket_black,DUP_EXPECTED_J,8,0.9488892281840617,0.09987594865761647,0.8439036753462197,0.4893617021276596,0.6726087784350853,0.7460317460317459
1,2,bracket_black,A1_L,8,0.9575627128502853,0.09527283964653263,0.8584708579085308,0.5272606382978724,0.6808768302555619,0.7460317460317459
1,2,bracket_black,DUP_L,8,0.9521345616135475,0.10476838538193753,0.8522495626086698,0.4986702127659574,0.6784646324947834,0.7460317460317459
1,2,bracket_black,DUP_BAL_L,8,0.9575627128502853,0.09527283964653263,0.8584708579085308,0.5272606382978724,0.6808768302555619,0.7460317460317459
1,2,bracket_black,TRI_L,8,0.9507583365944374,0.11022331929231242,0.8467039910913143,0.5146276595744681,0.6891193378722981,0.7460317460317459
