reference_seed,shot,contrast,contrast_group,point_delta,ci_low,ci_high,exceeds_scale,ci_excludes_zero,n_replicates
0,2,TRI_J - DUP_J,representation,-0.0010491935667302776,-0.013404560092745797,0.01124205407426007,False,False,1000
0,2,TRI_L - DUP_L,representation,0.004421543990069776,-0.005006002068141875,0.015399995589376986,False,False,1000
0,2,BAL_J - A1_J,representation,-0.0073210255884648134,-0.01787923845963206,0.0013117903978202329,True,False,1000
0,2,BAL_L - A1_L,representation,-0.0025418976854362785,-0.011526291146994987,0.0062666714070977484,False,False,1000
0,2,A1_L - A1_J,matching,0.005515598198555904,0.00024505963599486967,0.010555945501357624,True,True,1000
0,2,DUP_L - DUP_J,matching,0.0010665874223779737,-0.0019435982238024854,0.005287500413878104,False,False,1000
0,2,TRI_L - TRI_J,matching,0.0065373249791780275,0.0008880903432293391,0.015478837635633227,True,True,1000
0,2,BAL_L - BAL_J,matching,0.01029472610158444,0.005226608120495016,0.01820349482205872,True,True,1000
0,2,(TRI_J-DUP_J)-(TRI_L-DUP_L),interaction,,-0.012430203467404607,-0.0006588341435786629,,True,1000
0,2,(BAL_J-A1_J)-(BAL_L-A1_L),interaction,,-0.011866835666721953,-0.0011025993028893732,,True,1000
0,4,TRI_J - DUP_J,representation,-0.006962799593851432,-0.02183296154784428,0.010430812136237014,True,False,1000
0,4,TRI_L - DUP_L,representation,0.0025265581829309602,-0.013316862843911707,0.012055838866358286,False,False,1000
0,4,BAL_J - A1_J,representation,-0.010200050744054667,-0.02337594996682551,0.005599771595646592,True,False,1000
0,4,BAL_L - A1_L,representation,-0.0069672344926841046,-0.020818345688104818,0.004064930913517392,True,False,1000
0,4,A1_L - A1_J,matching,0.003941744803366398,-0.0007273858329486987,0.011609621400901115,False,False,1000
0,4,DUP_L - DUP_J,matching,0.0017615233351889192,-0.0009831920384373346,0.005821665630442536,False,False,1000
0,4,TRI_L - TRI_J,matching,0.011250881111971311,-0.0019417038879404836,0.0195503183765643,True,False,1000
0,4,BAL_L - BAL_J,matching,0.007174561054736961,-0.0035131635634258486,0.016075224875674657,True,False,1000
0,4,(TRI_J-DUP_J)-(TRI_L-DUP_L),interaction,,-0.016008414724977944,0.003588262874260335,,False,1000
0,4,(BAL_J-A1_J)-(BAL_L-A1_L),interaction,,-0.010289834842796199,0.007784333231299267,,False,1000
1,2,TRI_J - DUP_J,representation,-0.006625748317518609,-0.015186758884838869,0.002450713981009688,True,False,1000
1,2,TRI_L - DUP_L,representation,0.00010994133413211316,-0.008529025407618834,0.00904470643055273,False,False,1000
1,2,BAL_J - A1_J,representation,-0.009015424542467121,-0.017300583062336616,0.0004766267999175084,True,False,1000
1,2,BAL_L - A1_L,representation,-0.002919010769775632,-0.011665729677794834,0.005861068382668961,False,False,1000
1,2,A1_L - A1_J,matching,0.006725696929118341,0.001170648978925401,0.0137453944762836,True,True,1000
1,2,DUP_L - DUP_J,matching,0.004830921188176074,0.0007725046772941963,0.00983847744540144,False,True,1000
1,2,TRI_L - TRI_J,matching,0.011566610839826796,0.006281502005540908,0.017666379124050693,True,True,1000
1,2,BAL_L - BAL_J,matching,0.01282211070180983,0.007423827639693209,0.019141990438078148,True,True,1000
1,2,(TRI_J-DUP_J)-(TRI_L-DUP_L),interaction,,-0.011083524306101522,-0.0010505018255607885,,True,1000
1,2,(BAL_J-A1_J)-(BAL_L-A1_L),interaction,,-0.010105695100500616,-0.00021821599670803358,,True,1000
1,4,TRI_J - DUP_J,representation,-0.003760186717919889,-0.014235492972601993,0.005760412423032718,False,False,1000
1,4,TRI_L - DUP_L,representation,0.00901373038611114,6.691325006269069e-05,0.018282492248650143,True,True,1000
1,4,BAL_J - A1_J,representation,-0.008127622953724267,-0.01910755048519726,-0.0004961319803662483,True,True,1000
1,4,BAL_L - A1_L,representation,0.002473679990079969,-0.0073817746941293744,0.010814703362924668,False,False,1000
1,4,A1_L - A1_J,matching,0.007117115691177789,0.0007438084547245941,0.012459192746725078,True,True,1000
1,4,DUP_L - DUP_J,matching,0.0039116301293427025,-0.0016315250866145632,0.007469818218578763,False,False,1000
1,4,TRI_L - TRI_J,matching,0.016685547233373732,0.011320486815373662,0.02254957092500225,True,True,1000
1,4,BAL_L - BAL_J,matching,0.017718418634982025,0.012220312879737549,0.024998462403533636,True,True,1000
1,4,(TRI_J-DUP_J)-(TRI_L-DUP_L),interaction,,-0.019234254532262535,-0.008495236458029907,,True,1000
1,4,(BAL_J-A1_J)-(BAL_L-A1_L),interaction,,-0.01737116246369441,-0.005866098717603384,,True,1000
