reference_seed,shot,category,contrast,contrast_group,metric,delta
1,4,bracket_black,DUP_L - DUP_J,matching,pixel_ap,-0.0029034651228228847
1,4,bracket_brown,DUP_L - DUP_J,matching,pixel_ap,0.003981064308749435
1,4,bracket_white,DUP_L - DUP_J,matching,pixel_ap,-0.002015686730283267
1,4,connector,DUP_L - DUP_J,matching,pixel_ap,0.021131498443917318
1,4,metal_plate,DUP_L - DUP_J,matching,pixel_ap,-6.525586723704624e-05
1,4,tubes,DUP_L - DUP_J,matching,pixel_ap,0.0033416257437322017
1,4,bracket_black,TRI_L - TRI_J,matching,pixel_ap,0.0026258677527664226
1,4,bracket_brown,TRI_L - TRI_J,matching,pixel_ap,0.00810150276852642
1,4,bracket_white,TRI_L - TRI_J,matching,pixel_ap,0.008091259055324762
1,4,connector,TRI_L - TRI_J,matching,pixel_ap,0.06426584181638101
1,4,metal_plate,TRI_L - TRI_J,matching,pixel_ap,0.0052381276199521265
1,4,tubes,TRI_L - TRI_J,matching,pixel_ap,0.01179068438729225
1,4,bracket_black,BAL_L - BAL_J,matching,pixel_ap,-0.002013705691594661
1,4,bracket_brown,BAL_L - BAL_J,matching,pixel_ap,0.007856083698006645
1,4,bracket_white,BAL_L - BAL_J,matching,pixel_ap,0.000957909788296879
1,4,connector,BAL_L - BAL_J,matching,pixel_ap,0.07951761440443983
1,4,metal_plate,BAL_L - BAL_J,matching,pixel_ap,0.005144973665402119
1,4,tubes,BAL_L - BAL_J,matching,pixel_ap,0.014847635945340776
0,2,bracket_black,TRI_J - DUP_J,representation,pixel_ap,-0.002011002089857026
0,2,bracket_brown,TRI_J - DUP_J,representation,pixel_ap,0.0019807418914956007
0,2,bracket_white,TRI_J - DUP_J,representation,pixel_ap,0.04375666857279345
0,2,connector,TRI_J - DUP_J,representation,pixel_ap,-0.04919216111312208
0,2,metal_plate,TRI_J - DUP_J,representation,pixel_ap,0.03351235972122857
0,2,tubes,TRI_J - DUP_J,representation,pixel_ap,-0.03434176838292091
0,2,bracket_black,TRI_L - DUP_L,representation,pixel_ap,-0.0015855220214049254
0,2,bracket_brown,TRI_L - DUP_L,representation,pixel_ap,0.0024769790086618046
0,2,bracket_white,TRI_L - DUP_L,representation,pixel_ap,0.04228725082954393
0,2,connector,TRI_L - DUP_L,representation,pixel_ap,-0.0348765922873257
0,2,metal_plate,TRI_L - DUP_L,representation,pixel_ap,0.041292004016314054
0,2,tubes,TRI_L - DUP_L,representation,pixel_ap,-0.02306485560536997
0,2,bracket_black,BAL_J - A1_J,representation,pixel_ap,-0.0016051770310994244
0,2,bracket_brown,BAL_J - A1_J,representation,pixel_ap,0.0019280977830067325
0,2,bracket_white,BAL_J - A1_J,representation,pixel_ap,0.02175397761662086
0,2,connector,BAL_J - A1_J,representation,pixel_ap,-0.05426883190678175
0,2,metal_plate,BAL_J - A1_J,representation,pixel_ap,0.02349252482518205
0,2,tubes,BAL_J - A1_J,representation,pixel_ap,-0.03522674481771748
0,2,bracket_black,BAL_L - A1_L,representation,pixel_ap,-0.0018009816580836138
0,2,bracket_brown,BAL_L - A1_L,representation,pixel_ap,0.0010740096279521494
0,2,bracket_white,BAL_L - A1_L,representation,pixel_ap,0.025229754813626257
0,2,connector,BAL_L - A1_L,representation,pixel_ap,-0.04779853224259806
0,2,metal_plate,BAL_L - A1_L,representation,pixel_ap,0.030671435359727273
0,2,tubes,BAL_L - A1_L,representation,pixel_ap,-0.022627072013241767
0,2,bracket_black,A1_L - A1_J,matching,pixel_ap,-0.00021413517509162767
0,2,bracket_brown,A1_L - A1_J,matching,pixel_ap,0.0057295036833605595
0,2,bracket_white,A1_L - A1_J,matching,pixel_ap,0.002427244466485151
0,2,connector,A1_L - A1_J,matching,pixel_ap,0.028753359426170688
0,2,metal_plate,A1_L - A1_J,matching,pixel_ap,-0.011574365552432075
0,2,tubes,A1_L - A1_J,matching,pixel_ap,0.00797198234284302
0,2,bracket_black,DUP_L - DUP_J,matching,pixel_ap,-3.689376658386201e-05
0,2,bracket_brown,DUP_L - DUP_J,matching,pixel_ap,0.0036562945900828064
