dataset,evaluation_revision,metric,kind,contrast,seed,shot,point_delta,mean_delta,ci95_low,ci95_high
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,1,0.02383909185030264,0.023833939959065225,0.011938294133355112,0.03488759439381712
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,2,0.010204831511119727,0.01050079428856829,0.0015638652233069404,0.01957521247384973
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,4,0.010593114022776406,0.010775852748401494,0.0020131714457201273,0.019732522300383224
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,8,0.008417953526577149,0.008674482413289742,0.00047160336818275486,0.017278225549092443
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,1,0.015456960560167765,0.015560579396736903,0.004771094993306388,0.025670212404121543
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,2,0.015327861401148057,0.01549562592496623,0.004659417781053762,0.024991543529005428
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,4,0.021397216703818334,0.021482803538639482,0.011256861419576557,0.0310751469526088
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,8,0.018981809233171942,0.01918120796981417,0.010152751807986266,0.02833361157253491
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,1,0.024704670258643424,0.024885833323259953,0.012686733982037646,0.03546831351253785
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,2,0.009416044860039219,0.010020198334194909,0.0005538769037158638,0.019674483282931074
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,4,0.0076061907420668096,0.00808160218511513,-0.0009591353905925661,0.01721981296294247
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,8,0.005794852675768292,0.006281942305184973,-0.002530722543753447,0.015230897615099858
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,1,0.01808544675648094,0.01849103622176734,0.0072396560281747626,0.029336829898108263
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,2,0.017345727213361917,0.017812019891904663,0.007219643296426459,0.02743562798186307
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,4,0.020858093060568184,0.021342550118540644,0.011552112357570796,0.031045183051702927
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,8,0.016437790322302748,0.01693021620454679,0.007693265821646592,0.026153332180865765
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,1,0.017083834835942002,0.01719887104345617,0.006550796170105217,0.027120628232207362
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,2,0.005846600077188735,0.00620460395980184,-0.0020312138779716602,0.014363563090404445
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,4,0.005573344251702861,0.005891535854509764,-0.001983316157058007,0.013640206676867654
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,8,0.00384481912186041,0.004333696189097356,-0.0030594125707305575,0.011902712301735988
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,1,0.009820318976038078,0.009902214658996307,0.00015752305442829907,0.018719885470214786
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,2,0.008788255139220436,0.009033598862738166,-0.0005020568661450785,0.01741023528367966
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,4,0.014649797869628722,0.01467870127260203,0.005031082049080241,0.022998409379680437
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,8,0.012276490595960254,0.012575889947841654,0.004202507222381124,0.02056804313055319
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,1,0.016963711644029766,0.017227070300159675,0.006129681695923333,0.026966076094467568
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,2,0.0040926844410327234,0.004776351930046215,-0.003799573699754435,0.013258588035098554
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,4,0.00241926211644905,0.003070607146488189,-0.004847017495510811,0.011153908553073806
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,8,0.0007783714034186318,0.0014270866472548618,-0.006164055678368652,0.008918521458960436
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,1,0.011238295482746907,0.011631040221593223,0.0012441278007553848,0.02076779235568984
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,2,0.00982111361699356,0.010374216693029814,0.0010598077921838535,0.018945044367928803
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,4,0.013158050901298624,0.013658836431173757,0.004543829864468974,0.02225482786444312
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,8,0.009860547847911683,0.010497476017264099,0.0022398770269228263,0.01899672792783668
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,1,0.010223775616508668,0.010361489200134915,0.007598577966702593,0.013654407770857904
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,2,0.011603869239557252,0.0118801834581373,0.009093976615149615,0.01579987038281897
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,4,0.01209547715078163,0.012447016525857684,0.009436250370951202,0.016743356942616167
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,8,0.009384797594515049,0.00962656082649987,0.0074539204314810785,0.012631209344745492
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,1,0.008359806798068359,0.008386102399392737,0.006229913958755146,0.01072167802392604
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,2,0.008741049747962526,0.00880703750904597,0.006855612459609547,0.011225831835818078
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,4,0.007135750942619312,0.007199924827359576,0.005152970299646545,0.00962125518149708
btad,corrected,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,8,0.00444048856883239,0.004556021159034112,0.002586826763897554,0.006913417492610829
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,1,0.008425965194025498,0.008654631128304687,0.0049225750348535465,0.01264125263524255
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,2,0.00645695664174073,0.0068987425896798425,0.003658280693679944,0.010824385508269063
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,4,0.004691548129397871,0.00512283459011761,0.00235912867910755,0.008346133108253578
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,8,0.004337160565414777,0.004725087120547738,0.0023792934273921375,0.007572956754970119
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,1,0.008661116796026658,0.008942983781629716,0.0063167641350348105,0.01195415911835522
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,2,0.008536030517511395,0.008848013378858226,0.006327416847463888,0.011955471298831752
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,4,0.004471227429908242,0.004892914213115809,0.002232370145892165,0.0077494877547314685
btad,corrected,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,8,0.0009589900888201663,0.0013127682100785554,-0.0011200250375758725,0.0036895950150142736
