dataset,evaluation_revision,metric,kind,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale,form_max_abs_difference,ci95_excludes_zero,ci9875_excludes_zero,reaches_effect_scale
btad,corrected,pixel_auroc,matching_effect,M_A1: A1_L - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0009775472167915856,0.0007959133381079307,0.0011856134364294352,0.0007521443225926681,0.0012482596802951174,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_TRI: TRI_L - TRI_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0008660375355954441,0.0005729913737377964,0.0011834414480041545,0.000485088770437258,0.001241110082868485,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_BAL: BAL_L - BAL_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0009767081674804323,0.000679997563169996,0.0013046151727605202,0.0006123408775140835,0.001353830490573133,1000,0.005,,,,
btad,corrected,pixel_auroc,matching_effect,M_DUP: DUP_L - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0007996080152202969,0.0006429005789136248,0.0009698967425187464,0.0006091059457466526,0.0010223428429950636,1000,0.005,,,,
btad,corrected,pixel_auroc,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,6.642952037514719e-05,-0.00016142817799910008,0.00029058201317921044,-0.00021395206271946526,0.00035385126296162006,1000,0.005,0.0,False,False,False
btad,corrected,pixel_auroc,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,-8.390493111531117e-07,-0.00020151531922597376,0.00019725795447189665,-0.000254007196392174,0.0002436602301817257,1000,0.005,0.0,False,False,False
ksdd2,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.010220628367348319,0.010003669090170135,-0.005530929582200661,0.02582626004367075,-0.01118216456938321,0.03198063265887032,1000,0.005,,,,
ksdd2,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.015606913249152856,0.015441860688631947,-0.0002939744167824631,0.03190140683760699,-0.006267256039896609,0.03726168007800087,1000,0.005,,,,
ksdd2,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.006135226931101828,0.005780321611767854,-0.006103380161948065,0.017846718825854653,-0.010999392804952235,0.022267319046510036,1000,0.005,,,,
ksdd2,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00956213963510046,0.009221922321905303,-0.003024617503734593,0.02205256121443501,-0.008180409106960662,0.025640615313763354,1000,0.005,,,,
ksdd2,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005009507233666065,0.0049856050654698255,0.0016290388002146835,0.008618811694787577,0.0006018251145330532,0.009801471078999306,1000,0.005,,,,
ksdd2,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00713486647829074,0.007157393822482661,0.0037195729823791333,0.010833202158004377,0.0027186571515041536,0.012036706798532385,1000,0.005,,,,
ksdd2,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.008436419937664696,0.008427205775607273,0.004264684934069978,0.013018092661793846,0.0032411133314594305,0.014897434622320418,1000,0.005,,,,
ksdd2,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0017485815964862021,0.0017192022240208485,-0.0007719328769780093,0.004094878149451754,-0.0014467234724606275,0.004979111760112966,1000,0.005,,,,
ksdd2,study,pixel_ap,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005386284881804537,0.005438191598461812,0.0029943419901726246,0.008227644438872285,0.0025222899821059418,0.008884532500608814,1000,0.005,0.0,True,True,True
ksdd2,study,pixel_ap,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0034269127039986327,0.0034416007101374492,0.001293468886684747,0.005786122961057032,0.0008360447235937387,0.00640581717426711,1000,0.005,0.0,True,True,False
ksdd2,study,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.003580673724815473,0.003616160737603998,0.001312005049785512,0.006302425507027276,0.0007832404840900762,0.007165633541303202,1000,0.005,,,,
ksdd2,study,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0042129098860038405,0.004245864559443511,0.0018925983989825737,0.00716470517266837,0.0013762514070946182,0.00807433627700386,1000,0.005,,,,
ksdd2,study,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00253516862793234,0.002555442585869972,0.0007133250862283752,0.004859965163080278,0.00018035259030508655,0.005457318769085888,1000,0.005,,,,
ksdd2,study,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0032042381007897545,0.0032260827622740294,0.0011534691922381291,0.005790413358631022,0.0008735398603893967,0.006523193612190632,1000,0.005,,,,
ksdd2,study,pixel_auroc,matching_effect,M_A1: A1_L - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.00018261708965806403,-0.00019887728031843944,-0.0007754767283853737,0.0002265080739145795,-0.001024059337730324,0.0003052093323872209,1000,0.005,,,,
ksdd2,study,pixel_auroc,matching_effect,M_TRI: TRI_L - TRI_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0004336659887647365,0.0004221667940431193,9.680818387684208e-05,0.0008401895976519394,4.4613609423274426e-05,0.0009306855345265673,1000,0.005,,,,
ksdd2,study,pixel_auroc,matching_effect,M_BAL: BAL_L - BAL_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0004864523831993502,0.00047176289608561774,8.183131400946803e-05,0.0010173186096532492,1.971989671635902e-05,0.0011079508449971718,1000,0.005,,,,
ksdd2,study,pixel_auroc,matching_effect,M_DUP: DUP_L - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0001985701724236307,-0.0002075370277963935,-0.0005607893003841607,4.267821927010708e-05,-0.0006821036621629686,6.663807193236356e-05,1000,0.005,,,,
ksdd2,study,pixel_auroc,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0006322361611883673,0.0006297038218395128,0.0002663564859428057,0.0010949727461971336,0.00021388289654890734,0.0012458341317962542,1000,0.005,0.0,True,True,False
ksdd2,study,pixel_auroc,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0006690694728574142,0.0006706401764040571,0.00023475417421605293,0.0012611669411233786,0.00016256238261463813,0.0014924434696678588,1000,0.005,0.0,True,True,False
