dataset,method,units,verified,all_verified
btad,A1_J,24,24,True
btad,A1_L,24,24,True
btad,B,24,24,True
btad,BAL_J,24,24,True
btad,BAL_L,24,24,True
btad,C,24,24,True
btad,DUP_BAL_J,24,24,True
btad,DUP_EXPECTED_J,24,24,True
btad,DUP_J,24,24,True
btad,DUP_L,24,24,True
btad,S,24,24,True
btad,TRI_J,24,24,True
btad,TRI_L,24,24,True
mpdd,A1_J,72,72,True
mpdd,A1_L,72,72,True
mpdd,B,72,72,True
mpdd,BAL_J,72,72,True
mpdd,BAL_L,72,72,True
mpdd,C,72,72,True
mpdd,DUP_BAL_J,72,72,True
mpdd,DUP_EXPECTED_J,72,72,True
mpdd,DUP_J,72,72,True
mpdd,DUP_L,72,72,True
mpdd,S,72,72,True
mpdd,TRI_J,72,72,True
mpdd,TRI_L,72,72,True
