dataset,seed,shot,contrast,stride8_point_delta,stride1_point_delta,both_below_effect_scale,restricted_to
mpdd,0,4,TRI_L - DUP_L,0.0025267508434269614,-0.002599857130626604,True,secondary_contrast
mpdd,1,2,TRI_L - DUP_L,0.00010993411602500114,-0.0012035607728587694,True,secondary_contrast
mpdd,1,4,BAL_L - A1_L,0.002473668352970748,-0.001314834742893789,True,secondary_contrast
mpdd,1,8,TRI_J - DUP_J,0.0012642491806015843,-0.006446326701943728,False,secondary_contrast
mpdd,2,1,BAL_L - A1_L,0.00018808054578856037,-0.0013431010493402673,True,secondary_contrast
mpdd,2,2,TRI_L - DUP_L,0.0018319624125870404,-0.0010433409743392241,True,secondary_contrast
mpdd,2,2,BAL_L - A1_L,0.00192662404803301,-0.002613366564709285,True,secondary_contrast
mpdd,2,4,TRI_J - DUP_J,0.0026179320637526593,-0.0048217264426604345,True,secondary_contrast
mpdd,2,4,BAL_L - A1_L,0.0019084941797135602,-0.0019932827822228827,True,secondary_contrast
