seed,shot,method,metric,stride,this_run,study_stored,abs_diff,pixel_weighted
0,1,A1_J,pixel_ap,8,0.6733424886354216,0.6733424634002667,2.523515485464145e-08,True
0,1,A1_J,pixel_auroc,8,0.9936741423689792,0.9936741450016138,2.6326345548000063e-09,True
0,1,A1_L,pixel_ap,8,0.6841799948610926,0.6841799622767648,3.258432779151832e-08,True
0,1,A1_L,pixel_auroc,8,0.9945398754504563,0.994539877790576,2.340119653609918e-09,True
0,1,B,pixel_ap,8,0.6465064825110618,0.64650646140119,2.110987185055535e-08,True
0,1,B,pixel_auroc,8,0.9915221980388499,0.9915222008908705,2.8520206196702702e-09,True
0,1,BAL_J,pixel_ap,8,0.696882941644397,0.6968828356898532,1.059545438053533e-07,True
0,1,BAL_J,pixel_auroc,8,0.9949779747910459,0.9949779755954621,8.044162003173483e-10,True
0,1,BAL_L,pixel_ap,8,0.7017428766631781,0.7017432263399249,3.4967674678032523e-07,True
0,1,BAL_L,pixel_auroc,8,0.9956508796806695,0.9956508790956395,5.850299134024795e-10,True
0,1,C,pixel_ap,8,0.12326368878037876,0.12326373107172899,4.2291350227374735e-08,True
0,1,C,pixel_auroc,8,0.9661561837960295,0.9661562046377193,2.0841689818418274e-08,True
0,1,DUP_BAL_J,pixel_ap,8,0.6733424886354216,0.6733424634002667,2.523515485464145e-08,True
0,1,DUP_BAL_J,pixel_auroc,8,0.9936741423689792,0.9936741450016138,2.6326345548000063e-09,True
0,1,DUP_EXPECTED_J,pixel_ap,8,0.6696079278384293,0.6696079410988871,1.326045784288965e-08,True
0,1,DUP_EXPECTED_J,pixel_auroc,8,0.9929293635590947,0.9929293639978671,4.387724628074352e-10,True
0,1,DUP_J,pixel_ap,8,0.6696079278384293,0.6696079410988871,1.326045784288965e-08,True
0,1,DUP_J,pixel_auroc,8,0.9929293635590947,0.9929293639978671,4.387724628074352e-10,True
0,1,DUP_L,pixel_ap,8,0.6770362411459939,0.6770362797869973,3.864100339701082e-08,True
0,1,DUP_L,pixel_auroc,8,0.9936934338758585,0.9936934358503343,1.9744758050777023e-09,True
0,1,S,pixel_ap,8,0.6663219976294499,0.6663220174741987,1.9844748844199955e-08,True
0,1,S,pixel_auroc,8,0.9949804167789355,0.9949804195578273,2.778891894372748e-09,True
0,1,TRI_J,pixel_ap,8,0.7040606966542793,0.7040607008684127,4.214133375590734e-09,True
0,1,TRI_J,pixel_auroc,8,0.9949267237594362,0.9949267260264271,2.2669908172900932e-09,True
0,1,TRI_L,pixel_ap,8,0.7098432246722479,0.7098432326515458,7.979297889093573e-09,True
0,1,TRI_L,pixel_auroc,8,0.9955755424565885,0.9955755432610045,8.044159782727434e-10,True
