seed,shot,method,cat01_point,cat02_point,cat03_point,macro_point_corrected,study_cat03_point
0,1,A1_J,0.5741118759243673,0.6079011144690057,0.6654943312001824,0.6158357738645185,0.6733424634002665
0,1,DUP_J,0.5631028423229231,0.5943756492970458,0.6622999287563683,0.6065928067921124,0.6696079547309499
0,1,TRI_J,0.5471131460694607,0.6463365256460986,0.6978460242116856,0.630431898642415,0.7040607498170278
0,1,BAL_J,0.5592095684122658,0.6501745874097469,0.6893746702793687,0.6329196087004605,0.6968828284838593
0,1,A1_L,0.5855472279168589,0.6131620916267063,0.6794693288995165,0.6260595494810272,0.6841799474485558
0,1,DUP_L,0.5712903736643301,0.5990899863143557,0.6720792207547055,0.6141531935777971,0.677036267529775
0,1,TRI_L,0.5596666958591242,0.6516236788284403,0.7052832168217572,0.6388578638364405,0.7098432291281456
0,1,BAL_L,0.5755887064387302,0.6560675315380219,0.6974135453984184,0.6430232611250569,0.7017432275315788
0,2,A1_J,0.5797128459664855,0.5952819692738393,0.7403302656813379,0.6384416936405543,0.7477175195896965
0,2,DUP_J,0.5677503296154797,0.5832299940398394,0.7452591664533132,0.6320798300362108,0.7509422739294112
0,2,TRI_J,0.5426645599689034,0.6277119148146914,0.7564775098583969,0.6422846615473305,0.7618860958900519
0,2,BAL_J,0.5582726981137203,0.6320457554609752,0.7425464275785335,0.644288293717743,0.7497184404736392
0,2,A1_L,0.5876522202165995,0.6046996939916188,0.7577847744321161,0.6500455628801115,0.7624575333566312
0,2,DUP_L,0.5736276318261151,0.5897111371745594,0.7546379509864215,0.6393255733290321,0.7592945507302777
0,2,TRI_L,0.5434009661855232,0.6363320665486124,0.7664918218330783,0.6487416181890713,0.7703574569781889
0,2,BAL_L,0.5627912238490232,0.6426173220216157,0.7570061960927937,0.6541382473211442,0.7612264329345554
0,4,A1_J,0.587775923379799,0.595401363538927,0.7565957295199756,0.6465910054795673,0.7637628154918866
0,4,DUP_J,0.5782389572541264,0.5829988993228826,0.7586734356526048,0.6399704307432047,0.764304866482362
0,4,TRI_J,0.5605530127820475,0.6263733295765102,0.7647642919393854,0.6505635447659811,0.7700325787871839
0,4,BAL_J,0.5707387512914354,0.6314941636807037,0.7542601342216714,0.6521643497312701,0.7610544476096386
0,4,A1_L,0.5971980457694185,0.6044364936859287,0.7744249084356997,0.6586864826303489,0.7790444547267064
0,4,DUP_L,0.5854885126321343,0.5894209756131645,0.7680372182146378,0.6476489021533122,0.7723089201779707
0,4,TRI_L,0.5601936467967901,0.632640002867539,0.7729316290218081,0.655255092895379,0.7766113305617366
