revision,c_mapping,gt,seed,shot,stride,method,pixel_ap,pixel_auroc
rev_study,approx,study,0,1,1,A1_J,0.6686159584698684,0.9932159452324181
rev_study,approx,study,0,1,1,DUP_J,0.6641221343107568,0.9924991934154921
rev_study,approx,study,0,1,1,TRI_J,0.6995654451578792,0.9944916490810374
rev_study,approx,study,0,1,1,BAL_J,0.6925702060651386,0.9945079837342974
rev_study,approx,study,0,1,1,A1_L,0.679484581674093,0.994111538575605
rev_study,approx,study,0,1,1,DUP_L,0.67133714663781,0.9932842636738196
rev_study,approx,study,0,1,1,TRI_L,0.7052367687828118,0.9951925068115325
rev_study,approx,study,0,1,1,BAL_L,0.6974443871787624,0.9952403744202599
rev_study,approx,study,0,1,8,B,0.6465064825110618,0.9915221980388499
rev_study,approx,study,0,1,8,S,0.6663219976294499,0.9949804167789355
rev_study,approx,study,0,1,8,C,0.12326368878037876,0.9661561837960295
rev_study,approx,study,0,1,8,A1_J,0.6733424886354216,0.9936741423689792
rev_study,approx,study,0,1,8,DUP_J,0.6696079278384293,0.9929293635590947
rev_study,approx,study,0,1,8,TRI_J,0.7040606966542793,0.9949267237594362
rev_study,approx,study,0,1,8,BAL_J,0.696882941644397,0.9949779747910459
rev_study,approx,study,0,1,8,DUP_BAL_J,0.6733424886354216,0.9936741423689792
rev_study,approx,study,0,1,8,DUP_EXPECTED_J,0.6696079278384293,0.9929293635590947
rev_study,approx,study,0,1,8,A1_L,0.6841799948610926,0.9945398754504563
rev_study,approx,study,0,1,8,DUP_L,0.6770362411459939,0.9936934338758585
rev_study,approx,study,0,1,8,TRI_L,0.7098432246722479,0.9955755424565885
rev_study,approx,study,0,1,8,BAL_L,0.7017428766631781,0.9956508796806695
rev_gt_only,approx,faithful,0,1,8,B,0.6420204801530605,0.9903313650579618
rev_gt_only,approx,faithful,0,1,8,S,0.6628942688100266,0.9945831423448165
rev_gt_only,approx,faithful,0,1,8,C,0.12037687505450781,0.9631451601469337
rev_gt_only,approx,faithful,0,1,8,A1_J,0.665410226156192,0.9925930292738351
rev_gt_only,approx,faithful,0,1,8,DUP_J,0.663183838911145,0.9917716739977461
rev_gt_only,approx,faithful,0,1,8,TRI_J,0.6974664747563785,0.9940757627966338
rev_gt_only,approx,faithful,0,1,8,BAL_J,0.6886324643990194,0.9940978589440898
rev_gt_only,approx,faithful,0,1,8,DUP_BAL_J,0.665410226156192,0.9925930292738351
rev_gt_only,approx,faithful,0,1,8,DUP_EXPECTED_J,0.663183838911145,0.9917716739977461
rev_gt_only,approx,faithful,0,1,8,A1_L,0.6756059097429457,0.9937223408824769
rev_gt_only,approx,faithful,0,1,8,DUP_L,0.670252912991437,0.9927520837159753
rev_gt_only,approx,faithful,0,1,8,TRI_L,0.7030622822208679,0.994986824192849
rev_gt_only,approx,faithful,0,1,8,BAL_L,0.6928433392512006,0.9950800223749553
rev_study,approx,study,0,2,1,A1_J,0.7429879772734586,0.9971802609849676
rev_study,approx,study,0,2,1,DUP_J,0.7456146363258966,0.9969222904992392
rev_study,approx,study,0,2,1,TRI_J,0.7577776729921799,0.9975149756252362
rev_study,approx,study,0,2,1,BAL_J,0.7456860593769726,0.9974662296278478
rev_study,approx,study,0,2,1,A1_L,0.7576196290104691,0.9976193625399278
rev_study,approx,study,0,2,1,DUP_L,0.7538692078302743,0.9973052790130248
rev_study,approx,study,0,2,1,TRI_L,0.7661633120257331,0.9978919395906768
rev_study,approx,study,0,2,1,BAL_L,0.7572042177204559,0.9978627293954566
rev_study,approx,study,0,2,8,B,0.7357181836767784,0.9965319073448177
rev_study,approx,study,0,2,8,S,0.7127451811156509,0.9973623011107614
rev_study,approx,study,0,2,8,C,0.23447075891313007,0.9854296263417238
rev_study,approx,study,0,2,8,A1_J,0.7477175186657138,0.997460478121133
rev_study,approx,study,0,2,8,DUP_J,0.7509420080489789,0.9971978960842106
rev_study,approx,study,0,2,8,TRI_J,0.7618860472027477,0.9977847875392909
rev_study,approx,study,0,2,8,BAL_J,0.7497184236332716,0.9977497355465621
rev_study,approx,study,0,2,8,DUP_BAL_J,0.7477175186657138,0.997460478121133
rev_study,approx,study,0,2,8,DUP_EXPECTED_J,0.7509420080489789,0.9971978960842106
rev_study,approx,study,0,2,8,A1_L,0.7624576655221766,0.9978764225260468
rev_study,approx,study,0,2,8,DUP_L,0.7592945087998911,0.9975694649481678
rev_study,approx,study,0,2,8,TRI_L,0.7703574240741233,0.9981135619055693
rev_study,approx,study,0,2,8,BAL_L,0.7612260776216528,0.998089526171926
rev_gt_only,approx,faithful,0,2,8,B,0.7316054785473078,0.9958150615777662
rev_gt_only,approx,faithful,0,2,8,S,0.7101931897284417,0.9972239444724154
rev_gt_only,approx,faithful,0,2,8,C,0.22830265295280006,0.9844654877612736
rev_gt_only,approx,faithful,0,2,8,A1_J,0.7401936195867639,0.9968771381785774
rev_gt_only,approx,faithful,0,2,8,DUP_J,0.7453692555126749,0.9965666204118856
rev_gt_only,approx,faithful,0,2,8,TRI_J,0.7563230070865455,0.9973648420157512
rev_gt_only,approx,faithful,0,2,8,BAL_J,0.7418857101175803,0.9973113069007646
rev_gt_only,approx,faithful,0,2,8,DUP_BAL_J,0.7401936195867639,0.9968771381785774
rev_gt_only,approx,faithful,0,2,8,DUP_EXPECTED_J,0.7453692555126749,0.9965666204118856
rev_gt_only,approx,faithful,0,2,8,A1_L,0.7544467224322147,0.9974848305490205
rev_gt_only,approx,faithful,0,2,8,DUP_L,0.7531463715253617,0.9970767543686453
rev_gt_only,approx,faithful,0,2,8,TRI_L,0.7648023176403923,0.9978596815996582
rev_gt_only,approx,faithful,0,2,8,BAL_L,0.7533099874246066,0.9978589150862386
rev_study,approx,study,0,4,1,A1_J,0.759811785989091,0.9974877066357316
rev_study,approx,study,0,4,1,DUP_J,0.7602952481726769,0.9973165696278982
rev_study,approx,study,0,4,1,TRI_J,0.7664255377962267,0.9977437928392809
rev_study,approx,study,0,4,1,BAL_J,0.7573602363570885,0.997686495461811
rev_study,approx,study,0,4,1,A1_L,0.7753421651453007,0.9978772292405318
rev_study,approx,study,0,4,1,DUP_L,0.768487682464783,0.9976335811779853
rev_study,approx,study,0,4,1,TRI_L,0.772750657821095,0.998048895887663
rev_study,approx,study,0,4,1,BAL_L,0.7691384564437336,0.9980228715891877
rev_study,approx,study,0,4,8,B,0.7476190757500469,0.9970182825475113
rev_study,approx,study,0,4,8,S,0.7153718743652382,0.9974728972818948
rev_study,approx,study,0,4,8,C,0.3062999708202536,0.9860771777910056
rev_study,approx,study,0,4,8,A1_J,0.7637628853212619,0.99772425829927
rev_study,approx,study,0,4,8,DUP_J,0.76430488221705,0.9975451008664988
rev_study,approx,study,0,4,8,TRI_J,0.7700325552423379,0.9979871202729947
rev_study,approx,study,0,4,8,BAL_J,0.7610543594421093,0.9979447817329863
rev_study,approx,study,0,4,8,DUP_BAL_J,0.7637628853212619,0.99772425829927
rev_study,approx,study,0,4,8,DUP_EXPECTED_J,0.76430488221705,0.9975451008664988
rev_study,approx,study,0,4,8,A1_L,0.7790444240813817,0.9981048273361832
rev_study,approx,study,0,4,8,DUP_L,0.7723089067197069,0.9978614808626569
rev_study,approx,study,0,4,8,TRI_L,0.7766112947668776,0.9982526307501601
rev_study,approx,study,0,4,8,BAL_L,0.7728471202863589,0.9982339877489139
rev_gt_only,approx,faithful,0,4,8,B,0.7441342730846132,0.9964295824290967
rev_gt_only,approx,faithful,0,4,8,S,0.7132795785629714,0.9973515817715148
rev_gt_only,approx,faithful,0,4,8,C,0.2974195714535351,0.985103966302907
rev_gt_only,approx,faithful,0,4,8,A1_J,0.756180924763011,0.9972400614275254
