group,label,n_units,n_images_total,total_s_sum,total_s_median,total_s_max,s_per_image_median,score_s_median,metric_s_median,load_s_median
btad,dataset,24,5928,2282.59,78.859,255.015,0.3477,19.258,40.266,15.469
mpdd,dataset,72,5496,1311.41,18.531,34.829,0.2277,4.812,7.648,4.265
