root,dataset,seed,shot,category,n_images,configurations,load_s,score_s,metric_s,total_s,invariants_pass,scientific_status,stride
p1_matrix,mpdd,0,1,bracket_black,79,30,4.389999999999418,2.82799999999952,7.531000000000859,15.218000000000757,True,exploratory_only,8
p1_matrix,mpdd,0,1,bracket_brown,77,30,4.234999999998763,2.813000000000102,7.65599999999904,15.171999999998661,True,exploratory_only,8
p1_matrix,mpdd,0,1,bracket_white,60,30,3.3909999999996217,2.2180000000007567,5.54700000000048,11.515999999999622,True,exploratory_only,8
p1_matrix,mpdd,0,1,connector,44,30,2.5159999999996217,1.6869999999998981,4.140999999999622,8.640999999999622,True,exploratory_only,8
p1_matrix,mpdd,0,1,metal_plate,97,30,5.265999999999622,3.438000000000102,9.70299999999952,18.96899999999914,True,exploratory_only,8
p1_matrix,mpdd,0,1,tubes,101,30,5.343999999999141,3.561999999999898,9.811999999999898,19.32799999999952,True,exploratory_only,8
p1_matrix,mpdd,0,2,bracket_black,79,35,3.9690000000009604,3.625,7.438000000000102,15.515999999999622,True,exploratory_only,8
p1_matrix,mpdd,0,2,bracket_brown,77,35,4.140999999999622,3.438000000000102,7.625,15.734000000000378,True,exploratory_only,8
p1_matrix,mpdd,0,2,bracket_white,60,35,3.360000000000582,3.0159999999996217,5.625,12.42200000000048,True,exploratory_only,8
p1_matrix,mpdd,0,2,connector,44,35,2.561999999999898,2.25,4.25,9.406000000000859,True,exploratory_only,8
p1_matrix,mpdd,0,2,metal_plate,97,35,5.3289999999997235,4.735000000000582,9.563000000000102,20.235000000000582,True,exploratory_only,8
p1_matrix,mpdd,0,2,tubes,101,35,5.32799999999952,4.843999999999141,9.906000000000859,20.718000000000757,True,exploratory_only,8
p1_matrix,mpdd,0,4,bracket_black,79,45,4.265999999999622,6.438000000000102,7.438000000000102,18.71900000000096,True,exploratory_only,8
p1_matrix,mpdd,0,4,bracket_brown,77,45,4.078000000001339,6.110000000000582,7.734000000000378,18.468000000000757,True,exploratory_only,8
p1_matrix,mpdd,0,4,bracket_white,60,45,3.375,5.09400000000096,5.703000000001339,14.67200000000048,True,exploratory_only,8
p1_matrix,mpdd,0,4,connector,44,45,2.5,3.75,4.265999999999622,10.90599999999904,True,exploratory_only,8
p1_matrix,mpdd,0,4,metal_plate,97,45,5.311999999999898,8.015999999999622,9.859000000000378,23.90600000000086,True,exploratory_only,8
p1_matrix,mpdd,0,4,tubes,101,45,5.359999999998763,8.28099999999904,9.890000000001237,24.25,True,exploratory_only,8
p1_matrix,mpdd,0,8,bracket_black,79,45,4.313000000000102,9.765000000001237,7.42200000000048,22.26599999999962,True,exploratory_only,8
p1_matrix,mpdd,0,8,bracket_brown,77,45,4.063000000000102,11.15599999999904,7.765000000001237,23.75,True,exploratory_only,8
p1_matrix,mpdd,0,8,bracket_white,60,45,3.438000000000102,8.015999999999622,5.67200000000048,17.84400000000096,True,exploratory_only,8
p1_matrix,mpdd,0,8,connector,44,45,2.5789999999997235,9.843000000000757,4.265000000001237,17.29700000000048,True,exploratory_only,8
p1_matrix,mpdd,0,8,metal_plate,97,45,5.46900000000096,12.875,10.015999999999622,29.29700000000048,True,exploratory_only,8
p1_matrix,mpdd,0,8,tubes,101,45,5.265999999999622,18.59399999999914,10.031999999999243,34.82899999999972,True,exploratory_only,8
p1_matrix,mpdd,1,1,bracket_black,79,30,4.32799999999952,6.84400000000096,8.17200000000048,19.84399999999914,True,exploratory_only,8
p1_matrix,mpdd,1,1,bracket_brown,77,30,4.32799999999952,2.860000000000582,7.921999999998661,15.60899999999856,True,exploratory_only,8
p1_matrix,mpdd,1,1,bracket_white,60,30,3.4069999999992433,2.2960000000002765,5.766000000001441,11.813000000000102,True,exploratory_only,8
p1_matrix,mpdd,1,1,connector,44,30,2.57799999999952,1.625,4.313000000000102,8.859999999998763,True,exploratory_only,8
p1_matrix,mpdd,1,1,metal_plate,97,30,5.093000000000757,3.25,9.515999999999622,18.40600000000086,True,exploratory_only,8
p1_matrix,mpdd,1,1,tubes,101,30,5.485000000000582,3.563000000000102,9.796999999998661,19.46899999999914,True,exploratory_only,8
p1_matrix,mpdd,1,2,bracket_black,79,35,4.313000000000102,3.7969999999986612,7.45299999999952,16.04700000000048,True,exploratory_only,8
p1_matrix,mpdd,1,2,bracket_brown,77,35,4.218999999999141,3.7030000000013388,7.639999999999418,16.07799999999952,True,exploratory_only,8
p1_matrix,mpdd,1,2,bracket_white,60,35,3.313000000000102,2.92200000000048,5.734000000000378,12.375,True,exploratory_only,8
p1_matrix,mpdd,1,2,connector,44,35,2.5319999999992433,2.2030000000013388,4.15599999999904,9.218999999999141,True,exploratory_only,8
p1_matrix,mpdd,1,2,metal_plate,97,35,5.17200000000048,4.360000000000582,9.906000000000859,20.04700000000048,True,exploratory_only,8
p1_matrix,mpdd,1,2,tubes,101,35,5.29700000000048,4.438000000000102,9.688000000000102,20.01599999999962,True,exploratory_only,8
p1_matrix,mpdd,1,4,bracket_black,79,45,4.156000000000859,6.42200000000048,7.453000000001339,18.593000000000757,True,exploratory_only,8
p1_matrix,mpdd,1,4,bracket_brown,77,45,4.264999999999418,6.375,7.67200000000048,18.90600000000086,True,exploratory_only,8
p1_matrix,mpdd,1,4,bracket_white,60,45,3.3289999999997235,4.95299999999952,5.563000000000102,14.328999999999724,True,exploratory_only,8
p1_matrix,mpdd,1,4,connector,44,45,2.6090000000003783,8.093999999999141,5.110000000000582,16.26599999999962,True,exploratory_only,8
p1_matrix,mpdd,1,4,metal_plate,97,45,5.5,8.360000000000582,10.125,24.71900000000096,True,exploratory_only,8
