group,label,n_units,n_images_total,total_s_sum,total_s_median,total_s_max,s_per_image_median,score_s_median,metric_s_median,load_s_median
btad|K1,dataset x K,6,1482,434.25,57.328,154.843,0.2988,10.172,32.024,13.547
btad|K2,dataset x K,6,1482,502.83,68.695,170.484,0.3294,14.609,37.289,14.968
btad|K4,dataset x K,6,1482,625.78,83.649,208.531,0.3637,24.368,42.07,15.226
btad|K8,dataset x K,6,1482,719.73,90.281,255.015,0.4501,35.265,36.797,15.719
mpdd|K1,dataset x K,18,1374,273.6,15.195,19.969,0.1966,2.844,7.695,4.281
mpdd|K2,dataset x K,18,1374,284.88,16.062,21.046,0.2077,3.703,7.632,4.242
mpdd|K4,dataset x K,18,1374,337.36,18.813,25.532,0.2423,6.524,7.563,4.265
mpdd|K8,dataset x K,18,1374,415.58,22.922,34.829,0.2971,10.618,7.594,4.188
