method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
E,0.9810931384928442,0.32344757826610754,0.9862313139260425,0.8843892637488923,0.8387096774193549
A1_J,0.9959525288712463,0.7106441486342256,0.979543666404406,0.8179643592819841,0.7213114754098361
A1_L,0.9964081729633734,0.7152217744920016,0.9797797010228168,0.8195394114074716,0.7500000000000001
DUP_J,0.9957627762019958,0.7362394839717232,0.9922108575924469,0.9222602779993928,0.8571428571428571
DUP_L,0.9962074241971407,0.7406418189698292,0.9926042486231313,0.9278287655941805,0.8709677419354839
TRI_E_J,0.9945698800904297,0.6981494890354374,0.9917387883556255,0.9254851719962294,0.8813559322033899
TRI_E_L,0.9954816483416725,0.6916684761510132,0.9915814319433517,0.9235980329948479,0.8709677419354839
BAL_E_J,0.9944357659431795,0.6512532090534517,0.9811959087332809,0.8296501587458607,0.7397260273972603
BAL_E_L,0.9951265418496948,0.6358188839274923,0.9759244689221085,0.7898009464820195,0.7457627118644068
