method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
E,0.9292844895498513,0.3811875261829497,0.7315610309612579,0.9217161226818433,0.9400479616306954
A1_J,0.96139625679944,0.5730902484608569,0.9097098395201816,0.985021709261996,0.9498806682577565
A1_L,0.9616304578864691,0.576668020640498,0.9054952180256121,0.9846434225775473,0.9491525423728813
DUP_J,0.9600235377743851,0.552003763776842,0.9063057221591831,0.9845931800752873,0.9473684210526315
DUP_L,0.9603123709832486,0.5561722204382515,0.9006321932241854,0.9836922231691844,0.9445783132530121
TRI_E_J,0.9617423290380219,0.5737677969620976,0.8975522775166154,0.9828341458954013,0.9491525423728813
TRI_E_L,0.9619110652039982,0.5774425397496745,0.8951207651159021,0.9826096450888627,0.948905109489051
BAL_E_J,0.9627083569194606,0.5922772409254239,0.9074404279461826,0.9848348221862272,0.948905109489051
BAL_E_L,0.962802649744122,0.5946266746098494,0.9003079915707569,0.983710545874428,0.9463414634146341
