category,ot_cost_iqr,ot_cost_max,ot_cost_median,ot_cost_min,ot_diag_mass,ot_epsilon,ot_iters,ot_marginal_err,ot_mean_rowmax,ot_mode,ot_norm_minus_identity,seed,shot,variant
01,0.03639798486657975,1.1042910471405405,0.9992940778967072,0.9031769102479392,0.0008305570288160006,0.003639798486657975,50,8.78408457083038e-13,0.026246964221124026,sinkhorn,32.07568894540396,0,1,ot_sinkhorn
02,0.03064293532277862,1.062031598447525,0.9680645383529796,0.8770099183311023,0.0013462280788250705,0.003064293532277862,75,3.4638958368305484e-14,0.030197868675647874,sinkhorn,32.083121062453635,0,1,ot_sinkhorn
03,0.04009796917436814,1.1070136114215403,1.0020808496306002,0.8689478386841356,0.000704850298817976,0.004009796917436814,75,1.172395514004234e-13,0.022127234003698714,sinkhorn,36.735127760184426,0,1,ot_sinkhorn
01,0.03380607247268952,1.0893904799445697,0.9973661337057736,0.9158688624671409,0.0009108813335528674,0.003380607247268952,50,2.0516921495070788e-13,0.023761422751652946,sinkhorn,32.06611311737218,0,4,ot_sinkhorn
02,0.021998430080008236,1.0568714448364342,0.9672348322715499,0.8924279040241063,0.0016069898884561492,0.0021998430080008235,50,1.4091838807061478e-11,0.033108144822596795,sinkhorn,32.07209097953582,0,4,ot_sinkhorn
03,0.031858624785030765,1.1038474567453467,1.0041982911551157,0.8984672659401985,0.0008795573069634278,0.003185862478503077,75,3.552713678800438e-14,0.02240265484965889,sinkhorn,36.72842526082992,0,4,ot_sinkhorn
01,0.03170479340605559,1.1027294423502787,1.0037592266297348,0.9099883453506744,0.0007462263255595598,0.003170479340605559,50,1.319833131673515e-12,0.032641086755855406,sinkhorn,32.10889441933774,1,1,ot_sinkhorn
02,0.03008444627415774,1.0789322088415247,0.9684848661407373,0.8725557070090908,0.0013020878330675173,0.003008444627415774,50,3.321964925417586e-11,0.03225548138696559,sinkhorn,32.08694033273366,1,1,ot_sinkhorn
03,0.037658958177682056,1.111593033440659,1.0011705132775535,0.8932197429465467,0.001058377433302066,0.0037658958177682056,75,2.859934511434812e-13,0.02823166096108814,sinkhorn,36.752531536427824,1,1,ot_sinkhorn
01,0.03161026763919561,1.088138148593089,1.0028397035182994,0.914734558889677,0.0008262018744797055,0.0031610267639195612,50,4.414246745908648e-13,0.02535001183749025,sinkhorn,32.07500330272008,1,4,ot_sinkhorn
02,0.023583406245630045,1.0761945891966815,0.9714803029551469,0.889492125066869,0.0014547573451251536,0.0023583406245630046,50,5.417888360170911e-14,0.028310475586650518,sinkhorn,32.05473846469015,1,4,ot_sinkhorn
03,0.03308692407055569,1.1055639282814185,1.0037953383380456,0.9016170081156276,0.0009423332937453572,0.003308692407055569,75,3.108624468950487e-14,0.021040608280014216,sinkhorn,36.721113135631185,1,4,ot_sinkhorn
