dataset,seed,shot,category,method,pixel_ap
mpdd,0,1,bracket_white,A1_J,0.1234492671109861
mpdd,0,1,bracket_white,A1_L,0.13848813402160667
mpdd,0,1,bracket_white,B,0.088747370800648512
mpdd,0,1,bracket_white,BAL_J,0.12709194392359591
mpdd,0,1,bracket_white,BAL_L,0.14533534787788838
mpdd,0,1,bracket_white,C,0.046046801706327564
mpdd,0,1,bracket_white,DUP_BAL_J,0.1234492671109861
mpdd,0,1,bracket_white,DUP_EXPECTED_J,0.11204359262428303
mpdd,0,1,bracket_white,DUP_J,0.11204359262428303
mpdd,0,1,bracket_white,DUP_L,0.12572097527884971
mpdd,0,1,bracket_white,S,0.08459173149900534
mpdd,0,1,bracket_white,TRI_J,0.13135039157364181
mpdd,0,1,bracket_white,TRI_L,0.14984840628352047
mpdd,0,2,bracket_white,A1_J,0.14600696085415851
mpdd,0,2,bracket_white,A1_L,0.15378241932126796
mpdd,0,2,bracket_white,B,0.11098386145652271
mpdd,0,2,bracket_white,BAL_J,0.15930595015678353
mpdd,0,2,bracket_white,BAL_L,0.17751053383436857
mpdd,0,2,bracket_white,C,0.065508917340696526
mpdd,0,2,bracket_white,DUP_BAL_J,0.14600696085415851
mpdd,0,2,bracket_white,DUP_EXPECTED_J,0.1342425179870726
mpdd,0,2,bracket_white,DUP_J,0.1342425179870726
mpdd,0,2,bracket_white,DUP_L,0.14091384525422465
mpdd,0,2,bracket_white,S,0.15110431325717216
mpdd,0,2,bracket_white,TRI_J,0.16355547795608702
mpdd,0,2,bracket_white,TRI_L,0.1845512959026912
mpdd,0,4,bracket_white,A1_J,0.12325964092516042
mpdd,0,4,bracket_white,A1_L,0.1488277832419645
mpdd,0,4,bracket_white,B,0.1114766294310636
mpdd,0,4,bracket_white,BAL_J,0.11191659485684613
mpdd,0,4,bracket_white,BAL_L,0.14867501633518226
mpdd,0,4,bracket_white,C,0.05251609902473317
mpdd,0,4,bracket_white,DUP_BAL_J,0.12325964092516042
mpdd,0,4,bracket_white,DUP_EXPECTED_J,0.12248432556291006
mpdd,0,4,bracket_white,DUP_J,0.12248432556291006
mpdd,0,4,bracket_white,DUP_L,0.13640610357276609
mpdd,0,4,bracket_white,S,0.081375463017989202
mpdd,0,4,bracket_white,TRI_J,0.11123532213382366
mpdd,0,4,bracket_white,TRI_L,0.15479498518244508
mpdd,0,8,bracket_white,A1_J,0.18453755699985816
mpdd,0,8,bracket_white,A1_L,0.19363184194552352
mpdd,0,8,bracket_white,B,0.20228125099494582
mpdd,0,8,bracket_white,BAL_J,0.15214780337294287
mpdd,0,8,bracket_white,BAL_L,0.16768469717989742
mpdd,0,8,bracket_white,C,0.065659971305297132
mpdd,0,8,bracket_white,DUP_BAL_J,0.18453755699985816
mpdd,0,8,bracket_white,DUP_EXPECTED_J,0.19550001689629815
mpdd,0,8,bracket_white,DUP_J,0.19550001689629815
mpdd,0,8,bracket_white,DUP_L,0.20131906545864267
mpdd,0,8,bracket_white,S,0.12278251415931607
mpdd,0,8,bracket_white,TRI_J,0.16070102129710451
mpdd,0,8,bracket_white,TRI_L,0.18468187549825782
mpdd,1,1,bracket_white,A1_J,0.061315730940520674
mpdd,1,1,bracket_white,A1_L,0.076022748454130956
mpdd,1,1,bracket_white,B,0.10682121640069735
mpdd,1,1,bracket_white,BAL_J,0.056183501054577992
mpdd,1,1,bracket_white,BAL_L,0.070414334357408043
mpdd,1,1,bracket_white,C,0.0058086989273851905
mpdd,1,1,bracket_white,DUP_BAL_J,0.061315730940520674
mpdd,1,1,bracket_white,DUP_EXPECTED_J,0.067495971243767119
mpdd,1,1,bracket_white,DUP_J,0.067495971243767119
mpdd,1,1,bracket_white,DUP_L,0.086563192229517624
mpdd,1,1,bracket_white,S,0.065580023975387938
mpdd,1,1,bracket_white,TRI_J,0.063085685502370079
mpdd,1,1,bracket_white,TRI_L,0.076306909280729099
mpdd,1,2,bracket_white,A1_J,0.058015958886446055
mpdd,1,2,bracket_white,A1_L,0.064541308274889644
mpdd,1,2,bracket_white,B,0.036676994278749306
mpdd,1,2,bracket_white,BAL_J,0.053782258662524812
mpdd,1,2,bracket_white,BAL_L,0.065982898234200157
mpdd,1,2,bracket_white,C,0.023811285837061023
mpdd,1,2,bracket_white,DUP_BAL_J,0.058015958886446055
mpdd,1,2,bracket_white,DUP_EXPECTED_J,0.045883997840878321
mpdd,1,2,bracket_white,DUP_J,0.045883997840878321
mpdd,1,2,bracket_white,DUP_L,0.05374911495989583
mpdd,1,2,bracket_white,S,0.036713327092233239
mpdd,1,2,bracket_white,TRI_J,0.046241225884657247
mpdd,1,2,bracket_white,TRI_L,0.062499458353200393
mpdd,1,4,bracket_white,A1_J,0.21228498706228138
mpdd,1,4,bracket_white,A1_L,0.20437606653622031
mpdd,1,4,bracket_white,B,0.11624590619470994
mpdd,1,4,bracket_white,BAL_J,0.17656931870313297
mpdd,1,4,bracket_white,BAL_L,0.18593500723202394
mpdd,1,4,bracket_white,C,0.044777875506493182
mpdd,1,4,bracket_white,DUP_BAL_J,0.21228498706228138
mpdd,1,4,bracket_white,DUP_EXPECTED_J,0.15990858701240374
mpdd,1,4,bracket_white,DUP_J,0.15990858701240374
mpdd,1,4,bracket_white,DUP_L,0.16526937046677598
mpdd,1,4,bracket_white,S,0.079169056140444186
mpdd,1,4,bracket_white,TRI_J,0.17139593688470367
mpdd,1,4,bracket_white,TRI_L,0.1840566209861966
mpdd,1,8,bracket_white,A1_J,0.25092470276919576
mpdd,1,8,bracket_white,A1_L,0.25097771450738648
mpdd,1,8,bracket_white,B,0.22247885263261941
mpdd,1,8,bracket_white,BAL_J,0.26502640782370229
mpdd,1,8,bracket_white,BAL_L,0.26505780617794567
mpdd,1,8,bracket_white,C,0.10980897600326858
mpdd,1,8,bracket_white,DUP_BAL_J,0.25092470276919576
mpdd,1,8,bracket_white,DUP_EXPECTED_J,0.24149513058198102
mpdd,1,8,bracket_white,DUP_J,0.24149513058198102
mpdd,1,8,bracket_white,DUP_L,0.24449182763064348
mpdd,1,8,bracket_white,S,0.18266283124287019
mpdd,1,8,bracket_white,TRI_J,0.25602503203909954
mpdd,1,8,bracket_white,TRI_L,0.26422426036290708
mpdd,2,1,bracket_white,A1_J,0.085170414651558446
mpdd,2,1,bracket_white,A1_L,0.11068080718143879
mpdd,2,1,bracket_white,B,0.096640839898836262
mpdd,2,1,bracket_white,BAL_J,0.088046709489504577
mpdd,2,1,bracket_white,BAL_L,0.095056817644629255
mpdd,2,1,bracket_white,C,0.029268261171545074
mpdd,2,1,bracket_white,DUP_BAL_J,0.085170414651558446
mpdd,2,1,bracket_white,DUP_EXPECTED_J,0.084772633971969019
mpdd,2,1,bracket_white,DUP_J,0.084772633971969019
mpdd,2,1,bracket_white,DUP_L,0.11100662658774652
mpdd,2,1,bracket_white,S,0.088970383359522148
mpdd,2,1,bracket_white,TRI_J,0.085776119947521157
mpdd,2,1,bracket_white,TRI_L,0.094742036741795099
mpdd,2,2,bracket_white,A1_J,0.1442401357049061
mpdd,2,2,bracket_white,A1_L,0.15261850755546874
mpdd,2,2,bracket_white,B,0.063727989022091314
mpdd,2,2,bracket_white,BAL_J,0.11887948204109014
mpdd,2,2,bracket_white,BAL_L,0.13833138490866134
mpdd,2,2,bracket_white,C,0.056159728013733576
mpdd,2,2,bracket_white,DUP_BAL_J,0.1442401357049061
mpdd,2,2,bracket_white,DUP_EXPECTED_J,0.10729843176125019
mpdd,2,2,bracket_white,DUP_J,0.10729843176125019
mpdd,2,2,bracket_white,DUP_L,0.11405945441313622
mpdd,2,2,bracket_white,S,0.050416497028875608
mpdd,2,2,bracket_white,TRI_J,0.087558723594470478
mpdd,2,2,bracket_white,TRI_L,0.10689101601068172
mpdd,2,4,bracket_white,A1_J,0.20737605655552746
mpdd,2,4,bracket_white,A1_L,0.2095882011480476
mpdd,2,4,bracket_white,B,0.12729738747178487
mpdd,2,4,bracket_white,BAL_J,0.18377830299601031
mpdd,2,4,bracket_white,BAL_L,0.20359882045126451
mpdd,2,4,bracket_white,C,0.082614512219248842
mpdd,2,4,bracket_white,DUP_BAL_J,0.20737605655552746
mpdd,2,4,bracket_white,DUP_EXPECTED_J,0.18131650283859124
mpdd,2,4,bracket_white,DUP_J,0.18131650283859124
mpdd,2,4,bracket_white,DUP_L,0.18338942525141352
mpdd,2,4,bracket_white,S,0.088687954871223856
mpdd,2,4,bracket_white,TRI_J,0.17217229704787801
mpdd,2,4,bracket_white,TRI_L,0.2067327936222976
mpdd,2,8,bracket_white,A1_J,0.22452632823834232
mpdd,2,8,bracket_white,A1_L,0.22644714773553418
mpdd,2,8,bracket_white,B,0.2051290313085804
mpdd,2,8,bracket_white,BAL_J,0.18768761266195841
mpdd,2,8,bracket_white,BAL_L,0.19659393026626515
mpdd,2,8,bracket_white,C,0.089251753362685454
mpdd,2,8,bracket_white,DUP_BAL_J,0.22452632823834232
mpdd,2,8,bracket_white,DUP_EXPECTED_J,0.22202546025095402
mpdd,2,8,bracket_white,DUP_J,0.22202546025095402
mpdd,2,8,bracket_white,DUP_L,0.22306214613609132
mpdd,2,8,bracket_white,S,0.12240532632423592
mpdd,2,8,bracket_white,TRI_J,0.19144540457435211
mpdd,2,8,bracket_white,TRI_L,0.19447498993899601
