dataset,seed,shot,category,group,method,pixel_ap,n_images,n_abnormal
ksdd2,0,1,ksdd2,small,B,0.022882088690084377,931,37
ksdd2,0,1,ksdd2,small,S,0.015523098510385715,931,37
ksdd2,0,1,ksdd2,small,C,0.17535263504481402,931,37
ksdd2,0,1,ksdd2,small,A1_J,0.13209950002046533,931,37
ksdd2,0,1,ksdd2,small,TRI_J,0.07456493134760712,931,37
ksdd2,0,1,ksdd2,small,BAL_J,0.14738501008433708,931,37
ksdd2,0,1,ksdd2,small,DUP_J,0.061049449930512395,931,37
ksdd2,0,1,ksdd2,small,DUP_BAL_J,0.13209950002046533,931,37
ksdd2,0,1,ksdd2,small,DUP_EXPECTED_J,0.061049449930512395,931,37
ksdd2,0,1,ksdd2,small,A1_L,0.125348667365921,931,37
ksdd2,0,1,ksdd2,small,DUP_L,0.05711533771603585,931,37
ksdd2,0,1,ksdd2,small,TRI_L,0.07363152060142372,931,37
ksdd2,0,1,ksdd2,small,BAL_L,0.14442457984913554,931,37
ksdd2,0,1,ksdd2,large,B,0.48750950665462467,966,72
ksdd2,0,1,ksdd2,large,S,0.33551675050111573,966,72
ksdd2,0,1,ksdd2,large,C,0.5000466061130298,966,72
ksdd2,0,1,ksdd2,large,A1_J,0.6214713022730675,966,72
ksdd2,0,1,ksdd2,large,TRI_J,0.5786946716083018,966,72
ksdd2,0,1,ksdd2,large,BAL_J,0.6150103734800962,966,72
ksdd2,0,1,ksdd2,large,DUP_J,0.5868468140841645,966,72
ksdd2,0,1,ksdd2,large,DUP_BAL_J,0.6214713022730675,966,72
ksdd2,0,1,ksdd2,large,DUP_EXPECTED_J,0.5868468140841645,966,72
ksdd2,0,1,ksdd2,large,A1_L,0.6234056264024304,966,72
ksdd2,0,1,ksdd2,large,DUP_L,0.5882469233084385,966,72
ksdd2,0,1,ksdd2,large,TRI_L,0.5864372977386973,966,72
ksdd2,0,1,ksdd2,large,BAL_L,0.6192626870260086,966,72
ksdd2,0,2,ksdd2,small,B,0.052922241347895485,931,37
ksdd2,0,2,ksdd2,small,S,0.04702975887824988,931,37
ksdd2,0,2,ksdd2,small,C,0.22571608064831594,931,37
ksdd2,0,2,ksdd2,small,A1_J,0.22803564453208647,931,37
ksdd2,0,2,ksdd2,small,TRI_J,0.15980725422484945,931,37
ksdd2,0,2,ksdd2,small,BAL_J,0.23356706769942848,931,37
ksdd2,0,2,ksdd2,small,DUP_J,0.14018464563394883,931,37
ksdd2,0,2,ksdd2,small,DUP_BAL_J,0.22803564453208647,931,37
ksdd2,0,2,ksdd2,small,DUP_EXPECTED_J,0.14018464563394883,931,37
ksdd2,0,2,ksdd2,small,A1_L,0.2331091621212221,931,37
ksdd2,0,2,ksdd2,small,DUP_L,0.14338740278054174,931,37
ksdd2,0,2,ksdd2,small,TRI_L,0.1535096212372326,931,37
ksdd2,0,2,ksdd2,small,BAL_L,0.2345159546101519,931,37
ksdd2,0,2,ksdd2,large,B,0.566920343086657,966,72
ksdd2,0,2,ksdd2,large,S,0.5070836973668019,966,72
ksdd2,0,2,ksdd2,large,C,0.5680506812877195,966,72
ksdd2,0,2,ksdd2,large,A1_J,0.6537968232667252,966,72
ksdd2,0,2,ksdd2,large,TRI_J,0.6376156247318386,966,72
ksdd2,0,2,ksdd2,large,BAL_J,0.654313155683765,966,72
ksdd2,0,2,ksdd2,large,DUP_J,0.6357006067236681,966,72
ksdd2,0,2,ksdd2,large,DUP_BAL_J,0.6537968232667252,966,72
ksdd2,0,2,ksdd2,large,DUP_EXPECTED_J,0.6357006067236681,966,72
ksdd2,0,2,ksdd2,large,A1_L,0.6578529966041243,966,72
ksdd2,0,2,ksdd2,large,DUP_L,0.6376043372402224,966,72
ksdd2,0,2,ksdd2,large,TRI_L,0.6462460641329213,966,72
ksdd2,0,2,ksdd2,large,BAL_L,0.6635352925389338,966,72
ksdd2,0,4,ksdd2,small,B,0.040783415553077046,931,37
ksdd2,0,4,ksdd2,small,S,0.039410889575539745,931,37
ksdd2,0,4,ksdd2,small,C,0.19891224857122902,931,37
ksdd2,0,4,ksdd2,small,A1_J,0.19834056491777255,931,37
ksdd2,0,4,ksdd2,small,TRI_J,0.11269127053285528,931,37
ksdd2,0,4,ksdd2,small,BAL_J,0.1973955866908954,931,37
ksdd2,0,4,ksdd2,small,DUP_J,0.11185409813128873,931,37
ksdd2,0,4,ksdd2,small,DUP_BAL_J,0.19834056491777255,931,37
ksdd2,0,4,ksdd2,small,DUP_EXPECTED_J,0.11185409813128873,931,37
ksdd2,0,4,ksdd2,small,A1_L,0.19918377216797772,931,37
ksdd2,0,4,ksdd2,small,DUP_L,0.10816514720712161,931,37
ksdd2,0,4,ksdd2,small,TRI_L,0.1066871044159734,931,37
ksdd2,0,4,ksdd2,small,BAL_L,0.2061206339959323,931,37
ksdd2,0,4,ksdd2,large,B,0.5928639038750819,966,72
ksdd2,0,4,ksdd2,large,S,0.524873757895073,966,72
ksdd2,0,4,ksdd2,large,C,0.5727078459637748,966,72
ksdd2,0,4,ksdd2,large,A1_J,0.6669978871141812,966,72
ksdd2,0,4,ksdd2,large,TRI_J,0.6550281758087348,966,72
ksdd2,0,4,ksdd2,large,BAL_J,0.6684098138315927,966,72
ksdd2,0,4,ksdd2,large,DUP_J,0.6546356015838399,966,72
ksdd2,0,4,ksdd2,large,DUP_BAL_J,0.6669978871141812,966,72
ksdd2,0,4,ksdd2,large,DUP_EXPECTED_J,0.6546356015838399,966,72
ksdd2,0,4,ksdd2,large,A1_L,0.6701725171696074,966,72
ksdd2,0,4,ksdd2,large,DUP_L,0.6542139069308172,966,72
ksdd2,0,4,ksdd2,large,TRI_L,0.6578363570060635,966,72
ksdd2,0,4,ksdd2,large,BAL_L,0.673554363262705,966,72
ksdd2,0,8,ksdd2,small,B,0.15925413776579805,931,37
ksdd2,0,8,ksdd2,small,S,0.13639251503058164,931,37
ksdd2,0,8,ksdd2,small,C,0.2600594838191239,931,37
ksdd2,0,8,ksdd2,small,A1_J,0.3138258969895406,931,37
ksdd2,0,8,ksdd2,small,TRI_J,0.3004652405440651,931,37
ksdd2,0,8,ksdd2,small,BAL_J,0.31259432598881987,931,37
ksdd2,0,8,ksdd2,small,DUP_J,0.28046518771290313,931,37
ksdd2,0,8,ksdd2,small,DUP_BAL_J,0.3138258969895406,931,37
ksdd2,0,8,ksdd2,small,DUP_EXPECTED_J,0.28046518771290313,931,37
ksdd2,0,8,ksdd2,small,A1_L,0.31607099792482013,931,37
ksdd2,0,8,ksdd2,small,DUP_L,0.2772988942439401,931,37
ksdd2,0,8,ksdd2,small,TRI_L,0.3370568749239446,931,37
ksdd2,0,8,ksdd2,small,BAL_L,0.33731313091425713,931,37
ksdd2,0,8,ksdd2,large,B,0.6367310213666993,966,72
ksdd2,0,8,ksdd2,large,S,0.5973173411048573,966,72
ksdd2,0,8,ksdd2,large,C,0.5755098585767858,966,72
ksdd2,0,8,ksdd2,large,A1_J,0.6738114577828427,966,72
ksdd2,0,8,ksdd2,large,TRI_J,0.6722273589117094,966,72
ksdd2,0,8,ksdd2,large,BAL_J,0.674612279892448,966,72
ksdd2,0,8,ksdd2,large,DUP_J,0.6714196111693473,966,72
ksdd2,0,8,ksdd2,large,DUP_BAL_J,0.6738114577828427,966,72
ksdd2,0,8,ksdd2,large,DUP_EXPECTED_J,0.6714196111693473,966,72
ksdd2,0,8,ksdd2,large,A1_L,0.6793326340610351,966,72
ksdd2,0,8,ksdd2,large,DUP_L,0.6727583232937552,966,72
ksdd2,0,8,ksdd2,large,TRI_L,0.6807802212282741,966,72
ksdd2,0,8,ksdd2,large,BAL_L,0.6843339341420248,966,72
ksdd2,1,1,ksdd2,small,B,0.03951711556472039,931,37
ksdd2,1,1,ksdd2,small,S,0.02704033947397949,931,37
ksdd2,1,1,ksdd2,small,C,0.20248610452237006,931,37
ksdd2,1,1,ksdd2,small,A1_J,0.22042454416922536,931,37
ksdd2,1,1,ksdd2,small,TRI_J,0.1033766241704299,931,37
ksdd2,1,1,ksdd2,small,BAL_J,0.2504858302156581,931,37
ksdd2,1,1,ksdd2,small,DUP_J,0.12105757451733679,931,37
ksdd2,1,1,ksdd2,small,DUP_BAL_J,0.22042454416922536,931,37
ksdd2,1,1,ksdd2,small,DUP_EXPECTED_J,0.12105757451733679,931,37
ksdd2,1,1,ksdd2,small,A1_L,0.1802876362043777,931,37
ksdd2,1,1,ksdd2,small,DUP_L,0.09754222511265608,931,37
ksdd2,1,1,ksdd2,small,TRI_L,0.08199076391622391,931,37
ksdd2,1,1,ksdd2,small,BAL_L,0.185120848613709,931,37
ksdd2,1,1,ksdd2,large,B,0.5994843544859876,966,72
ksdd2,1,1,ksdd2,large,S,0.6011162396927837,966,72
ksdd2,1,1,ksdd2,large,C,0.533701181373836,966,72
ksdd2,1,1,ksdd2,large,A1_J,0.6729262397163873,966,72
ksdd2,1,1,ksdd2,large,TRI_J,0.6757921106384798,966,72
ksdd2,1,1,ksdd2,large,BAL_J,0.6825856723858922,966,72
ksdd2,1,1,ksdd2,large,DUP_J,0.6622605477205057,966,72
ksdd2,1,1,ksdd2,large,DUP_BAL_J,0.6729262397163873,966,72
ksdd2,1,1,ksdd2,large,DUP_EXPECTED_J,0.6622605477205057,966,72
ksdd2,1,1,ksdd2,large,A1_L,0.6765408815512542,966,72
ksdd2,1,1,ksdd2,large,DUP_L,0.6624221369569137,966,72
ksdd2,1,1,ksdd2,large,TRI_L,0.6800039947503679,966,72
ksdd2,1,1,ksdd2,large,BAL_L,0.6895047654744524,966,72
ksdd2,1,2,ksdd2,small,B,0.028109280660713942,931,37
ksdd2,1,2,ksdd2,small,S,0.02142190530867616,931,37
ksdd2,1,2,ksdd2,small,C,0.20837629406998065,931,37
ksdd2,1,2,ksdd2,small,A1_J,0.10206751865090044,931,37
ksdd2,1,2,ksdd2,small,TRI_J,0.045013050280460806,931,37
ksdd2,1,2,ksdd2,small,BAL_J,0.08271503648704585,931,37
ksdd2,1,2,ksdd2,small,DUP_J,0.052423435636324456,931,37
ksdd2,1,2,ksdd2,small,DUP_BAL_J,0.10206751865090044,931,37
ksdd2,1,2,ksdd2,small,DUP_EXPECTED_J,0.052423435636324456,931,37
ksdd2,1,2,ksdd2,small,A1_L,0.10805464431255422,931,37
ksdd2,1,2,ksdd2,small,DUP_L,0.05220855300343474,931,37
ksdd2,1,2,ksdd2,small,TRI_L,0.050344245825709164,931,37
ksdd2,1,2,ksdd2,small,BAL_L,0.10322544083851799,931,37
ksdd2,1,2,ksdd2,large,B,0.5464847236416821,966,72
ksdd2,1,2,ksdd2,large,S,0.5195818805368297,966,72
ksdd2,1,2,ksdd2,large,C,0.5515168222366317,966,72
ksdd2,1,2,ksdd2,large,A1_J,0.654793183199465,966,72
ksdd2,1,2,ksdd2,large,TRI_J,0.6300478269452556,966,72
ksdd2,1,2,ksdd2,large,BAL_J,0.6542549289605097,966,72
ksdd2,1,2,ksdd2,large,DUP_J,0.6278367990657641,966,72
ksdd2,1,2,ksdd2,large,DUP_BAL_J,0.654793183199465,966,72
ksdd2,1,2,ksdd2,large,DUP_EXPECTED_J,0.6278367990657641,966,72
ksdd2,1,2,ksdd2,large,A1_L,0.6600467133889084,966,72
ksdd2,1,2,ksdd2,large,DUP_L,0.6297228037774276,966,72
ksdd2,1,2,ksdd2,large,TRI_L,0.6399193038554817,966,72
ksdd2,1,2,ksdd2,large,BAL_L,0.6639931939516378,966,72
ksdd2,1,4,ksdd2,small,B,0.0920607123832479,931,37
ksdd2,1,4,ksdd2,small,S,0.16231518042081763,931,37
ksdd2,1,4,ksdd2,small,C,0.23654513396048207,931,37
ksdd2,1,4,ksdd2,small,A1_J,0.23697187312884233,931,37
ksdd2,1,4,ksdd2,small,TRI_J,0.2467754734350495,931,37
ksdd2,1,4,ksdd2,small,BAL_J,0.27456035951562696,931,37
ksdd2,1,4,ksdd2,small,DUP_J,0.18004786646224463,931,37
ksdd2,1,4,ksdd2,small,DUP_BAL_J,0.23697187312884233,931,37
ksdd2,1,4,ksdd2,small,DUP_EXPECTED_J,0.18004786646224463,931,37
ksdd2,1,4,ksdd2,small,A1_L,0.2631574296081129,931,37
ksdd2,1,4,ksdd2,small,DUP_L,0.19305827023007194,931,37
ksdd2,1,4,ksdd2,small,TRI_L,0.3006561859409776,931,37
ksdd2,1,4,ksdd2,small,BAL_L,0.3206720995920694,931,37
ksdd2,1,4,ksdd2,large,B,0.6367500624309208,966,72
ksdd2,1,4,ksdd2,large,S,0.6306031835107498,966,72
ksdd2,1,4,ksdd2,large,C,0.5486435547606089,966,72
ksdd2,1,4,ksdd2,large,A1_J,0.6795787813634258,966,72
ksdd2,1,4,ksdd2,large,TRI_J,0.6798586438325429,966,72
ksdd2,1,4,ksdd2,large,BAL_J,0.681030215654982,966,72
ksdd2,1,4,ksdd2,large,DUP_J,0.6749004324945334,966,72
ksdd2,1,4,ksdd2,large,DUP_BAL_J,0.6795787813634258,966,72
ksdd2,1,4,ksdd2,large,DUP_EXPECTED_J,0.6749004324945334,966,72
ksdd2,1,4,ksdd2,large,A1_L,0.688756230684666,966,72
ksdd2,1,4,ksdd2,large,DUP_L,0.6795381738813396,966,72
ksdd2,1,4,ksdd2,large,TRI_L,0.6910579066880094,966,72
ksdd2,1,4,ksdd2,large,BAL_L,0.6948124741331854,966,72
ksdd2,1,8,ksdd2,small,B,0.08915307802720474,931,37
ksdd2,1,8,ksdd2,small,S,0.17184090097190055,931,37
ksdd2,1,8,ksdd2,small,C,0.2192867990168222,931,37
ksdd2,1,8,ksdd2,small,A1_J,0.22314318475245698,931,37
ksdd2,1,8,ksdd2,small,TRI_J,0.2480636158314939,931,37
ksdd2,1,8,ksdd2,small,BAL_J,0.2651474639046078,931,37
ksdd2,1,8,ksdd2,small,DUP_J,0.17104255015878786,931,37
ksdd2,1,8,ksdd2,small,DUP_BAL_J,0.22314318475245698,931,37
ksdd2,1,8,ksdd2,small,DUP_EXPECTED_J,0.17104255015878786,931,37
ksdd2,1,8,ksdd2,small,A1_L,0.24764528379373124,931,37
ksdd2,1,8,ksdd2,small,DUP_L,0.18015350304690522,931,37
ksdd2,1,8,ksdd2,small,TRI_L,0.2851767808971669,931,37
ksdd2,1,8,ksdd2,small,BAL_L,0.3045240139407856,931,37
ksdd2,1,8,ksdd2,large,B,0.6405615591592274,966,72
ksdd2,1,8,ksdd2,large,S,0.6391094604234255,966,72
ksdd2,1,8,ksdd2,large,C,0.5540040606761463,966,72
ksdd2,1,8,ksdd2,large,A1_J,0.6832682287200672,966,72
ksdd2,1,8,ksdd2,large,TRI_J,0.6846721116836231,966,72
ksdd2,1,8,ksdd2,large,BAL_J,0.6861720071106792,966,72
ksdd2,1,8,ksdd2,large,DUP_J,0.6785950378111135,966,72
ksdd2,1,8,ksdd2,large,DUP_BAL_J,0.6832682287200672,966,72
ksdd2,1,8,ksdd2,large,DUP_EXPECTED_J,0.6785950378111135,966,72
ksdd2,1,8,ksdd2,large,A1_L,0.6920304135219429,966,72
ksdd2,1,8,ksdd2,large,DUP_L,0.681644735008986,966,72
ksdd2,1,8,ksdd2,large,TRI_L,0.6936572713345706,966,72
ksdd2,1,8,ksdd2,large,BAL_L,0.6988217237227428,966,72
ksdd2,2,1,ksdd2,small,B,0.014793101039118807,931,37
ksdd2,2,1,ksdd2,small,S,0.031969964820283255,931,37
ksdd2,2,1,ksdd2,small,C,0.13889646129469396,931,37
ksdd2,2,1,ksdd2,small,A1_J,0.1470275578778269,931,37
ksdd2,2,1,ksdd2,small,TRI_J,0.10119481582317687,931,37
ksdd2,2,1,ksdd2,small,BAL_J,0.19283053520343385,931,37
ksdd2,2,1,ksdd2,small,DUP_J,0.07487017111105891,931,37
ksdd2,2,1,ksdd2,small,DUP_BAL_J,0.1470275578778269,931,37
ksdd2,2,1,ksdd2,small,DUP_EXPECTED_J,0.07487017111105891,931,37
ksdd2,2,1,ksdd2,small,A1_L,0.13939486492211284,931,37
ksdd2,2,1,ksdd2,small,DUP_L,0.0671546325453599,931,37
ksdd2,2,1,ksdd2,small,TRI_L,0.10405814288775393,931,37
ksdd2,2,1,ksdd2,small,BAL_L,0.1998595569477648,931,37
ksdd2,2,1,ksdd2,large,B,0.4570534563546793,966,72
ksdd2,2,1,ksdd2,large,S,0.5743374506731985,966,72
ksdd2,2,1,ksdd2,large,C,0.46813306485018097,966,72
ksdd2,2,1,ksdd2,large,A1_J,0.606784548139498,966,72
ksdd2,2,1,ksdd2,large,TRI_J,0.6425091118937567,966,72
ksdd2,2,1,ksdd2,large,BAL_J,0.6552788837670285,966,72
ksdd2,2,1,ksdd2,large,DUP_J,0.5730237021835931,966,72
ksdd2,2,1,ksdd2,large,DUP_BAL_J,0.606784548139498,966,72
ksdd2,2,1,ksdd2,large,DUP_EXPECTED_J,0.5730237021835931,966,72
ksdd2,2,1,ksdd2,large,A1_L,0.6113642655349579,966,72
ksdd2,2,1,ksdd2,large,DUP_L,0.5744059357414034,966,72
ksdd2,2,1,ksdd2,large,TRI_L,0.6440339902433854,966,72
ksdd2,2,1,ksdd2,large,BAL_L,0.659229761016473,966,72
ksdd2,2,2,ksdd2,small,B,0.0331095626238351,931,37
ksdd2,2,2,ksdd2,small,S,0.04277430750417332,931,37
ksdd2,2,2,ksdd2,small,C,0.20375807001938384,931,37
ksdd2,2,2,ksdd2,small,A1_J,0.14931017560648463,931,37
ksdd2,2,2,ksdd2,small,TRI_J,0.07605584416494034,931,37
ksdd2,2,2,ksdd2,small,BAL_J,0.15700655990824927,931,37
ksdd2,2,2,ksdd2,small,DUP_J,0.0704006451143687,931,37
ksdd2,2,2,ksdd2,small,DUP_BAL_J,0.14931017560648463,931,37
ksdd2,2,2,ksdd2,small,DUP_EXPECTED_J,0.0704006451143687,931,37
ksdd2,2,2,ksdd2,small,A1_L,0.15975829317524673,931,37
ksdd2,2,2,ksdd2,small,DUP_L,0.07278166251377358,931,37
ksdd2,2,2,ksdd2,small,TRI_L,0.10276426060494313,931,37
ksdd2,2,2,ksdd2,small,BAL_L,0.2298615798675786,931,37
ksdd2,2,2,ksdd2,large,B,0.5595440943651354,966,72
ksdd2,2,2,ksdd2,large,S,0.5927115009598852,966,72
ksdd2,2,2,ksdd2,large,C,0.552312508869571,966,72
ksdd2,2,2,ksdd2,large,A1_J,0.6612555245333849,966,72
ksdd2,2,2,ksdd2,large,TRI_J,0.6598354643042009,966,72
ksdd2,2,2,ksdd2,large,BAL_J,0.6745026490202874,966,72
ksdd2,2,2,ksdd2,large,DUP_J,0.638783226410583,966,72
ksdd2,2,2,ksdd2,large,DUP_BAL_J,0.6612555245333849,966,72
ksdd2,2,2,ksdd2,large,DUP_EXPECTED_J,0.638783226410583,966,72
ksdd2,2,2,ksdd2,large,A1_L,0.6623787545385924,966,72
ksdd2,2,2,ksdd2,large,DUP_L,0.6381453872363864,966,72
ksdd2,2,2,ksdd2,large,TRI_L,0.6649802283910637,966,72
ksdd2,2,2,ksdd2,large,BAL_L,0.6785413675180257,966,72
ksdd2,2,4,ksdd2,small,B,0.06838854452147129,931,37
ksdd2,2,4,ksdd2,small,S,0.058809728472003484,931,37
ksdd2,2,4,ksdd2,small,C,0.23101331367841782,931,37
ksdd2,2,4,ksdd2,small,A1_J,0.25615980805293953,931,37
ksdd2,2,4,ksdd2,small,TRI_J,0.19399581278467837,931,37
ksdd2,2,4,ksdd2,small,BAL_J,0.3013615932798421,931,37
ksdd2,2,4,ksdd2,small,DUP_J,0.16977208117272904,931,37
ksdd2,2,4,ksdd2,small,DUP_BAL_J,0.25615980805293953,931,37
ksdd2,2,4,ksdd2,small,DUP_EXPECTED_J,0.16977208117272904,931,37
ksdd2,2,4,ksdd2,small,A1_L,0.27045125029457107,931,37
ksdd2,2,4,ksdd2,small,DUP_L,0.178748612373207,931,37
ksdd2,2,4,ksdd2,small,TRI_L,0.2230047198924524,931,37
ksdd2,2,4,ksdd2,small,BAL_L,0.31547078746863844,931,37
ksdd2,2,4,ksdd2,large,B,0.6038684188078005,966,72
ksdd2,2,4,ksdd2,large,S,0.5839446761057776,966,72
ksdd2,2,4,ksdd2,large,C,0.5675573039250695,966,72
ksdd2,2,4,ksdd2,large,A1_J,0.6746507152127963,966,72
ksdd2,2,4,ksdd2,large,TRI_J,0.6698511830098038,966,72
ksdd2,2,4,ksdd2,large,BAL_J,0.6794529945143366,966,72
ksdd2,2,4,ksdd2,large,DUP_J,0.6615805527640108,966,72
ksdd2,2,4,ksdd2,large,DUP_BAL_J,0.6746507152127963,966,72
ksdd2,2,4,ksdd2,large,DUP_EXPECTED_J,0.6615805527640108,966,72
ksdd2,2,4,ksdd2,large,A1_L,0.6780152937825398,966,72
ksdd2,2,4,ksdd2,large,DUP_L,0.6624111201531717,966,72
ksdd2,2,4,ksdd2,large,TRI_L,0.6736037127499938,966,72
ksdd2,2,4,ksdd2,large,BAL_L,0.6855589307478908,966,72
