dataset,seed,shot,contrast,category,point_delta,direction
ksdd2,0,8,BAL_L - A1_L,ksdd2,0.004253716849060618,positive
ksdd2,0,8,BAL_L - A1_L,__macro__,0.004253716849060618,positive
ksdd2,1,1,A1_L - A1_J,ksdd2,0.0027284030768507384,positive
ksdd2,1,1,A1_L - A1_J,__macro__,0.0027284030768507384,positive
ksdd2,1,1,TRI_L - TRI_J,ksdd2,0.002936298408944271,positive
ksdd2,1,1,TRI_L - TRI_J,__macro__,0.002936298408944271,positive
ksdd2,1,1,BAL_L - BAL_J,ksdd2,0.005520807623734525,positive
ksdd2,1,1,BAL_L - BAL_J,__macro__,0.005520807623734525,positive
ksdd2,1,1,DUP_L - DUP_J,ksdd2,-0.0005716944823407344,negative
ksdd2,1,1,DUP_L - DUP_J,__macro__,-0.0005716944823407344,negative
ksdd2,1,1,DUP_J - A1_J,ksdd2,-0.010922199487650053,negative
ksdd2,1,1,DUP_J - A1_J,__macro__,-0.010922199487650053,negative
ksdd2,1,1,TRI_J - DUP_J,ksdd2,0.013925446173139178,positive
ksdd2,1,1,TRI_J - DUP_J,__macro__,0.013925446173139178,positive
ksdd2,1,1,TRI_L - DUP_L,ksdd2,0.017433439064424183,positive
ksdd2,1,1,TRI_L - DUP_L,__macro__,0.017433439064424183,positive
ksdd2,1,1,BAL_J - A1_J,ksdd2,0.010492155228155053,positive
ksdd2,1,1,BAL_J - A1_J,__macro__,0.010492155228155053,positive
ksdd2,1,1,BAL_L - A1_L,ksdd2,0.01328455977503884,positive
ksdd2,1,1,BAL_L - A1_L,__macro__,0.01328455977503884,positive
ksdd2,1,2,A1_L - A1_J,ksdd2,0.005943725550029311,positive
ksdd2,1,2,A1_L - A1_J,__macro__,0.005943725550029311,positive
ksdd2,1,2,TRI_L - TRI_J,ksdd2,0.010211175580985055,positive
ksdd2,1,2,TRI_L - TRI_J,__macro__,0.010211175580985055,positive
ksdd2,1,2,BAL_L - BAL_J,ksdd2,0.010354715021194338,positive
ksdd2,1,2,BAL_L - BAL_J,__macro__,0.010354715021194338,positive
ksdd2,1,2,DUP_L - DUP_J,ksdd2,0.0024813549026014847,positive
ksdd2,1,2,DUP_L - DUP_J,__macro__,0.0024813549026014847,positive
ksdd2,1,2,DUP_J - A1_J,ksdd2,-0.027540053768676964,negative
ksdd2,1,2,DUP_J - A1_J,__macro__,-0.027540053768676964,negative
ksdd2,1,2,TRI_J - DUP_J,ksdd2,0.0031926513620551544,positive
ksdd2,1,2,TRI_J - DUP_J,__macro__,0.0031926513620551544,positive
ksdd2,1,2,TRI_L - DUP_L,ksdd2,0.010922472040438724,positive
ksdd2,1,2,TRI_L - DUP_L,__macro__,0.010922472040438724,positive
ksdd2,1,2,BAL_J - A1_J,ksdd2,0.00030058773797070337,positive
ksdd2,1,2,BAL_J - A1_J,__macro__,0.00030058773797070337,positive
ksdd2,1,2,BAL_L - A1_L,ksdd2,0.004711577209135731,positive
ksdd2,1,2,BAL_L - A1_L,__macro__,0.004711577209135731,positive
ksdd2,1,4,A1_L - A1_J,ksdd2,0.009526630244248935,positive
ksdd2,1,4,A1_L - A1_J,__macro__,0.009526630244248935,positive
ksdd2,1,4,TRI_L - TRI_J,ksdd2,0.011805306020026385,positive
ksdd2,1,4,TRI_L - TRI_J,__macro__,0.011805306020026385,positive
ksdd2,1,4,BAL_L - BAL_J,ksdd2,0.014288020826539682,positive
ksdd2,1,4,BAL_L - BAL_J,__macro__,0.014288020826539682,positive
ksdd2,1,4,DUP_L - DUP_J,ksdd2,0.004975330488861229,positive
ksdd2,1,4,DUP_L - DUP_J,__macro__,0.004975330488861229,positive
ksdd2,1,4,DUP_J - A1_J,ksdd2,-0.005162074706341779,negative
ksdd2,1,4,DUP_J - A1_J,__macro__,-0.005162074706341779,negative
ksdd2,1,4,TRI_J - DUP_J,ksdd2,0.006802660696811458,positive
ksdd2,1,4,TRI_J - DUP_J,__macro__,0.006802660696811458,positive
ksdd2,1,4,TRI_L - DUP_L,ksdd2,0.013632636227976613,positive
ksdd2,1,4,TRI_L - DUP_L,__macro__,0.013632636227976613,positive
ksdd2,1,4,BAL_J - A1_J,ksdd2,0.0026660105200508877,positive
ksdd2,1,4,BAL_J - A1_J,__macro__,0.0026660105200508877,positive
ksdd2,1,4,BAL_L - A1_L,ksdd2,0.007427401102341635,positive
ksdd2,1,4,BAL_L - A1_L,__macro__,0.007427401102341635,positive
ksdd2,1,8,A1_L - A1_J,ksdd2,0.009610519733423972,positive
ksdd2,1,8,A1_L - A1_J,__macro__,0.009610519733423972,positive
ksdd2,1,8,TRI_L - TRI_J,ksdd2,0.009739004183185851,positive
ksdd2,1,8,TRI_L - TRI_J,__macro__,0.009739004183185851,positive
ksdd2,1,8,BAL_L - BAL_J,ksdd2,0.013513710055511052,positive
ksdd2,1,8,BAL_L - BAL_J,__macro__,0.013513710055511052,positive
ksdd2,1,8,DUP_L - DUP_J,ksdd2,0.0038068808564928336,positive
ksdd2,1,8,DUP_L - DUP_J,__macro__,0.0038068808564928336,positive
ksdd2,1,8,DUP_J - A1_J,ksdd2,-0.004821673940170967,negative
ksdd2,1,8,DUP_J - A1_J,__macro__,-0.004821673940170967,negative
ksdd2,1,8,TRI_J - DUP_J,ksdd2,0.007417671045948815,positive
ksdd2,1,8,TRI_J - DUP_J,__macro__,0.007417671045948815,positive
ksdd2,1,8,TRI_L - DUP_L,ksdd2,0.013349794372641832,positive
ksdd2,1,8,TRI_L - DUP_L,__macro__,0.013349794372641832,positive
ksdd2,1,8,BAL_J - A1_J,ksdd2,0.003675573546973454,positive
ksdd2,1,8,BAL_J - A1_J,__macro__,0.003675573546973454,positive
ksdd2,1,8,BAL_L - A1_L,ksdd2,0.007578763869060534,positive
ksdd2,1,8,BAL_L - A1_L,__macro__,0.007578763869060534,positive
ksdd2,2,1,A1_L - A1_J,ksdd2,0.0048547330524240095,positive
ksdd2,2,1,A1_L - A1_J,__macro__,0.0048547330524240095,positive
ksdd2,2,1,TRI_L - TRI_J,ksdd2,0.002470165835887328,positive
ksdd2,2,1,TRI_L - TRI_J,__macro__,0.002470165835887328,positive
ksdd2,2,1,BAL_L - BAL_J,ksdd2,0.004728695119275317,positive
ksdd2,2,1,BAL_L - BAL_J,__macro__,0.004728695119275317,positive
ksdd2,2,1,DUP_L - DUP_J,ksdd2,0.0017058890688976813,positive
ksdd2,2,1,DUP_L - DUP_J,__macro__,0.0017058890688976813,positive
ksdd2,2,1,DUP_J - A1_J,ksdd2,-0.033718564757452274,negative
ksdd2,2,1,DUP_J - A1_J,__macro__,-0.033718564757452274,negative
ksdd2,2,1,TRI_J - DUP_J,ksdd2,0.06845005229708812,positive
ksdd2,2,1,TRI_J - DUP_J,__macro__,0.06845005229708812,positive
ksdd2,2,1,TRI_L - DUP_L,ksdd2,0.06921432906407776,positive
ksdd2,2,1,TRI_L - DUP_L,__macro__,0.06921432906407776,positive
ksdd2,2,1,BAL_J - A1_J,ksdd2,0.04757674867192252,positive
ksdd2,2,1,BAL_J - A1_J,__macro__,0.04757674867192252,positive
ksdd2,2,1,BAL_L - A1_L,ksdd2,0.04745071073877383,positive
ksdd2,2,1,BAL_L - A1_L,__macro__,0.04745071073877383,positive
ksdd2,2,2,A1_L - A1_J,ksdd2,0.0011509357934406106,positive
ksdd2,2,2,A1_L - A1_J,__macro__,0.0011509357934406106,positive
ksdd2,2,2,TRI_L - TRI_J,ksdd2,0.0057984043067473845,positive
ksdd2,2,2,TRI_L - TRI_J,__macro__,0.0057984043067473845,positive
ksdd2,2,2,BAL_L - BAL_J,ksdd2,0.004232908603824526,positive
ksdd2,2,2,BAL_L - BAL_J,__macro__,0.004232908603824526,positive
ksdd2,2,2,DUP_L - DUP_J,ksdd2,-0.00015864731629999795,negative
ksdd2,2,2,DUP_L - DUP_J,__macro__,-0.00015864731629999795,negative
ksdd2,2,2,DUP_J - A1_J,ksdd2,-0.022814668859383325,negative
ksdd2,2,2,DUP_J - A1_J,__macro__,-0.022814668859383325,negative
ksdd2,2,2,TRI_J - DUP_J,ksdd2,0.020576699697352097,positive
ksdd2,2,2,TRI_J - DUP_J,__macro__,0.020576699697352097,positive
ksdd2,2,2,TRI_L - DUP_L,ksdd2,0.02653375132039948,positive
ksdd2,2,2,TRI_L - DUP_L,__macro__,0.02653375132039948,positive
ksdd2,2,2,BAL_J - A1_J,ksdd2,0.012680984962132436,positive
ksdd2,2,2,BAL_J - A1_J,__macro__,0.012680984962132436,positive
