dataset,seed,shot,group,contrast,n_categories,macro_point_delta,note
ksdd2,0,1,small,A1_L - A1_J,1,-0.00675083265454432,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,TRI_L - TRI_J,1,-0.0009334107461834024,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,BAL_L - BAL_J,1,-0.002960430235201539,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,DUP_L - DUP_J,1,-0.003934112214476544,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,DUP_J - A1_J,1,-0.07105005008995294,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,TRI_J - DUP_J,1,0.01351548141709473,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,TRI_L - DUP_L,1,0.01651618288538787,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,BAL_J - A1_J,1,0.015285510063871743,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,small,BAL_L - A1_L,1,0.019075912483214524,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,A1_L - A1_J,1,0.0019343241293628965,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,TRI_L - TRI_J,1,0.007742626130395558,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,BAL_L - BAL_J,1,0.004252313545912378,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,DUP_L - DUP_J,1,0.0014001092242740265,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,DUP_J - A1_J,1,-0.03462448818890296,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,TRI_J - DUP_J,1,-0.008152142475862711,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,TRI_L - DUP_L,1,-0.00180962556974118,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,BAL_J - A1_J,1,-0.006460928792971221,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,1,large,BAL_L - A1_L,1,-0.004142939376421739,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,A1_L - A1_J,1,0.005073517589135629,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,TRI_L - TRI_J,1,-0.006297632987616847,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,BAL_L - BAL_J,1,0.0009488869107234232,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,DUP_L - DUP_J,1,0.003202757146592905,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,DUP_J - A1_J,1,-0.08785099889813763,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,TRI_J - DUP_J,1,0.01962260859090062,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,TRI_L - DUP_L,1,0.010122218456690868,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,BAL_J - A1_J,1,0.005531423167342009,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,small,BAL_L - A1_L,1,0.0014067924889298034,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,A1_L - A1_J,1,0.00405617333739916,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,TRI_L - TRI_J,1,0.008630439401082657,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,BAL_L - BAL_J,1,0.009222136855168817,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,DUP_L - DUP_J,1,0.0019037305165542362,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,DUP_J - A1_J,1,-0.018096216543057042,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,TRI_J - DUP_J,1,0.0019150180081705104,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,TRI_L - DUP_L,1,0.008641726892698931,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,BAL_J - A1_J,1,0.0005163324170398553,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,2,large,BAL_L - A1_L,1,0.0056822959348095115,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,A1_L - A1_J,1,0.0008432072502051746,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,TRI_L - TRI_J,1,-0.006004166116881884,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,BAL_L - BAL_J,1,0.008725047305036898,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,DUP_L - DUP_J,1,-0.0036889509241671142,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,DUP_J - A1_J,1,-0.08648646678648382,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,TRI_J - DUP_J,1,0.0008371724015665549,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,TRI_L - DUP_L,1,-0.0014780427911482152,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,BAL_J - A1_J,1,-0.0009449782268771412,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,small,BAL_L - A1_L,1,0.006936861827954582,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,A1_L - A1_J,1,0.0031746300554261753,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,TRI_L - TRI_J,1,0.0028081811973286186,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,BAL_L - BAL_J,1,0.005144549431112311,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,DUP_L - DUP_J,1,-0.000421694653022775,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,DUP_J - A1_J,1,-0.012362285530341244,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,TRI_J - DUP_J,1,0.0003925742248949149,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,TRI_L - DUP_L,1,0.0036224500752463085,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,BAL_J - A1_J,1,0.0014119267174115269,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,4,large,BAL_L - A1_L,1,0.0033818460930976624,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,A1_L - A1_J,1,0.0022451009352795204,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,TRI_L - TRI_J,1,0.0365916343798795,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,BAL_L - BAL_J,1,0.024718804925437265,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,DUP_L - DUP_J,1,-0.0031662934689630218,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,DUP_J - A1_J,1,-0.03336070927663748,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,TRI_J - DUP_J,1,0.020000052831161963,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,TRI_L - DUP_L,1,0.059757980680004485,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,BAL_J - A1_J,1,-0.0012315710007207437,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,small,BAL_L - A1_L,1,0.021242132989437,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,A1_L - A1_J,1,0.0055211762781923746,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,TRI_L - TRI_J,1,0.008552862316564713,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,BAL_L - BAL_J,1,0.009721654249576828,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,DUP_L - DUP_J,1,0.001338712124407837,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,DUP_J - A1_J,1,-0.002391846613495341,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,TRI_J - DUP_J,1,0.0008077477423620305,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,TRI_L - DUP_L,1,0.008021897934518907,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,BAL_J - A1_J,1,0.0008008221096053036,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,0,8,large,BAL_L - A1_L,1,0.005001300080989757,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,A1_L - A1_J,1,-0.040136907964847646,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,TRI_L - TRI_J,1,-0.021385860254205996,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,BAL_L - BAL_J,1,-0.06536498160194912,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,DUP_L - DUP_J,1,-0.02351534940468071,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,DUP_J - A1_J,1,-0.09936696965188857,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,TRI_J - DUP_J,1,-0.01768095034690688,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,TRI_L - DUP_L,1,-0.015551461196432165,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,BAL_J - A1_J,1,0.030061286046432767,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,small,BAL_L - A1_L,1,0.0048332124093312945,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,A1_L - A1_J,1,0.0036146418348669274,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,TRI_L - TRI_J,1,0.004211884111888109,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,BAL_L - BAL_J,1,0.006919093088560202,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,DUP_L - DUP_J,1,0.0001615892364079663,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,DUP_J - A1_J,1,-0.010665691995881632,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,TRI_J - DUP_J,1,0.013531562917974083,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,TRI_L - DUP_L,1,0.017581857793454225,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,BAL_J - A1_J,1,0.009659432669504864,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,1,large,BAL_L - A1_L,1,0.012963883923198138,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,A1_L - A1_J,1,0.005987125661653783,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,TRI_L - TRI_J,1,0.005331195545248357,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,BAL_L - BAL_J,1,0.02051040435147214,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,DUP_L - DUP_J,1,-0.00021488263288971243,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,DUP_J - A1_J,1,-0.049644083014575985,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,TRI_J - DUP_J,1,-0.0074103853558636495,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,TRI_L - DUP_L,1,-0.0018643071777255799,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,BAL_J - A1_J,1,-0.019352482163854587,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,small,BAL_L - A1_L,1,-0.004829203474036231,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,A1_L - A1_J,1,0.005253530189443412,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,TRI_L - TRI_J,1,0.009871476910226051,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,BAL_L - BAL_J,1,0.009738264991128065,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,DUP_L - DUP_J,1,0.001886004711663558,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,DUP_J - A1_J,1,-0.02695638413370094,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,TRI_J - DUP_J,1,0.002211027879491567,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,TRI_L - DUP_L,1,0.01019650007805406,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,BAL_J - A1_J,1,-0.0005382542389552603,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,2,large,BAL_L - A1_L,1,0.003946480562729393,"subgroup pooled AP; exploratory point estimate, no interval"
ksdd2,1,4,small,A1_L - A1_J,1,0.026185556479270566,"subgroup pooled AP; exploratory point estimate, no interval"
