dataset,evaluation_revision,metric,branch,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,n_replicates,effect_scale
mpdd,study,pixel_ap,E1,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.02864343436410055,0.02815919144080434,0.015498304982598856,0.04293655919601859,1000,0.005
mpdd,study,pixel_ap,E1,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.020449759311822274,0.020045516019897753,0.007321927052843412,0.034465924711022944,1000,0.005
mpdd,study,pixel_ap,E1,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.018470600826119163,0.01786956430865714,0.006414294253353483,0.031194336807257885,1000,0.005
mpdd,study,pixel_ap,E1,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.01360982969481353,0.012985492388776904,0.0017234825573820241,0.025856721359873026,1000,0.005
btad,corrected,pixel_ap,E1,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.05204216348868687,0.05145926583128094,0.037852859859823285,0.06441774207114855,1000,0.005
btad,corrected,pixel_ap,E1,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.04635935523392612,0.04562459426195372,0.03286001431613764,0.05749616090980074,1000,0.005
btad,corrected,pixel_ap,E1,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.03263134456475175,0.03202221008953559,0.018214605130537295,0.04441831531921748,1000,0.005
btad,corrected,pixel_ap,E1,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.030533037892481907,0.029779075188005957,0.016977993760183774,0.041144686388671456,1000,0.005
btad,study,pixel_ap,E1,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.05191539258440675,0.05136390792847125,0.0376555696725798,0.06425403023244208,1000,0.005
btad,study,pixel_ap,E1,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.04644508988237894,0.04572785537289652,0.03286251123955879,0.057445173203234244,1000,0.005
btad,study,pixel_ap,E1,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.03233194440821488,0.03177085202444136,0.018471414592960405,0.04404631603461021,1000,0.005
btad,study,pixel_ap,E1,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.03069817678092665,0.029991859367640237,0.016968428506345293,0.04127524188801433,1000,0.005
