dataset,evaluation_revision,metric,kind,contrast,seed,shot,point_delta,mean_delta,ci95_low,ci95_high
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,1,0.005734454542563272,0.006500969303957852,-0.0028296835750110257,0.02008472258450115
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,2,-0.0010491933639484863,-0.0015384411286606518,-0.012914877501139527,0.011291699729587434
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,4,-0.006962830292348121,-0.006462347868153764,-0.021491106679837255,0.009918873831969538
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,0,8,-0.0034413544266808094,-0.00222614447913672,-0.015438018329748652,0.011761078378057052
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,1,-0.0016930509618850453,-0.0022071573923527813,-0.010903144743315019,0.005658952137804374
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,2,-0.0066257510187421875,-0.006257111114691043,-0.015203546098089377,0.0025513433402038037
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,4,-0.0037602022539937607,-0.004100851981640769,-0.014243292338760353,0.0065746876905966945
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,1,8,0.0012642491806015843,-0.0013782503846503683,-0.014213482268903562,0.009874539257455546
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,2,1,-0.002600117764264942,-0.0028761636150280677,-0.011743302632177528,0.00481685934785859
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,2,2,-0.006396742610116746,-0.006566222648952719,-0.01845992686558484,0.005386153911079449
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,2,4,0.0026179320637526593,0.0009339674266777452,-0.01192080354977849,0.01459054162649737
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,2,8,-0.003958940896146845,-0.0036746133882438483,-0.01285679030247448,0.006366405271319784
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,1,0.009740721702788113,0.010568576893136878,0.0024829898655895537,0.02101380049061283
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,2,0.004421543310817677,0.005031207084920529,-0.005118107405087972,0.015491873083846934
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,4,0.0025267508434269614,0.0008161572908456361,-0.012689913206046254,0.012680598022046885
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,0,8,0.008621187389290907,0.008099167900144599,-0.0019406124503664633,0.019021558962930382
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,1,0.0027207805924645556,0.0012352767120132585,-0.011768022472991338,0.011754002606931373
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,2,0.00010993411602500114,0.00039058089254439816,-0.008491668130365376,0.008816206445718221
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,4,0.009013719085151028,0.008905701182030604,-0.0001699302067120405,0.01819228912986091
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,1,8,0.009283886754188564,0.00796036289284277,-0.0005599416561183359,0.016981130142028244
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,2,1,0.001511430375720213,0.0019592585803452117,-0.008179407540552526,0.010469397071252853
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,2,2,0.0018319624125870404,0.0026203751107322292,-0.008938773343554824,0.014224701591512073
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,2,4,0.009063631911149339,0.007178598167738592,-0.001978439649872163,0.01584425868589931
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,2,8,0.006936514285562134,0.0068747069514312345,-0.004181960471298847,0.018422172479462515
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,1,0.0024153920025455355,0.0028740808119198753,-0.004412019960223326,0.012243399805945826
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,2,-0.007320233240997398,-0.007669695062831575,-0.017412399197588517,0.0013149262561897037
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,4,-0.010200020786672703,-0.009552912767744172,-0.02401508687756137,0.004967301726972017
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,0,8,-0.007515141462063335,-0.006622769853700317,-0.018120322039276583,0.0046837629594758245
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,1,-0.0027246337840591273,-0.003176690378126793,-0.011306419496911902,0.003981820085244601
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,2,-0.009015439775478529,-0.008298267178252362,-0.016519261861485345,-8.6494819530364e-05
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,4,-0.00812788360875183,-0.009025968323001237,-0.019204824490619617,-0.00020175472814490397
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,1,8,-0.00439881988618418,-0.005388633843883552,-0.016582070161085295,0.00543567109048115
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,2,1,-0.0023644622306677188,-0.002775166533128941,-0.010650001391607832,0.003864961101811203
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,2,2,-0.004704278193553346,-0.0049982829286567285,-0.01617449733347518,0.005087953669827205
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,2,4,-0.003721202268766377,-0.004154416010435117,-0.014082505863126487,0.007091383008449736
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,2,8,-0.003544251317578073,-0.003467277843492124,-0.01219677299324347,0.0057948134103504014
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,1,0.005875324246522873,0.0067523566847357,-0.0007169285394562269,0.014692830766696075
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,2,-0.0025419090772781927,-0.0019892995804133293,-0.01096747233252665,0.007317689639316419
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,4,-0.0069672680178266,-0.006915088690376793,-0.020018836810028202,0.005555570852845747
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,0,8,-0.00039219149858876756,0.0005641957732547523,-0.008405063525011965,0.010612413197831114
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,1,0.0018603558497988781,0.0011625211534564794,-0.008700165944621478,0.009983256007429202
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,2,-0.002919025663392527,-0.0026885692096127577,-0.01179394016398606,0.005373213029491893
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,4,0.002473668352970748,0.0019969361014803297,-0.007479490235500997,0.010665675231319725
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,1,8,0.004900663222622392,0.00439862868364609,-0.003416129846008768,0.012107580291443362
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,2,1,0.00018808054578856037,0.0001339558876110985,-0.008911686030478998,0.0075797008928360715
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,2,2,0.00192662404803301,0.00224212449484894,-0.007589394068150121,0.012350028135345666
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,2,4,0.0019084941797135602,0.001518529918079917,-0.00781248150085329,0.009846936949406207
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,2,8,0.003923692397443612,0.004414360377716667,-0.005162720273795657,0.015391638837244929
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,1,0.003958875719431154,0.003931237848534279,-9.794465426553178e-05,0.008610271328031887
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,2,0.005516528076428606,0.005169178823991301,1.798029107834415e-05,0.010390696616914179
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,4,0.003941821955133262,0.004532572062160044,-0.000579813708843721,0.010910746550050561
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,0,8,0.006153731614076785,0.006587086672492185,0.0015240730766896264,0.012010297201368477
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,1,0.005837019260194032,0.0068282166671531095,0.0014328674464882175,0.013604593005551226
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,2,0.006725705964686635,0.007281783772467005,0.0014711255409884717,0.013751375833605424
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,4,0.007117116773418808,0.006859143068914527,0.0014014317613650449,0.012902515106920646
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,1,8,0.0060851809488878805,0.005880544147354813,0.0012786530434625216,0.011231184590897293
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,2,1,0.005958376004808585,0.00603035593249168,0.002032841855941192,0.012406594745780668
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,2,2,0.004844441210053119,0.004992514895373426,0.0009678339215562229,0.010406711268319416
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,2,4,0.007124482729511217,0.007488601928471383,0.001979165024565148,0.01389200889900224
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,2,8,0.010875613694074693,0.010879659929646915,0.004864473785054596,0.016776643307873693
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,1,0.005705654974024255,0.0060571021054320676,0.0006449517280907591,0.011233348133122933
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,2,0.0065373233206706405,0.007834896025298702,0.0008003440429415241,0.01542327906543921
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,4,0.011250893323251965,0.009473610430856011,-0.0012044735686352333,0.019727091370437266
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,0,8,0.01636289274026187,0.014976665114754092,0.0052954602235969275,0.025373305842006654
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,1,0.008868674318399716,0.009632997664400329,0.005021989110385211,0.014958911694271649
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,2,0.01156660699478701,0.011672782887993229,0.006391061319566328,0.018279174121155862
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,4,0.016685561548134165,0.016491689250945997,0.011352242367085081,0.022415298827740952
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,1,8,0.010457303962984,0.011457999052605134,0.003670445836987647,0.021530054408510097
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,2,1,0.00751353684299072,0.00829480811200093,0.0045816248128480825,0.012991271670601483
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,2,2,0.009573934191182631,0.010709190204685597,0.0033860982053211574,0.02049020508938048
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,2,4,0.010361124422771206,0.01030564967695788,0.0007018656226713799,0.02020702491720515
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,2,8,0.016334453970539786,0.016417784169417915,0.010257823157782682,0.02314673212059439
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,0,1,0.007418807963408491,0.007809513721350104,0.0023880440163993127,0.014124843373492773
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,0,2,0.010294852240147812,0.010849574306409548,0.00528421883328811,0.01779137273840361
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,0,4,0.007174574723979366,0.007170396139527421,-0.002228399798692028,0.015287697055206557
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,0,8,0.013276681577551352,0.013774052299447255,0.0046246864437558795,0.023071302329649504
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,1,1,0.010422008894052037,0.011167428198736382,0.005824772801386269,0.017265593094494276
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,1,2,0.012822120076772636,0.01289148174110661,0.00758258678912601,0.019701708458908743
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,1,4,0.017718668735141385,0.01788204749339609,0.012267071583109345,0.02476644749350773
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,1,8,0.015384664057694453,0.015667806674884457,0.0071740777358778405,0.026891802073825796
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,2,1,0.008510918781264865,0.008939478353231719,0.005492505244352136,0.012766764199105458
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,2,2,0.011475343451639475,0.012232922318879094,0.004569433027517869,0.021194366950628485
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,2,4,0.012754179177991154,0.013161547856986418,0.0037444339282707148,0.023870766775908592
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,2,8,0.018343557409096378,0.01876129815085571,0.01134622254699846,0.02622012177984841
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,0,1,0.0016993878137994134,0.0019894945162530417,-0.0004513214146680378,0.005924520681533996
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,0,2,0.001066586645904477,0.0012652478117175208,-0.002157179259122463,0.0049681069142937205
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,0,4,0.0017613121874768822,0.0021951052718566107,-0.0008755315532934863,0.006106282571297826
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,0,8,0.004300350924290153,0.004651352735472774,0.0008918790259702547,0.008623817246435342
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,1,1,0.004454842764050115,0.0061905635600342885,0.0009746572983598795,0.014292301339183787
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,1,2,0.004830921860019821,0.005025090880757789,0.0007829939386958751,0.010032678749223476
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,1,4,0.003911640208989375,0.0034851360872746266,-0.001204938858998371,0.007616450242862951
