dataset,contrast,metric,close_point_delta,s1_point_delta,close_bootstrap_mean,s1_bootstrap_mean,close_ci95_low,s1_ci95_low,close_ci95_high,s1_ci95_high,max_abs_diff
mpdd,TRI_J - DUP_J,pixel_ap,-0.002239295650100786,-0.002239295650100786,-0.002487697272572928,-0.002487697272572928,-0.009676672959746542,-0.009676672959746542,0.004779507732018213,0.004779507732018213,0.0
mpdd,TRI_L - DUP_L,pixel_ap,0.0054818385649309615,0.0054818385649309615,0.005136664138227162,0.005136664138227162,-0.0009174226111837295,-0.0009174226111837295,0.01159868337515173,0.01159868337515173,0.0
mpdd,BAL_J - A1_J,pixel_ap,-0.005101747879352257,-0.005101747879352257,-0.005187999992611087,-0.005187999992611087,-0.011345429959963522,-0.011345429959963522,0.0012305267702172552,0.0012305267702172552,0.0
mpdd,BAL_L - A1_L,pixel_ap,0.0008530423821506289,0.0008530423821506289,0.0009658876328689245,0.0009658876328689245,-0.004337402837593803,-0.004337402837593803,0.007082223901198041,0.007082223901198041,0.0
mpdd,TRI_J - DUP_J,pixel_auroc,0.0030787687301585633,0.0030787687301585633,0.0030489073797752733,0.0030489073797752733,0.0017377548076828275,0.0017377548076828275,0.004402267614552311,0.004402267614552311,0.0
mpdd,TRI_L - DUP_L,pixel_auroc,0.005035553024622182,0.005035553024622182,0.005000317700784315,0.005000317700784315,0.0036818119095843164,0.0036818119095843164,0.006319229269944235,0.006319229269944235,0.0
mpdd,BAL_J - A1_J,pixel_auroc,0.0021713444147291408,0.0021713444147291408,0.0021469620400928918,0.0021469620400928918,0.001046223461328851,0.001046223461328851,0.003206820550538043,0.003206820550538043,0.0
mpdd,BAL_L - A1_L,pixel_auroc,0.00339317963162016,0.00339317963162016,0.0033619559484357165,0.0033619559484357165,0.0023454454577686284,0.0023454454577686284,0.0043957638762535355,0.0043957638762535355,0.0
btad,TRI_J - DUP_J,pixel_ap,0.015346262693690618,0.015346262693690618,0.015540532604626442,0.015540532604626442,0.006346798231615854,0.006346798231615854,0.024461218510733046,0.024461218510733046,0.0
btad,TRI_L - DUP_L,pixel_ap,0.014868301089907526,0.014868301089907526,0.015343697129549876,0.015343697129549876,0.0061685027691568035,0.0061685027691568035,0.02476783798569214,0.02476783798569214,0.0
btad,BAL_J - A1_J,pixel_ap,0.009615188251306833,0.009615188251306833,0.009893391351224816,0.009893391351224816,0.0015637286645325303,0.0015637286645325303,0.01803233671232017,0.01803233671232017,0.0
btad,BAL_L - A1_L,pixel_ap,0.008446361606240071,0.008446361606240071,0.009020214178227627,0.009020214178227627,0.0007606234527818415,0.0007606234527818415,0.017184510300409458,0.017184510300409458,0.0
btad,TRI_J - DUP_J,pixel_auroc,0.0013335385043094367,0.0013335385043094367,0.0013663331982191544,0.0013663331982191544,0.0005715979144845074,0.0005715979144845074,0.002109603448392349,0.002109603448392349,0.0
btad,TRI_L - DUP_L,pixel_auroc,0.0013952912700046366,0.0013952912700046366,0.0014387512397825261,0.0014387512397825261,0.0005992950038539593,0.0005992950038539593,0.0022473105332469884,0.0022473105332469884,0.0
btad,BAL_J - A1_J,pixel_auroc,0.0009627612292820997,0.0009627612292820997,0.0009956072205226242,0.0009956072205226242,0.0002857894810924272,0.0002857894810924272,0.0016468023424297768,0.0016468023424297768,0.0
btad,BAL_L - A1_L,pixel_auroc,0.000956896126524262,0.000956896126524262,0.000998834004585244,0.000998834004585244,0.0002609414482211914,0.0002609414482211914,0.0017359238435710066,0.0017359238435710066,0.0
