category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
mvtec_bottle,83,0.9857142857142857,0.99591447152238,0.9763779527559054,0.9752573412290024,0.686595782024912,0.8587058093883451
mvtec_cable,150,0.8429535232383809,0.9030753196255435,0.826530612244898,0.9524538957842615,0.5816900664753203,0.7955810186749326
mvtec_capsule,132,0.5807738332668528,0.8838334406233708,0.9075630252100841,0.946027246277192,0.322726726966615,0.6215417265145103
mvtec_carpet,117,0.9763242375601927,0.9934830542226563,0.9651162790697675,0.9788204747387239,0.5053054055219796,0.8380787813788854
mvtec_grid,78,0.5580618212197159,0.8146342582900152,0.8444444444444443,0.5973645134139467,0.009972032285674245,0.20988656362615463
mvtec_hazelnut,110,0.9725,0.9845438995198481,0.9428571428571428,0.9619739422943717,0.3941314513338735,0.7645591325469244
mvtec_leather,124,1.0,1.0000000000000002,1.0,0.9856758056293592,0.3478833278268065,0.9437923210738048
mvtec_metal_nut,115,0.801564027370479,0.9407564772020256,0.914572864321608,0.9248787718306594,0.6608605517114998,0.6478177755054076
mvtec_pill,167,0.6759410801963993,0.9266929521869205,0.9215686274509803,0.942446871352676,0.6673529832659726,0.8008809578031776
mvtec_screw,160,0.49723303955728637,0.734882271624812,0.8613138686131386,0.8172406535916316,0.012444808189527926,0.47754294603664726
mvtec_tile,117,0.9880952380952381,0.9958356851307009,0.9696969696969696,0.9352168675220971,0.5679868869898093,0.6783151600022546
mvtec_toothbrush,42,0.8194444444444444,0.9283424499257833,0.8695652173913044,0.9617132106836902,0.5128028002491014,0.5398930532718129
mvtec_transistor,100,0.9633333333333334,0.955104988564757,0.8974358974358975,0.9696113384806979,0.7392594898212934,0.8935448657400891
mvtec_wood,79,0.9456140350877194,0.9802206116957078,0.9523809523809523,0.9105977613642122,0.38472879736479304,0.6688507040487653
mvtec_zipper,151,0.9096638655462185,0.9733698463433459,0.9285714285714285,0.9290724330590003,0.29962134047118394,0.7688193117455618
