method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
E,0.9843682380265987,0.6948355846490156,0.8713768115942029,0.9512005277266999,0.8749999999999999
A1_J,0.991765024084717,0.781792084247496,0.9728260869565217,0.989316803950321,0.9489051094890512
A1_L,0.9933720861495803,0.7890836152039391,0.9759963768115942,0.99071719794921,0.9565217391304348
DUP_J,0.9913504641138737,0.7733123584847905,0.9664855072463768,0.9868684458872545,0.9489051094890512
DUP_L,0.9923905607195869,0.7764305790645649,0.9705615942028986,0.988490435783,0.9428571428571428
TRI_E_J,0.992557573752848,0.8129601032082161,0.9578804347826086,0.983879808744322,0.9465648854961832
TRI_E_L,0.9941689204923303,0.8348353765770975,0.9796195652173914,0.992625426517976,0.962962962962963
BAL_E_J,0.9924344418461999,0.811490302751145,0.9633152173913044,0.9855525088569487,0.9465648854961832
BAL_E_L,0.9943622283379143,0.835389941350426,0.9814311594202899,0.9934497033041967,0.9705882352941176
