variant,dataset,seed,shot,category,method,pixel_ap
procrustes,btad,0,1,03,TRI_L,0.7098432047901285
procrustes,btad,0,1,03,BAL_J,0.6968830161921297
procrustes,btad,0,1,03,BAL_L,0.7017431715476825
procrustes,btad,0,4,01,A1_J,0.5877759136653282
procrustes,btad,0,4,01,A1_L,0.5971980753080584
procrustes,btad,0,4,01,DUP_J,0.5782390320140864
procrustes,btad,0,4,01,DUP_L,0.5854883761759592
procrustes,btad,0,4,01,TRI_J,0.5605525497846069
procrustes,btad,0,4,01,TRI_L,0.5601933590838852
procrustes,btad,0,4,01,BAL_J,0.570738815280838
procrustes,btad,0,4,01,BAL_L,0.5748954734420332
procrustes,btad,0,4,02,A1_J,0.5954013759702413
procrustes,btad,0,4,02,A1_L,0.6044364923321339
procrustes,btad,0,4,02,DUP_J,0.5829989140567241
procrustes,btad,0,4,02,DUP_L,0.5894210386537124
procrustes,btad,0,4,02,TRI_J,0.6263733111695865
procrustes,btad,0,4,02,TRI_L,0.6326399184889392
procrustes,btad,0,4,02,BAL_J,0.6314941579249014
procrustes,btad,0,4,02,BAL_L,0.6396789463559811
procrustes,btad,0,4,03,A1_J,0.7637627947523407
procrustes,btad,0,4,03,A1_L,0.7790444354582067
procrustes,btad,0,4,03,DUP_J,0.7643048681591449
procrustes,btad,0,4,03,DUP_L,0.7723089846562678
procrustes,btad,0,4,03,TRI_J,0.7700325289492496
procrustes,btad,0,4,03,TRI_L,0.7766112069753284
procrustes,btad,0,4,03,BAL_J,0.761054349382411
procrustes,btad,0,4,03,BAL_L,0.7728471510806628
procrustes,btad,1,1,01,A1_J,0.6000957663966431
procrustes,btad,1,1,01,A1_L,0.6034760861900395
procrustes,btad,1,1,01,DUP_J,0.591177995642969
procrustes,btad,1,1,01,DUP_L,0.5939954875691584
procrustes,btad,1,1,01,TRI_J,0.5657732128748112
procrustes,btad,1,1,01,TRI_L,0.5723853001476821
procrustes,btad,1,1,01,BAL_J,0.5759550065441645
procrustes,btad,1,1,01,BAL_L,0.5836449663443208
procrustes,btad,1,1,02,A1_J,0.572959715606873
procrustes,btad,1,1,02,A1_L,0.5826556967678668
procrustes,btad,1,1,02,DUP_J,0.5569163667796738
procrustes,btad,1,1,02,DUP_L,0.5641776048367596
procrustes,btad,1,1,02,TRI_J,0.6178839465745158
procrustes,btad,1,1,02,TRI_L,0.6282354317357393
procrustes,btad,1,1,02,BAL_J,0.6242739056305323
procrustes,btad,1,1,02,BAL_L,0.6355739474356908
procrustes,btad,1,1,03,A1_J,0.722069719543826
procrustes,btad,1,1,03,A1_L,0.7335350964506722
procrustes,btad,1,1,03,DUP_J,0.7153669403680835
procrustes,btad,1,1,03,DUP_L,0.7232699634514712
procrustes,btad,1,1,03,TRI_J,0.7256248408114246
procrustes,btad,1,1,03,TRI_L,0.7345113106372626
procrustes,btad,1,1,03,BAL_J,0.7230774071874769
procrustes,btad,1,1,03,BAL_L,0.7336590882890047
procrustes,btad,1,4,01,A1_J,0.6088866934523864
procrustes,btad,1,4,01,A1_L,0.6117878556577588
procrustes,btad,1,4,01,DUP_J,0.6017918523321112
procrustes,btad,1,4,01,DUP_L,0.6039422592817403
procrustes,btad,1,4,01,TRI_J,0.5834876963213003
procrustes,btad,1,4,01,TRI_L,0.5868315293168398
procrustes,btad,1,4,01,BAL_J,0.5908220803048784
procrustes,btad,1,4,01,BAL_L,0.5945331111744355
procrustes,btad,1,4,02,A1_J,0.5680662470353608
procrustes,btad,1,4,02,A1_L,0.5759440960289353
procrustes,btad,1,4,02,DUP_J,0.5473540050037625
procrustes,btad,1,4,02,DUP_L,0.5547017970059858
procrustes,btad,1,4,02,TRI_J,0.6240978694854922
procrustes,btad,1,4,02,TRI_L,0.6241990263389428
procrustes,btad,1,4,02,BAL_J,0.6327049184586171
procrustes,btad,1,4,02,BAL_L,0.6336272126537116
procrustes,btad,1,4,03,A1_J,0.7631606502915994
procrustes,btad,1,4,03,A1_L,0.7720535437171858
procrustes,btad,1,4,03,DUP_J,0.7585830356625831
procrustes,btad,1,4,03,DUP_L,0.7623817139656387
procrustes,btad,1,4,03,TRI_J,0.7637953631196248
procrustes,btad,1,4,03,TRI_L,0.7718367975538689
procrustes,btad,1,4,03,BAL_J,0.7602163596582834
procrustes,btad,1,4,03,BAL_L,0.7706197464945526
shuffled,btad,0,1,01,A1_J,0.5250712984635323
shuffled,btad,0,1,01,A1_L,0.5357274011388982
shuffled,btad,0,1,01,DUP_J,0.5376928408868319
shuffled,btad,0,1,01,DUP_L,0.543229118347068
shuffled,btad,0,1,01,TRI_J,0.5080243487780581
shuffled,btad,0,1,01,TRI_L,0.5191912983560167
shuffled,btad,0,1,01,BAL_J,0.4821442333159772
shuffled,btad,0,1,01,BAL_L,0.49847924131495835
shuffled,btad,0,1,02,A1_J,0.5745370111201739
shuffled,btad,0,1,02,A1_L,0.5639641629765005
shuffled,btad,0,1,02,DUP_J,0.5781730389876198
shuffled,btad,0,1,02,DUP_L,0.5714523719105071
shuffled,btad,0,1,02,TRI_J,0.6294998262150524
shuffled,btad,0,1,02,TRI_L,0.6254856430325025
shuffled,btad,0,1,02,BAL_J,0.6154798812181214
shuffled,btad,0,1,02,BAL_L,0.609960510519121
shuffled,btad,0,1,03,A1_J,0.6579698178014144
shuffled,btad,0,1,03,A1_L,0.6646260529846681
shuffled,btad,0,1,03,DUP_J,0.6564775795489822
shuffled,btad,0,1,03,DUP_L,0.6586467565684857
shuffled,btad,0,1,03,TRI_J,0.6883715211250664
shuffled,btad,0,1,03,TRI_L,0.699600139316379
shuffled,btad,0,1,03,BAL_J,0.6817945869005824
shuffled,btad,0,1,03,BAL_L,0.6969728900476235
shuffled,btad,0,4,01,A1_J,0.5460888854656641
shuffled,btad,0,4,01,A1_L,0.5515270909453749
shuffled,btad,0,4,01,DUP_J,0.5593230771946416
shuffled,btad,0,4,01,DUP_L,0.5610309279313288
shuffled,btad,0,4,01,TRI_J,0.5254766413595264
shuffled,btad,0,4,01,TRI_L,0.5195797054686813
shuffled,btad,0,4,01,BAL_J,0.49903810024426426
shuffled,btad,0,4,01,BAL_L,0.49678551978306185
shuffled,btad,0,4,02,A1_J,0.5588186047512758
shuffled,btad,0,4,02,A1_L,0.5526526804216398
shuffled,btad,0,4,02,DUP_J,0.5657949737412329
shuffled,btad,0,4,02,DUP_L,0.5608154160728148
shuffled,btad,0,4,02,TRI_J,0.6069381046815975
shuffled,btad,0,4,02,TRI_L,0.6030680682344978
shuffled,btad,0,4,02,BAL_J,0.5929243229494512
shuffled,btad,0,4,02,BAL_L,0.5869506042694446
shuffled,btad,0,4,03,A1_J,0.7418923109493023
shuffled,btad,0,4,03,A1_L,0.7545000777477169
shuffled,btad,0,4,03,DUP_J,0.7467986819866839
shuffled,btad,0,4,03,DUP_L,0.7542485132662109
shuffled,btad,0,4,03,TRI_J,0.7550217902284737
shuffled,btad,0,4,03,TRI_L,0.763214440529519
shuffled,btad,0,4,03,BAL_J,0.7421220975481
shuffled,btad,0,4,03,BAL_L,0.7536930488323459
shuffled,btad,1,1,01,A1_J,0.5595478621737111
shuffled,btad,1,1,01,A1_L,0.5628928705277007
shuffled,btad,1,1,01,DUP_J,0.5717233999941915
shuffled,btad,1,1,01,DUP_L,0.5722986196382897
shuffled,btad,1,1,01,TRI_J,0.5306791906655359
shuffled,btad,1,1,01,TRI_L,0.5359130941979773
shuffled,btad,1,1,01,BAL_J,0.505772787721215
shuffled,btad,1,1,01,BAL_L,0.5138403831514358
shuffled,btad,1,1,02,A1_J,0.5361165588342873
shuffled,btad,1,1,02,A1_L,0.527191026688306
shuffled,btad,1,1,02,DUP_J,0.539150843465474
shuffled,btad,1,1,02,DUP_L,0.5340304974829992
shuffled,btad,1,1,02,TRI_J,0.5985675374227174
shuffled,btad,1,1,02,TRI_L,0.5996294664546818
shuffled,btad,1,1,02,BAL_J,0.5863849524435395
shuffled,btad,1,1,02,BAL_L,0.584112824294313
shuffled,btad,1,1,03,A1_J,0.686669601171047
shuffled,btad,1,1,03,A1_L,0.7042401374751946
shuffled,btad,1,1,03,DUP_J,0.6942847162889871
shuffled,btad,1,1,03,DUP_L,0.7011225526278511
shuffled,btad,1,1,03,TRI_J,0.7064163659120479
shuffled,btad,1,1,03,TRI_L,0.7175980840124957
shuffled,btad,1,1,03,BAL_J,0.6927092514335432
shuffled,btad,1,1,03,BAL_L,0.7139982417003592
shuffled,btad,1,4,01,A1_J,0.5712085060121712
shuffled,btad,1,4,01,A1_L,0.5731336892441341
shuffled,btad,1,4,01,DUP_J,0.5826029263488179
shuffled,btad,1,4,01,DUP_L,0.5835872399744658
shuffled,btad,1,4,01,TRI_J,0.5538073783205112
shuffled,btad,1,4,01,TRI_L,0.5535194860398689
shuffled,btad,1,4,01,BAL_J,0.5263232989417437
shuffled,btad,1,4,01,BAL_L,0.5266136188651879
shuffled,btad,1,4,02,A1_J,0.5270890752842787
shuffled,btad,1,4,02,A1_L,0.5168111619381868
shuffled,btad,1,4,02,DUP_J,0.5285706061326754
shuffled,btad,1,4,02,DUP_L,0.5225104263808008
shuffled,btad,1,4,02,TRI_J,0.6008911002131394
shuffled,btad,1,4,02,TRI_L,0.5924426695557851
shuffled,btad,1,4,02,BAL_J,0.5872675936056015
