ot_factor,variant,dataset,name,n_conditions,mean_over_conditions,ci95_low,ci95_high,ci9875_low,ci9875_high,ci9875_excludes_zero
0.0,ot_sinkhorn,btad,I_BAL,4,0.001482710231365092,-0.0036070365945399863,0.006779371019746265,-0.003688292184255372,0.00688801228096584,False
0.0,ot_sinkhorn,btad,I_TRI,4,0.0021971112375353263,-0.001668756379438982,0.006821558144303939,-0.0017183625654607925,0.0069715645304455846,False
0.05,ot_sinkhorn,btad,I_BAL,4,0.0015601306217807955,-0.0019752239476299996,0.0073666727243890924,-0.0019839264834010245,0.007675973610142142,False
0.05,ot_sinkhorn,btad,I_TRI,4,0.0016191809709500682,-0.001544101047597853,0.0060791090401068285,-0.0015791891923168145,0.0062858121032887265,False
0.1,ot_sinkhorn,btad,I_BAL,4,0.0010349381372796174,-0.0023245562840266696,0.0060687576568427565,-0.002329642066071738,0.006295445290127705,False
0.1,ot_sinkhorn,btad,I_TRI,4,0.0011508965117404864,-0.0021565088468595774,0.004937646798073924,-0.002208553303358811,0.005053133965596693,False
0.5,ot_sinkhorn,btad,I_BAL,4,0.0002494606723644396,-0.0026411968923877455,0.0033357643277047923,-0.002675523675717304,0.0033959854465533735,False
0.5,ot_sinkhorn,btad,I_TRI,4,0.0006121164836701831,-0.0023327790999690752,0.0036470898808373016,-0.0024075832550823303,0.0037338160995057145,False
