variant,dataset,seed,shot,category,method,pixel_ap
identity,mpdd,0,4,metal_plate,BAL_J,0.9068324129103437
identity,mpdd,0,4,metal_plate,BAL_L,0.9109283521514282
identity,mpdd,0,4,tubes,A1_J,0.7550400448747684
identity,mpdd,0,4,tubes,A1_L,0.7607110691209451
identity,mpdd,0,4,tubes,DUP_J,0.7440802420731045
identity,mpdd,0,4,tubes,DUP_L,0.7468631552289932
identity,mpdd,0,4,tubes,TRI_J,0.7129875225565117
identity,mpdd,0,4,tubes,TRI_L,0.7269072580823269
identity,mpdd,0,4,tubes,BAL_J,0.7220067286945484
identity,mpdd,0,4,tubes,BAL_L,0.7403666810328122
identity,mpdd,1,1,bracket_black,A1_J,0.11756475054139814
identity,mpdd,1,1,bracket_black,A1_L,0.11936840023593809
identity,mpdd,1,1,bracket_black,DUP_J,0.1332328690923143
identity,mpdd,1,1,bracket_black,DUP_L,0.13344086324935495
identity,mpdd,1,1,bracket_black,TRI_J,0.13409097078198226
identity,mpdd,1,1,bracket_black,TRI_L,0.12972798613218003
identity,mpdd,1,1,bracket_black,BAL_J,0.11729735190026166
identity,mpdd,1,1,bracket_black,BAL_L,0.11287392830479119
identity,mpdd,1,1,bracket_brown,A1_J,0.03510863173826599
identity,mpdd,1,1,bracket_brown,A1_L,0.03763790223694191
identity,mpdd,1,1,bracket_brown,DUP_J,0.0358854083136827
identity,mpdd,1,1,bracket_brown,DUP_L,0.03764287220150063
identity,mpdd,1,1,bracket_brown,TRI_J,0.04330964845238339
identity,mpdd,1,1,bracket_brown,TRI_L,0.04649457096262101
identity,mpdd,1,1,bracket_brown,BAL_J,0.04058251362709742
identity,mpdd,1,1,bracket_brown,BAL_L,0.04452962885024275
identity,mpdd,1,1,bracket_white,A1_J,0.05459945795601945
identity,mpdd,1,1,bracket_white,A1_L,0.06562252590780643
identity,mpdd,1,1,bracket_white,DUP_J,0.06276725254105954
identity,mpdd,1,1,bracket_white,DUP_L,0.07943111609190673
identity,mpdd,1,1,bracket_white,TRI_J,0.05553681607268566
identity,mpdd,1,1,bracket_white,TRI_L,0.06574576658024911
identity,mpdd,1,1,bracket_white,BAL_J,0.049294338500332845
identity,mpdd,1,1,bracket_white,BAL_L,0.05879986097748574
identity,mpdd,1,1,connector,A1_J,0.28629664498204943
identity,mpdd,1,1,connector,A1_L,0.2993697668594331
identity,mpdd,1,1,connector,DUP_J,0.26825861418735963
identity,mpdd,1,1,connector,DUP_L,0.27292213157158524
identity,mpdd,1,1,connector,TRI_J,0.2766821453937825
identity,mpdd,1,1,connector,TRI_L,0.30008056223460405
identity,mpdd,1,1,connector,BAL_J,0.29369244920528215
identity,mpdd,1,1,connector,BAL_L,0.3220313341606695
identity,mpdd,1,1,metal_plate,A1_J,0.8772041215394978
identity,mpdd,1,1,metal_plate,A1_L,0.8753487654595722
identity,mpdd,1,1,metal_plate,DUP_J,0.8510005097534613
identity,mpdd,1,1,metal_plate,DUP_L,0.8498551714906086
identity,mpdd,1,1,metal_plate,TRI_J,0.8751001177320674
identity,mpdd,1,1,metal_plate,TRI_L,0.8784164678123758
identity,mpdd,1,1,metal_plate,BAL_J,0.8963101768087871
identity,mpdd,1,1,metal_plate,BAL_L,0.8980935588790943
identity,mpdd,1,1,tubes,A1_J,0.6842868104529138
identity,mpdd,1,1,tubes,A1_L,0.6927366956154146
identity,mpdd,1,1,tubes,DUP_J,0.6743043137707849
identity,mpdd,1,1,tubes,DUP_L,0.6788878070537021
identity,mpdd,1,1,tubes,TRI_J,0.6305739275000388
identity,mpdd,1,1,tubes,TRI_L,0.6480395014252232
identity,mpdd,1,1,tubes,BAL_J,0.6415372280270022
identity,mpdd,1,1,tubes,BAL_L,0.6649173246942899
identity,mpdd,1,4,bracket_black,A1_J,0.10532372728947503
identity,mpdd,1,4,bracket_black,A1_L,0.10538235690648586
identity,mpdd,1,4,bracket_black,DUP_J,0.10661666041634736
identity,mpdd,1,4,bracket_black,DUP_L,0.10371319477759722
identity,mpdd,1,4,bracket_black,TRI_J,0.10812815344919252
identity,mpdd,1,4,bracket_black,TRI_L,0.11075402319543251
identity,mpdd,1,4,bracket_black,BAL_J,0.11576744855402298
identity,mpdd,1,4,bracket_black,BAL_L,0.11375366115155364
identity,mpdd,1,4,bracket_brown,A1_J,0.052191781268236884
identity,mpdd,1,4,bracket_brown,A1_L,0.05793784961470633
identity,mpdd,1,4,bracket_brown,DUP_J,0.0575358230286908
identity,mpdd,1,4,bracket_brown,DUP_L,0.061516825569008435
identity,mpdd,1,4,bracket_brown,TRI_J,0.05590914806929989
identity,mpdd,1,4,bracket_brown,TRI_L,0.0640107038478821
identity,mpdd,1,4,bracket_brown,BAL_J,0.050491117031081306
identity,mpdd,1,4,bracket_brown,BAL_L,0.05834707409653057
identity,mpdd,1,4,bracket_white,A1_J,0.1561633017689133
identity,mpdd,1,4,bracket_white,A1_L,0.14444098564122132
identity,mpdd,1,4,bracket_white,DUP_J,0.12786478962318704
identity,mpdd,1,4,bracket_white,DUP_L,0.12584910289290377
identity,mpdd,1,4,bracket_white,TRI_J,0.13618031849428958
identity,mpdd,1,4,bracket_white,TRI_L,0.1442715775496143
identity,mpdd,1,4,bracket_white,BAL_J,0.1378229138609297
identity,mpdd,1,4,bracket_white,BAL_L,0.13878082364922656
identity,mpdd,1,4,connector,A1_J,0.4321976984574926
identity,mpdd,1,4,connector,A1_L,0.47217114644762204
identity,mpdd,1,4,connector,DUP_J,0.42910382165177885
identity,mpdd,1,4,connector,DUP_L,0.4502354388596195
identity,mpdd,1,4,connector,TRI_J,0.40247714229748666
identity,mpdd,1,4,connector,TRI_L,0.46674219778611614
identity,mpdd,1,4,connector,BAL_J,0.4024544617477451
identity,mpdd,1,4,connector,BAL_L,0.481972941256107
identity,mpdd,1,4,metal_plate,A1_J,0.8824154010460331
identity,mpdd,1,4,metal_plate,A1_L,0.8832500051912909
identity,mpdd,1,4,metal_plate,DUP_J,0.8587369976080855
identity,mpdd,1,4,metal_plate,DUP_L,0.8586717343251343
identity,mpdd,1,4,metal_plate,TRI_J,0.8859665376211965
identity,mpdd,1,4,metal_plate,TRI_L,0.8912046694906767
identity,mpdd,1,4,metal_plate,BAL_J,0.9039387810940811
identity,mpdd,1,4,metal_plate,BAL_L,0.9090837813005032
identity,mpdd,1,4,tubes,A1_J,0.7628378532972568
identity,mpdd,1,4,tubes,A1_L,0.770650198410165
identity,mpdd,1,4,tubes,DUP_J,0.7530573432126719
identity,mpdd,1,4,tubes,DUP_L,0.7563987276146437
identity,mpdd,1,4,tubes,TRI_J,0.7216933682483648
identity,mpdd,1,4,tubes,TRI_L,0.7334840977491692
identity,mpdd,1,4,tubes,BAL_J,0.7318889001638136
identity,mpdd,1,4,tubes,BAL_L,0.7467359880390331
procrustes,mpdd,0,1,bracket_black,A1_J,0.010484230498482714
procrustes,mpdd,0,1,bracket_black,A1_L,0.009556227053744086
procrustes,mpdd,0,1,bracket_black,DUP_J,0.012929527309435817
procrustes,mpdd,0,1,bracket_black,DUP_L,0.012060403670465528
procrustes,mpdd,0,1,bracket_black,TRI_J,0.011113057184536278
procrustes,mpdd,0,1,bracket_black,TRI_L,0.010705179902393669
procrustes,mpdd,0,1,bracket_black,BAL_J,0.00944629067478977
procrustes,mpdd,0,1,bracket_black,BAL_L,0.008781619564064303
procrustes,mpdd,0,1,bracket_brown,A1_J,0.03444573946613781
procrustes,mpdd,0,1,bracket_brown,A1_L,0.03867855214745179
procrustes,mpdd,0,1,bracket_brown,DUP_J,0.035627514041306194
procrustes,mpdd,0,1,bracket_brown,DUP_L,0.03851714447471133
procrustes,mpdd,0,1,bracket_brown,TRI_J,0.040121198234782995
procrustes,mpdd,0,1,bracket_brown,TRI_L,0.04342882366912445
procrustes,mpdd,0,1,bracket_brown,BAL_J,0.03786765020079429
procrustes,mpdd,0,1,bracket_brown,BAL_L,0.04236203305576062
procrustes,mpdd,0,1,bracket_white,A1_J,0.08474999424338445
procrustes,mpdd,0,1,bracket_white,A1_L,0.09410628236856855
procrustes,mpdd,0,1,bracket_white,DUP_J,0.08387013885406
procrustes,mpdd,0,1,bracket_white,DUP_L,0.08814860824877828
procrustes,mpdd,0,1,bracket_white,TRI_J,0.10184357352473075
procrustes,mpdd,0,1,bracket_white,TRI_L,0.10373705523272972
procrustes,mpdd,0,1,bracket_white,BAL_J,0.09708575137891731
