variant,dataset,name,n_conditions,mean_over_conditions,ci95_low,ci95_high,ci9875_low,ci9875_high,ci9875_excludes_zero
identity,mpdd,I_TRI,4,0.007670801244443578,0.004036806804808093,0.012527514776028122,0.00401388840951029,0.012712263639378009,True
identity,mpdd,I_BAL,4,0.005469695582589245,0.0032497533601922725,0.010150012712105118,0.0032369707428715833,0.010488433184779782,True
procrustes,mpdd,I_TRI,4,0.007670747559568138,0.00403679216427227,0.012527495363009693,0.004013862049776601,0.012712265649171705,True
procrustes,mpdd,I_BAL,4,0.005469829150284803,0.0032501044419522046,0.010150085777970183,0.003237346289709052,0.010488502566598265,True
shuffled,mpdd,I_TRI,4,0.007989534445659202,0.00239385879936228,0.012587019347017983,0.0020662224059274357,0.012782542259505134,True
shuffled,mpdd,I_BAL,4,0.008134760402607275,0.003377825086550373,0.012750310187645586,0.0031710002436248384,0.012938422239701012,True
ot_sinkhorn,mpdd,I_TRI,4,0.005913278546086264,-0.001719542323981945,0.015888484703665686,-0.002048840539811218,0.016527804501665567,False
ot_sinkhorn,mpdd,I_BAL,4,0.005699713323542754,-0.0003810774129300632,0.013920368640127016,-0.0006490817258704184,0.014471590323964478,False
