category,ot_cost_iqr,ot_cost_max,ot_cost_median,ot_cost_min,ot_diag_mass,ot_epsilon,ot_factor,ot_iters,ot_marginal_err,ot_mean_rowmax,ot_mode,ot_norm_minus_identity,seed,shot,variant
bracket_black,0.03469601913001008,1.094239080833793,0.9910130143223076,0.8875641214186031,0.0007917597774354514,0.0034696019130010082,0.1,75,5.77315972805098e-14,0.03618685281456732,sinkhorn,32.12158693620718,0,1,ot_sinkhorn
bracket_brown,0.030007011361928404,1.1034751272588406,0.9991254726061924,0.8898425956716228,0.0006717457015563163,0.0030007011361928406,0.1,75,3.740030507445318e-11,0.043522201811632834,sinkhorn,32.16793876539333,0,1,ot_sinkhorn
bracket_white,0.03310801522860418,1.0888546881605021,1.0028787394717593,0.8908832856399536,0.0012732070830001948,0.0033108015228604185,0.1,100,3.1148417178834876e-12,0.0437124741328417,sinkhorn,32.158370256504426,0,1,ot_sinkhorn
connector,0.030740216096097672,1.1254855329837898,1.0060849925717774,0.8870304701089822,0.0008345596568501513,0.0030740216096097673,0.1,75,7.345235530917338e-13,0.05296391059706607,sinkhorn,32.2280962066904,0,1,ot_sinkhorn
metal_plate,0.03399160163880455,1.1018616112639104,1.0103060896783398,0.8668558464153862,0.0012689891775822758,0.003399160163880455,0.1,75,4.884981308350808e-14,0.044501150154764246,sinkhorn,32.16428206004389,0,1,ot_sinkhorn
tubes,0.03988945322576387,1.124680192950434,1.0189369742177696,0.9008205606402083,0.0008289758198575068,0.003988945322576387,0.1,50,1.945998917561081e-12,0.03360333142813021,sinkhorn,32.1029760685065,0,1,ot_sinkhorn
bracket_black,0.025591037366510694,1.0649657211895607,0.9990925394672231,0.9167814301281928,0.0009299648749697216,0.0025591037366510696,0.1,50,2.03392858111308e-13,0.050675636857872686,sinkhorn,32.17279614301639,0,4,ot_sinkhorn
bracket_brown,0.024547386818266514,1.0854351295543985,1.0025371519908703,0.9063678868119104,0.0011110013679026221,0.0024547386818266517,0.1,75,1.2700951401710983e-13,0.05262415955720992,sinkhorn,32.18788683398807,0,4,ot_sinkhorn
bracket_white,0.025258309955821234,1.069703650161986,1.0012397587312463,0.909124015869204,0.0009675712390032318,0.0025258309955821234,0.1,75,3.7303493627404566e-14,0.05098946575257122,sinkhorn,32.178388556242986,0,4,ot_sinkhorn
connector,0.02477429877510151,1.0833564463536853,1.0078692533276175,0.9056802733725905,0.0011307053218674984,0.002477429877510151,0.1,50,5.586642259912227e-13,0.05703247106669797,sinkhorn,32.20134862009639,0,4,ot_sinkhorn
metal_plate,0.02581528059344229,1.086737770782952,1.0097899650820499,0.9280349171502816,0.001917374538120144,0.0025815280593442292,0.1,50,1.7159607068591697e-12,0.04986250998205014,sinkhorn,32.14795244660061,0,4,ot_sinkhorn
tubes,0.03414072981899685,1.0946662173058967,1.0190238018075841,0.9129677158239997,0.0008400265999605307,0.0034140729818996855,0.1,50,3.64153152077058e-14,0.02829186710607494,sinkhorn,32.06958101133199,0,4,ot_sinkhorn
bracket_black,0.03849436707494158,1.0963449414907207,0.9996096976127229,0.8936439115444094,0.000849428884493527,0.0038494367074941582,0.1,75,9.148237722910872e-14,0.040712983811522094,sinkhorn,32.15062791318097,1,1,ot_sinkhorn
bracket_brown,0.030631589756897948,1.0925025762548735,1.0003887838775771,0.8873123583552374,0.0008859813216837121,0.003063158975689795,0.1,75,2.0756729668370383e-12,0.0414637155813794,sinkhorn,32.14977635317491,1,1,ot_sinkhorn
bracket_white,0.03463920700322365,1.0946227148404497,0.9983642339425784,0.8684746338961404,0.0007857575437922081,0.003463920700322365,0.1,75,5.151434834260859e-14,0.0322379530875996,sinkhorn,32.10984227612238,1,1,ot_sinkhorn
connector,0.02969660205516811,1.0999918040598684,1.0076247375608591,0.8922949377569422,0.0015116339727079952,0.002969660205516811,0.1,75,2.3225865675131303e-12,0.060871439314518425,sinkhorn,32.255926267718884,1,1,ot_sinkhorn
metal_plate,0.036382587819167256,1.1092156743370947,1.0129313212577529,0.8810409435234727,0.0012087340729587765,0.003638258781916726,0.1,75,4.796163466380791e-14,0.042252981399731465,sinkhorn,32.144829300028064,1,1,ot_sinkhorn
tubes,0.043740398753147613,1.123263643815311,1.0189334382986868,0.9123182688058893,0.000854435660402127,0.004374039875314761,0.1,50,5.822009541117373e-12,0.028198213449257624,sinkhorn,32.07918388344567,1,1,ot_sinkhorn
bracket_black,0.025947704462558896,1.0722801450665485,1.0003633586411613,0.9204024662805388,0.001557946734591295,0.0025947704462558896,0.1,75,4.884981308350808e-14,0.06100178857615901,sinkhorn,32.20539197869057,1,4,ot_sinkhorn
bracket_brown,0.024985794044636078,1.08358336629138,1.0031842231464458,0.9091382693081814,0.0006298021802392865,0.002498579404463608,0.1,50,8.912959259135522e-11,0.049628784394919766,sinkhorn,32.18062910812522,1,4,ot_sinkhorn
bracket_white,0.02785074383622521,1.069575152210216,1.000234177744372,0.9048060731727282,0.00070815565239711,0.002785074383622521,0.1,50,1.6253665080510972e-13,0.038454626580071094,sinkhorn,32.12398612057886,1,4,ot_sinkhorn
connector,0.022666453790495478,1.0761154760193588,1.0099482267188788,0.9018992182308985,0.0020050008952198065,0.0022666453790495477,0.1,75,3.9079850466806274e-14,0.06987977529401458,sinkhorn,32.24967751517547,1,4,ot_sinkhorn
metal_plate,0.02745429067134797,1.088410706054972,1.0095128933833668,0.9166247462099913,0.0015938692993565978,0.002745429067134797,0.1,50,8.295586439995729e-13,0.04567073395779116,sinkhorn,32.13600995261003,1,4,ot_sinkhorn
tubes,0.0343597672662197,1.0917892551977153,1.019774096383039,0.9238234628008295,0.0009737022892231206,0.00343597672662197,0.1,50,3.2862601528905176e-14,0.026358323782440504,sinkhorn,32.05760708594766,1,4,ot_sinkhorn
