shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
2,B,bracket_black,0.9481783125603881,0.041848822779168675,0.4627659574468085,0.6130649371564896
2,B,bracket_brown,0.8817220715124212,0.037683947000412124,0.45248868778280543,0.6526055952335708
2,B,bracket_white,0.9941295811574958,0.08935313647194149,0.77,0.7121305306218283
2,B,connector,0.9646358009570751,0.2682592141886535,0.7523809523809524,0.49926502652342986
2,B,metal_plate,0.9420209687635264,0.7560396481055245,0.9989165763813651,0.9996141230947327
2,B,tubes,0.9838009333152982,0.7004827783824089,0.957427536231884,0.9831327875544105
2,S,bracket_black,0.9367137912351433,0.04782129124100246,0.4820478723404255,0.6241102071768768
2,S,bracket_brown,0.9268723573188242,0.04330864981732668,0.4660633484162896,0.6793357099056564
2,S,bracket_white,0.994862301801044,0.14577065697861974,0.7822222222222223,0.8034774456550309
2,S,connector,0.9649259491579616,0.16761426403087212,0.6833333333333333,0.4191647362899402
2,S,metal_plate,0.9670085593475038,0.8454822561667316,1.0,1.0
2,S,tubes,0.9768208166252419,0.5663739940321257,0.9406702898550725,0.9739574774430313
2,C,bracket_black,0.9191619461292068,0.0054246748153868735,0.38763297872340424,0.5412927554094715
2,C,bracket_brown,0.9249674471291033,0.028724293922498985,0.6176470588235294,0.7313922613207775
2,C,bracket_white,0.9912460466525594,0.05094524288809347,0.7388888888888889,0.70612586116721
2,C,connector,0.9693936572218267,0.12903005007187537,0.8714285714285714,0.7565393945579704
2,C,metal_plate,0.9900282630921093,0.9401149697244682,1.0,1.0
2,C,tubes,0.9755203085911445,0.48196734759187027,0.8917572463768116,0.9510331039340129
2,A1_J,bracket_black,0.9498238120973826,0.014647863408783117,0.4607712765957447,0.561718394831281
2,A1_J,bracket_brown,0.9039260470367484,0.03336958319325251,0.5708898944193062,0.7598400574200704
2,A1_J,bracket_white,0.9959438899418237,0.10598851655794717,0.8266666666666667,0.8071000882339985
2,A1_J,connector,0.9694350265671895,0.2991109692986026,0.7928571428571428,0.6124756244175316
2,A1_J,metal_plate,0.9764867664339104,0.8783905664419865,1.0,1.0
2,A1_J,tubes,0.9881148131730095,0.7307356020930714,0.9660326086956522,0.9857863842897305
2,TRI_J,bracket_black,0.9458112703761294,0.018055578185973004,0.47938829787234044,0.5764820482888726
2,TRI_J,bracket_brown,0.9152140793935396,0.03730236593058413,0.5407239819004525,0.7379669213664902
2,TRI_J,bracket_white,0.9956606668957011,0.14437489795354128,0.8277777777777777,0.820186919114331
2,TRI_J,connector,0.9657751987674472,0.2478741121238276,0.7428571428571429,0.5240828909366061
2,TRI_J,metal_plate,0.9738598704389301,0.8718479033213378,1.0,1.0
2,TRI_J,tubes,0.9852678953246664,0.685781743897247,0.9664855072463768,0.9859819078168266
2,BAL_J,bracket_black,0.9457638986359859,0.013042686377683695,0.4720744680851064,0.561077603905514
2,BAL_J,bracket_brown,0.9188949912164149,0.03529768097625929,0.5761689291101055,0.7542956958361291
2,BAL_J,bracket_white,0.9963380038968821,0.12774249417456804,0.8577777777777778,0.8599429025339121
2,BAL_J,connector,0.9683445765999644,0.24484213739182076,0.7452380952380953,0.5288753152153558
2,BAL_J,metal_plate,0.9810985432819453,0.9018830912671685,1.0,1.0
2,BAL_J,tubes,0.9865307439072515,0.6955088572753539,0.9615036231884058,0.9845233443442352
2,DUP_J,bracket_black,0.9502956112022274,0.020066580275830036,0.4753989361702128,0.5824820692923546
2,DUP_J,bracket_brown,0.8951119726215567,0.035321624039088506,0.5150829562594268,0.7149788611545352
2,DUP_J,bracket_white,0.9952586409917331,0.10061822938074788,0.7966666666666666,0.7518960630688916
2,DUP_J,connector,0.9672984911301529,0.2970662732369496,0.780952380952381,0.5393737653444031
2,DUP_J,metal_plate,0.9668541547732022,0.8383355436001088,1.0,1.0
2,DUP_J,tubes,0.9869009264951601,0.7201235122801675,0.9651268115942029,0.9852144535158037
2,DUP_BAL_J,bracket_black,0.9498238120973826,0.014647863408783117,0.4607712765957447,0.561718394831281
2,DUP_BAL_J,bracket_brown,0.9039260470367484,0.03336958319325251,0.5708898944193062,0.7598400574200704
2,DUP_BAL_J,bracket_white,0.9959438899418237,0.10598851655794717,0.8266666666666667,0.8071000882339985
2,DUP_BAL_J,connector,0.9694350265671895,0.2991109692986026,0.7928571428571428,0.6124756244175316
2,DUP_BAL_J,metal_plate,0.9764867664339104,0.8783905664419865,1.0,1.0
