shot,method,n_categories,macro_pixel_ap,macro_pixel_auroc,macro_image_auroc,macro_image_ap
2,B,6,0.3156112578213515,0.9524146113777009,0.7323299517039693,0.7433021666974103
2,S,6,0.30272851871111306,0.96120062924762,0.7257228443612238,0.7500075960784226
2,C,6,0.2727010965023655,0.9617196114693249,0.7512257907068677,0.7810638960649071
2,A1_J,6,0.3437071834989405,0.963955059208344,0.7695362648724187,0.787820091532102
2,TRI_J,6,0.33420610023541847,0.9635981635327356,0.759538784609015,0.7741167812538544
2,BAL_J,6,0.3363861579104757,0.9661617929230739,0.7687938155665819,0.7814524769725244
2,DUP_J,6,0.33525529380214875,0.9602866328690055,0.7555379586071483,0.7623242020626647
2,DUP_BAL_J,6,0.3437071834989405,0.963955059208344,0.7695362648724187,0.787820091532102
2,DUP_EXPECTED_J,6,0.33525529380214875,0.9602866328690055,0.7555379586071483,0.7623242020626647
2,A1_L,6,0.34922278169749643,0.9662239858236413,0.764877745829785,0.7838761297912589
2,A1_lambda_0.25,6,0.3487457250676425,0.9659393066602274,0.7644287157014342,0.7828703134645488
2,A1_lambda_0.50,6,0.3478773230062979,0.9654593500089383,0.7644425173965156,0.7810219100371721
2,A1_lambda_0.75,6,0.34574376580162136,0.96479252744893,0.7675204479528158,0.7831620219074366
2,TRI_L,6,0.3407434252145965,0.9671375657240012,0.7600384931204706,0.7749783660552296
2,TRI_lambda_0.25,6,0.34022069722129356,0.9665338382317442,0.7606255433556203,0.7745784182301234
2,TRI_lambda_0.50,6,0.33844825024306174,0.9657311656631254,0.7620739859805336,0.7756879663527453
2,TRI_lambda_0.75,6,0.3371385200523804,0.9647485665396442,0.7617147336788396,0.7771817365728585
2,BAL_L,6,0.34668088401206015,0.9697350079392045,0.766685701457461,0.7808189437054533
2,BAL_lambda_0.25,6,0.34586256092687523,0.9691951811074109,0.7663388310308034,0.7800269863269275
2,BAL_lambda_0.50,6,0.34405171128693707,0.9684058251591262,0.7689866048513067,0.7834882217174889
2,BAL_lambda_0.75,6,0.34086199735742523,0.9673880368681118,0.7709425685068813,0.7835687348093479
4,B,6,0.361983628440713,0.9613692300170226,0.8259418022964867,0.8444874401635832
4,S,6,0.3287058345265056,0.9703460280903977,0.7849604430577667,0.802996963141184
4,C,6,0.2843123756607779,0.9698712741473123,0.7667212788758063,0.7855457590035207
4,A1_J,6,0.3883278672632295,0.97033399367425,0.842623082353588,0.8625157633903692
4,TRI_J,6,0.37314304190341074,0.9707595073543835,0.8298594442382535,0.8479921337755041
4,BAL_J,6,0.3781278165191748,0.9727543376663519,0.8339182700820551,0.84868095755595
4,DUP_J,6,0.3801058414972622,0.9672965221974558,0.8398877402843298,0.8600310448012266
4,DUP_BAL_J,6,0.3883278672632295,0.97033399367425,0.842623082353588,0.8625157633903692
4,DUP_EXPECTED_J,6,0.3801058414972622,0.9672965221974558,0.8398877402843298,0.8600310448012266
4,A1_L,6,0.3922696120665959,0.9736578693372944,0.8464848062437099,0.8706220947208442
4,A1_lambda_0.25,6,0.39270264839312224,0.9730913264674007,0.8459421875876547,0.8693947620240574
4,A1_lambda_0.50,6,0.39223065542220237,0.9723376604923296,0.8446547734268798,0.8662637171002324
4,A1_lambda_0.75,6,0.3909193958945642,0.9714098328593265,0.8429410841303083,0.8639727781334664
4,TRI_L,6,0.38439392301538206,0.9751396978064534,0.8365980143193847,0.8627290996728205
4,TRI_lambda_0.25,6,0.38368315423002336,0.97432932683347,0.8383543694346259,0.8626360264793839
4,TRI_lambda_0.50,6,0.381259216906064,0.9733150209873251,0.8378833383175768,0.8600268680474787
4,TRI_lambda_0.75,6,0.3780584352677332,0.9721164166273172,0.8358857551911708,0.8572202564727697
4,BAL_L,6,0.3853023775739118,0.9773783952715224,0.8443881516449808,0.8690072544961586
4,BAL_lambda_0.25,6,0.3852524204625478,0.9765572462644161,0.844491424856113,0.8669936619454894
4,BAL_lambda_0.50,6,0.3842179127960854,0.975490249059581,0.8430350316514407,0.8637027011339774
4,BAL_lambda_0.75,6,0.3819871028251332,0.9742137868308737,0.8406876018649907,0.8578849745707292
