dataset,seed,shot,category,method,pixel_ap
mpdd,0,1,bracket_black,A1_J,0.010484232161356622
mpdd,0,1,bracket_black,A1_L,0.0095562285195461769
mpdd,0,1,bracket_black,B,0.020698284627020568
mpdd,0,1,bracket_black,BAL_J,0.009446305967508218
mpdd,0,1,bracket_black,BAL_L,0.0087816150308539977
mpdd,0,1,bracket_black,C,0.0045532370921243705
mpdd,0,1,bracket_black,DUP_BAL_J,0.010484232161356622
mpdd,0,1,bracket_black,DUP_EXPECTED_J,0.012929526448518591
mpdd,0,1,bracket_black,DUP_J,0.012929526448518591
mpdd,0,1,bracket_black,DUP_L,0.012060385245083821
mpdd,0,1,bracket_black,S,0.024394537788906441
mpdd,0,1,bracket_black,TRI_J,0.011113079715577141
mpdd,0,1,bracket_black,TRI_L,0.010705183461540573
mpdd,0,1,bracket_brown,A1_J,0.03444572142559052
mpdd,0,1,bracket_brown,A1_L,0.038678458290559069
mpdd,0,1,bracket_brown,B,0.037136496124390218
mpdd,0,1,bracket_brown,BAL_J,0.037867662953608196
mpdd,0,1,bracket_brown,BAL_L,0.042362050778070481
mpdd,0,1,bracket_brown,C,0.030702615235043237
mpdd,0,1,bracket_brown,DUP_BAL_J,0.03444572142559052
mpdd,0,1,bracket_brown,DUP_EXPECTED_J,0.035627500788046863
mpdd,0,1,bracket_brown,DUP_J,0.035627500788046863
mpdd,0,1,bracket_brown,DUP_L,0.038517114805567604
mpdd,0,1,bracket_brown,S,0.045688127178417179
mpdd,0,1,bracket_brown,TRI_J,0.040121156119673207
mpdd,0,1,bracket_brown,TRI_L,0.043428815689469491
mpdd,0,1,bracket_white,A1_J,0.084749994243384447
mpdd,0,1,bracket_white,A1_L,0.09410628236856855
mpdd,0,1,bracket_white,B,0.071650478282232824
mpdd,0,1,bracket_white,BAL_J,0.097085751378917312
mpdd,0,1,bracket_white,BAL_L,0.099884281222196947
mpdd,0,1,bracket_white,C,0.038025410760103739
mpdd,0,1,bracket_white,DUP_BAL_J,0.084749994243384447
mpdd,0,1,bracket_white,DUP_EXPECTED_J,0.08387013885406
mpdd,0,1,bracket_white,DUP_J,0.08387013885406
mpdd,0,1,bracket_white,DUP_L,0.088148608248778279
mpdd,0,1,bracket_white,S,0.094335147809564215
mpdd,0,1,bracket_white,TRI_J,0.10184357352473075
mpdd,0,1,bracket_white,TRI_L,0.10373704377565388
mpdd,0,1,connector,A1_J,0.12611134305680063
mpdd,0,1,connector,A1_L,0.13137851586372906
mpdd,0,1,connector,B,0.087886325812519969
mpdd,0,1,connector,BAL_J,0.13403115201924226
mpdd,0,1,connector,BAL_L,0.14841369678644256
mpdd,0,1,connector,C,0.098260627046842464
mpdd,0,1,connector,DUP_BAL_J,0.12611134305680063
mpdd,0,1,connector,DUP_EXPECTED_J,0.10397225027599399
mpdd,0,1,connector,DUP_J,0.10397225027599399
mpdd,0,1,connector,DUP_L,0.10843835350781947
mpdd,0,1,connector,S,0.098323639236926927
mpdd,0,1,connector,TRI_J,0.11641767581280613
mpdd,0,1,connector,TRI_L,0.12692808230682498
mpdd,0,1,metal_plate,A1_J,0.87132135418564449
mpdd,0,1,metal_plate,A1_L,0.86924934369979312
mpdd,0,1,metal_plate,B,0.76326167641647102
mpdd,0,1,metal_plate,BAL_J,0.89262386135877803
mpdd,0,1,metal_plate,BAL_L,0.89812127618923276
mpdd,0,1,metal_plate,C,0.92562557127079215
mpdd,0,1,metal_plate,DUP_BAL_J,0.87132135418564449
mpdd,0,1,metal_plate,DUP_EXPECTED_J,0.83407478009544178
mpdd,0,1,metal_plate,DUP_J,0.83407478009544178
mpdd,0,1,metal_plate,DUP_L,0.83056232740572089
mpdd,0,1,metal_plate,S,0.84717335713637798
