category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
mvtec_bottle,83,0.9992063492063492,0.999751984126984,0.9921259842519685,0.9773077715131568,0.7784532998102522,0.9360832716083699
mvtec_cable,150,0.8152173913043477,0.8944269584324313,0.809090909090909,0.9347606322945413,0.5329040130316947,0.7475430721919439
mvtec_capsule,132,0.6545672118069406,0.8515209611516406,0.9391304347826087,0.9649914216964696,0.22103109378385877,0.8246453048149831
mvtec_carpet,117,0.9859550561797752,0.9959079252850025,0.9772727272727273,0.98925379578544,0.6827939639409625,0.9447501242464587
mvtec_grid,78,0.5797827903091062,0.7714658830036054,0.859375,0.533798492761228,0.008148766856283404,0.09020803201904729
mvtec_hazelnut,110,0.9007142857142858,0.9431104601582472,0.8714285714285714,0.9255505395096978,0.3347926484578045,0.8285439287615307
mvtec_leather,124,1.0,1.0000000000000002,1.0,0.9930192879360535,0.5160560128361424,0.9671483624165979
mvtec_metal_nut,115,0.7419354838709677,0.9274208895508024,0.911764705882353,0.872176157983938,0.5521006479124441,0.6498754585247387
mvtec_pill,167,0.7716857610474631,0.9537202914652261,0.9185667752442997,0.9400567856130119,0.628044627388548,0.8708740897332424
mvtec_screw,160,0.4572658331625333,0.6990680899605263,0.8530465949820789,0.8850629243525401,0.014249906143846714,0.6135038985714529
mvtec_tile,117,0.9938672438672439,0.9977479451308888,0.9764705882352942,0.9577605325853206,0.5934897386516886,0.8035851455583424
mvtec_toothbrush,42,0.9083333333333333,0.9667612308796958,0.9032258064516129,0.9695477668281041,0.5779918567364917,0.670083704413775
mvtec_transistor,100,0.7808333333333334,0.757477825880819,0.7105263157894738,0.8795588051594317,0.4832113405118978,0.7408010187990431
mvtec_wood,79,0.9824561403508771,0.9945376002180156,0.967741935483871,0.9339709819760079,0.5071140274227587,0.8490590743277522
mvtec_zipper,151,0.9613970588235294,0.987724677200691,0.9661016949152542,0.9791830565319969,0.6060557892001356,0.9206560935466028
