dataset,seed,shot,category,method,pixel_ap
mpdd,0,1,bracket_black,A1_J,0.009200778806786953
mpdd,0,1,bracket_black,A1_L,0.008446912851182365
mpdd,0,1,bracket_black,B,0.026234070007705338
mpdd,0,1,bracket_black,BAL_J,0.0083674346748010987
mpdd,0,1,bracket_black,BAL_L,0.00784848845960044
mpdd,0,1,bracket_black,C,0.0041803791531022224
mpdd,0,1,bracket_black,DUP_BAL_J,0.009200778806786953
mpdd,0,1,bracket_black,DUP_EXPECTED_J,0.011523841617696406
mpdd,0,1,bracket_black,DUP_J,0.011523841617696406
mpdd,0,1,bracket_black,DUP_L,0.010881780419836088
mpdd,0,1,bracket_black,S,0.018834982927822777
mpdd,0,1,bracket_black,TRI_J,0.0098626582142894853
mpdd,0,1,bracket_black,TRI_L,0.0096817435191073279
mpdd,0,1,bracket_white,A1_J,0.1234492671109861
mpdd,0,1,bracket_white,A1_L,0.13848813402160667
mpdd,0,1,bracket_white,B,0.088747370800648512
mpdd,0,1,bracket_white,BAL_J,0.12709194392359591
mpdd,0,1,bracket_white,BAL_L,0.14533534787788838
mpdd,0,1,bracket_white,C,0.046046801706327564
mpdd,0,1,bracket_white,DUP_BAL_J,0.1234492671109861
mpdd,0,1,bracket_white,DUP_EXPECTED_J,0.11204359262428303
mpdd,0,1,bracket_white,DUP_J,0.11204359262428303
mpdd,0,1,bracket_white,DUP_L,0.12572097527884971
mpdd,0,1,bracket_white,S,0.08459173149900534
mpdd,0,1,bracket_white,TRI_J,0.13135039157364181
mpdd,0,1,bracket_white,TRI_L,0.14984840628352047
mpdd,0,2,bracket_black,A1_J,0.012453255110288714
mpdd,0,2,bracket_black,A1_L,0.012372890647871317
mpdd,0,2,bracket_black,B,0.043596320956715916
mpdd,0,2,bracket_black,BAL_J,0.011150210646731089
mpdd,0,2,bracket_black,BAL_L,0.010987005379026393
mpdd,0,2,bracket_black,C,0.0049269435617792434
mpdd,0,2,bracket_black,DUP_BAL_J,0.012453255110288714
mpdd,0,2,bracket_black,DUP_EXPECTED_J,0.01759589746202167
mpdd,0,2,bracket_black,DUP_J,0.01759589746202167
mpdd,0,2,bracket_black,DUP_L,0.017932955714594707
mpdd,0,2,bracket_black,S,0.039255095776375169
mpdd,0,2,bracket_black,TRI_J,0.015778689664409824
mpdd,0,2,bracket_black,TRI_L,0.016522854943736887
mpdd,0,2,bracket_white,A1_J,0.14600696085415851
mpdd,0,2,bracket_white,A1_L,0.15378241932126796
mpdd,0,2,bracket_white,B,0.11098386145652271
mpdd,0,2,bracket_white,BAL_J,0.15930595015678353
mpdd,0,2,bracket_white,BAL_L,0.17751053383436857
mpdd,0,2,bracket_white,C,0.065508917340696526
mpdd,0,2,bracket_white,DUP_BAL_J,0.14600696085415851
mpdd,0,2,bracket_white,DUP_EXPECTED_J,0.1342425179870726
mpdd,0,2,bracket_white,DUP_J,0.1342425179870726
mpdd,0,2,bracket_white,DUP_L,0.14091384525422465
mpdd,0,2,bracket_white,S,0.15110431325717216
mpdd,0,2,bracket_white,TRI_J,0.16355547795608702
mpdd,0,2,bracket_white,TRI_L,0.1845512959026912
mpdd,0,4,bracket_black,A1_J,0.15745576699200045
mpdd,0,4,bracket_black,A1_L,0.14932059242866577
mpdd,0,4,bracket_black,B,0.14145209765433941
mpdd,0,4,bracket_black,BAL_J,0.15175767410627489
mpdd,0,4,bracket_black,BAL_L,0.13994106806341958
mpdd,0,4,bracket_black,C,0.021172247890448404
mpdd,0,4,bracket_black,DUP_BAL_J,0.15745576699200045
mpdd,0,4,bracket_black,DUP_EXPECTED_J,0.152836175136812
