ablation,rule,dataset,seed,shot,category,construction,n_images,pixel_ap
baseline,J,mpdd,0,1,bracket_white,BAL,60,0.09708575137891731
ABL_N,L,mpdd,0,1,bracket_white,A1,60,0.07390714031588205
ABL_N,J,mpdd,0,1,bracket_white,A1,60,0.06893104690511309
ABL_N,L,mpdd,0,1,bracket_white,DUP,60,0.07285499008713603
ABL_N,J,mpdd,0,1,bracket_white,DUP,60,0.07226730677242041
ABL_N,L,mpdd,0,1,bracket_white,TRI,60,0.12357346425817223
ABL_N,J,mpdd,0,1,bracket_white,TRI,60,0.12339610450788864
ABL_N,L,mpdd,0,1,bracket_white,BAL,60,0.1235396264073652
ABL_N,J,mpdd,0,1,bracket_white,BAL,60,0.12428561069107119
ABL_C,L,mpdd,0,1,bracket_white,A1,60,0.09410628236856854
ABL_C,J,mpdd,0,1,bracket_white,A1,60,0.08474999424338445
ABL_C,L,mpdd,0,1,bracket_white,DUP,60,0.08814853229063052
ABL_C,J,mpdd,0,1,bracket_white,DUP,60,0.08387013885406
ABL_C,L,mpdd,0,1,bracket_white,TRI,60,0.10373705523272972
ABL_C,J,mpdd,0,1,bracket_white,TRI,60,0.10184357352473075
ABL_C,L,mpdd,0,1,bracket_white,BAL,60,0.10078462361844492
ABL_C,J,mpdd,0,1,bracket_white,BAL,60,0.10245658226780613
ABL_S,J,mpdd,0,1,bracket_white,A1,60,0.0980902557139095
ABL_S,J,mpdd,0,1,bracket_white,DUP,60,0.08688908078631927
ABL_S,J,mpdd,0,1,bracket_white,TRI,60,0.10642246726770382
ABL_S,J,mpdd,0,1,bracket_white,BAL,60,0.1151259872002535
baseline,L,mpdd,0,1,connector,A1,44,0.1313788547810468
baseline,J,mpdd,0,1,connector,A1,44,0.1261118644198838
baseline,L,mpdd,0,1,connector,DUP,44,0.10843827506632359
baseline,J,mpdd,0,1,connector,DUP,44,0.10397225255963727
baseline,L,mpdd,0,1,connector,TRI,44,0.12692809788391082
baseline,J,mpdd,0,1,connector,TRI,44,0.11641748484043454
baseline,L,mpdd,0,1,connector,BAL,44,0.14841362999952024
baseline,J,mpdd,0,1,connector,BAL,44,0.13403111937349674
ABL_N,L,mpdd,0,1,connector,A1,44,0.05924102545577075
ABL_N,J,mpdd,0,1,connector,A1,44,0.05765230288362753
ABL_N,L,mpdd,0,1,connector,DUP,44,0.05774252433921252
ABL_N,J,mpdd,0,1,connector,DUP,44,0.05693942847854654
ABL_N,L,mpdd,0,1,connector,TRI,44,0.0714600345579236
ABL_N,J,mpdd,0,1,connector,TRI,44,0.06430212160203863
ABL_N,L,mpdd,0,1,connector,BAL,44,0.07348261071678908
ABL_N,J,mpdd,0,1,connector,BAL,44,0.06524040983986742
ABL_C,L,mpdd,0,1,connector,A1,44,0.1313788547810468
ABL_C,J,mpdd,0,1,connector,A1,44,0.1261118644198838
ABL_C,L,mpdd,0,1,connector,DUP,44,0.10843827506632359
ABL_C,J,mpdd,0,1,connector,DUP,44,0.10397225255963727
ABL_C,L,mpdd,0,1,connector,TRI,44,0.12692809788391082
ABL_C,J,mpdd,0,1,connector,TRI,44,0.11641748484043454
ABL_C,L,mpdd,0,1,connector,BAL,44,0.1579135953460783
ABL_C,J,mpdd,0,1,connector,BAL,44,0.1432192231625561
ABL_S,J,mpdd,0,1,connector,A1,44,0.11416968190241733
ABL_S,J,mpdd,0,1,connector,DUP,44,0.09610618090677078
ABL_S,J,mpdd,0,1,connector,TRI,44,0.10694873592049836
ABL_S,J,mpdd,0,1,connector,BAL,44,0.1261784524707178
baseline,L,mpdd,0,1,metal_plate,A1,97,0.8692493290005501
baseline,J,mpdd,0,1,metal_plate,A1,97,0.8713213326316136
baseline,L,mpdd,0,1,metal_plate,DUP,97,0.830562343317882
baseline,J,mpdd,0,1,metal_plate,DUP,97,0.8340747948109015
baseline,L,mpdd,0,1,metal_plate,TRI,97,0.8704466449544247
baseline,J,mpdd,0,1,metal_plate,TRI,97,0.8639407447820211
baseline,L,mpdd,0,1,metal_plate,BAL,97,0.898121283256035
baseline,J,mpdd,0,1,metal_plate,BAL,97,0.8926238650021926
ABL_N,L,mpdd,0,1,metal_plate,A1,97,0.778011379551464
ABL_N,J,mpdd,0,1,metal_plate,A1,97,0.7778786950783778
ABL_N,L,mpdd,0,1,metal_plate,DUP,97,0.7692575393294181
ABL_N,J,mpdd,0,1,metal_plate,DUP,97,0.769097519099861
ABL_N,L,mpdd,0,1,metal_plate,TRI,97,0.8127113102076365
ABL_N,J,mpdd,0,1,metal_plate,TRI,97,0.7986798500581758
ABL_N,L,mpdd,0,1,metal_plate,BAL,97,0.8200458659181391
ABL_N,J,mpdd,0,1,metal_plate,BAL,97,0.8064753692063027
ABL_C,L,mpdd,0,1,metal_plate,A1,97,0.8692493290005501
ABL_C,J,mpdd,0,1,metal_plate,A1,97,0.8713213326316136
ABL_C,L,mpdd,0,1,metal_plate,DUP,97,0.830562343317882
ABL_C,J,mpdd,0,1,metal_plate,DUP,97,0.8340747948109015
ABL_C,L,mpdd,0,1,metal_plate,TRI,97,0.8704466449544247
ABL_C,J,mpdd,0,1,metal_plate,TRI,97,0.8639407447820211
ABL_C,L,mpdd,0,1,metal_plate,BAL,97,0.9225489794867492
ABL_C,J,mpdd,0,1,metal_plate,BAL,97,0.9177415929558842
ABL_S,J,mpdd,0,1,metal_plate,A1,97,0.8529795358437096
ABL_S,J,mpdd,0,1,metal_plate,DUP,97,0.8125503356977386
ABL_S,J,mpdd,0,1,metal_plate,TRI,97,0.8452298185344809
ABL_S,J,mpdd,0,1,metal_plate,BAL,97,0.8765639316218953
baseline,L,mpdd,0,1,tubes,A1,101,0.7360580765762201
baseline,J,mpdd,0,1,tubes,A1,101,0.7281610081614966
baseline,L,mpdd,0,1,tubes,DUP,101,0.7195809100848682
baseline,J,mpdd,0,1,tubes,DUP,101,0.7166371181842282
baseline,L,mpdd,0,1,tubes,TRI,101,0.7005058321807275
baseline,J,mpdd,0,1,tubes,TRI,101,0.6880817538105312
baseline,L,mpdd,0,1,tubes,BAL,101,0.7167169061176859
