ablation,rule,dataset,seed,shot,category,construction,n_images,pixel_ap
ABL_S,L,mpdd,0,1,bracket_black,A1,79,0.010297363713260663
ABL_S,L,mpdd,0,1,bracket_black,DUP,79,0.013180277108817787
ABL_S,L,mpdd,0,1,bracket_black,TRI,79,0.0117584262533
ABL_S,L,mpdd,0,1,bracket_black,BAL,79,0.009475823715847586
ABL_S,L,mpdd,0,1,bracket_brown,A1,77,0.04008445050916269
ABL_S,L,mpdd,0,1,bracket_brown,DUP,77,0.03941125776359298
ABL_S,L,mpdd,0,1,bracket_brown,TRI,77,0.0436898042965049
ABL_S,L,mpdd,0,1,bracket_brown,BAL,77,0.0437849218136592
ABL_S,L,mpdd,0,1,bracket_white,A1,60,0.11017045712599159
ABL_S,L,mpdd,0,1,bracket_white,DUP,60,0.09356733008186247
ABL_S,L,mpdd,0,1,bracket_white,TRI,60,0.10905855730840812
ABL_S,L,mpdd,0,1,bracket_white,BAL,60,0.11085329521851803
ABL_S,L,mpdd,0,1,connector,A1,44,0.12086751840770421
ABL_S,L,mpdd,0,1,connector,DUP,44,0.10112748608167745
ABL_S,L,mpdd,0,1,connector,TRI,44,0.12017328500885716
ABL_S,L,mpdd,0,1,connector,BAL,44,0.13862137709636005
ABL_S,L,mpdd,0,1,metal_plate,A1,97,0.8510213896275779
ABL_S,L,mpdd,0,1,metal_plate,DUP,97,0.8090493333348896
ABL_S,L,mpdd,0,1,metal_plate,TRI,97,0.85278271171943
ABL_S,L,mpdd,0,1,metal_plate,BAL,97,0.88322218008355
ABL_S,L,mpdd,0,1,tubes,A1,101,0.7157736830685522
ABL_S,L,mpdd,0,1,tubes,DUP,101,0.6968128019992198
ABL_S,L,mpdd,0,1,tubes,TRI,101,0.6822805822411798
ABL_S,L,mpdd,0,1,tubes,BAL,101,0.7004783288553704
ABL_S,L,btad,0,1,01,A1,70,0.580196043175557
ABL_S,L,btad,0,1,01,DUP,70,0.5636602214736988
ABL_S,L,btad,0,1,01,TRI,70,0.5536457592747192
ABL_S,L,btad,0,1,01,BAL,70,0.5718333855259587
ABL_S,L,btad,0,1,02,A1,230,0.6018241811231526
ABL_S,L,btad,0,1,02,DUP,230,0.5866456997470499
ABL_S,L,btad,0,1,02,TRI,230,0.6427463171610417
ABL_S,L,btad,0,1,02,BAL,230,0.6473284271874518
ABL_S,L,btad,0,1,03,A1,441,0.6606257317161026
ABL_S,L,btad,0,1,03,DUP,441,0.6487386406505469
ABL_S,L,btad,0,1,03,TRI,441,0.6881334372188581
ABL_S,L,btad,0,1,03,BAL,441,0.6851665837752802
