dataset,evaluation_revision,interaction,seed,shot,point_delta,mean_delta,ci95_low,ci95_high,n_replicates
mpdd,study,I_TRI,0,1,,0.004067607589179026,-0.0011988552643152981,0.008598809845312992,1000
mpdd,study,I_TRI,0,2,,0.006569648213581182,0.0007830639025498318,0.012668275575429664,1000
mpdd,study,I_TRI,0,4,,0.007278505158999401,-0.0026035078364948145,0.017160613627107184,1000
mpdd,study,I_TRI,0,8,,0.010325312379281318,0.0013786909655672298,0.020453036755820057,1000
mpdd,study,I_TRI,1,1,,0.00344243410436604,-0.004596273129984346,0.008166471198500608,1000
mpdd,study,I_TRI,1,2,,0.006647692007235442,0.0015387874222737574,0.011554415857652914,1000
mpdd,study,I_TRI,1,4,,0.013006553163671372,0.008094395243666704,0.018988235034889285,1000
mpdd,study,I_TRI,1,8,,0.00933861327749314,0.001970258361767808,0.018975845230860534,1000
mpdd,study,I_TRI,2,1,,0.00483542219537328,-0.00036750829667325823,0.010250239717578274,1000
mpdd,study,I_TRI,2,2,,0.009186597759684948,0.002576282195941943,0.01873206827030012,1000
mpdd,study,I_TRI,2,4,,0.006244630741060847,-0.0027623428114308315,0.01663547946672687,1000
mpdd,study,I_TRI,2,8,,0.010549320339675084,0.005781979210885341,0.01597603272470737,1000
mpdd,study,I_TRI,-1,1,,0.004115154629639448,-0.00021211593025496185,0.007522216111355568,1000
mpdd,study,I_TRI,-1,2,,0.007467979326833857,0.003830949767702601,0.011254026236274858,1000
mpdd,study,I_TRI,-1,4,,0.00884322968791054,0.00348110777785342,0.014578534391370124,1000
mpdd,study,I_TRI,-1,8,,0.010071081998816513,0.005368656460673776,0.015887774993270664,1000
mpdd,study,I_BAL,0,1,,0.0038782758728158253,-0.0014662015189482436,0.009674178563821814,1000
mpdd,study,I_BAL,0,2,,0.0056803954824182455,0.0011414564895660035,0.01170675887973071,1000
mpdd,study,I_BAL,0,4,,0.0026378240773673777,-0.006811172510363646,0.010042489531811107,1000
mpdd,study,I_BAL,0,8,,0.007186965626955069,-0.001231224118907415,0.015882628764649707,1000
mpdd,study,I_BAL,1,1,,0.004339211531583272,-0.0015827416458692747,0.009148847874934826,1000
mpdd,study,I_BAL,1,2,,0.005609697968639605,0.000683652581379414,0.010451181058647225,1000
mpdd,study,I_BAL,1,4,,0.011022904424481566,0.004880001166839981,0.017296991986717306,1000
mpdd,study,I_BAL,1,8,,0.009787262527529641,0.0016836799698221525,0.019052253733423504,1000
mpdd,study,I_BAL,2,1,,0.0029091224207400397,-0.0019716400716201757,0.006716205894464295,1000
mpdd,study,I_BAL,2,2,,0.007240407423505669,1.6792354438531996e-05,0.016812811409556573,1000
mpdd,study,I_BAL,2,4,,0.005672945928515035,-0.003681943054875232,0.01625522352532523,1000
mpdd,study,I_BAL,2,8,,0.00788163822120879,0.0027880945501806,0.013463018073978466,1000
mpdd,study,I_BAL,-1,1,,0.0037088699417130457,0.0007788858927000146,0.006438869870555655,1000
mpdd,study,I_BAL,-1,2,,0.006176833624854506,0.0026941054044902443,0.010079820144211065,1000
mpdd,study,I_BAL,-1,4,,0.006444558143454658,0.0014531209356400368,0.011558231227947934,1000
mpdd,study,I_BAL,-1,8,,0.008285288791897834,0.0033340473980323724,0.013865137464359101,1000
btad,study,I_TRI,0,1,,0.0012771978990068187,-0.0014217513204366193,0.004425096807212825,1000
btad,study,I_TRI,0,2,,-0.0006706522925782964,-0.003014042950376311,0.002326311879281828,1000
btad,study,I_TRI,0,4,,-0.0027719363879678757,-0.005013007350669751,-0.00037242871334730707,1000
btad,study,I_TRI,0,8,,-0.0022647098496117292,-0.004373330715599505,-0.0001544685078796663,1000
btad,study,I_TRI,1,1,,0.0029195299225733304,0.0010647669692474306,0.005359950755409509,1000
btad,study,I_TRI,1,2,,0.0024501846370148447,0.00029847121374502507,0.005149242195666451,1000
btad,study,I_TRI,1,4,,-0.00022616767310496032,-0.0023603225618590404,0.0022916216740729465,1000
btad,study,I_TRI,1,8,,-0.0022881300559446753,-0.004227171126025503,-0.00013908159024553031,1000
btad,study,I_TRI,-1,1,,0.0020983639107900747,-4.073189048230108e-05,0.004561757964559574,1000
btad,study,I_TRI,-1,2,,0.0008897661722182741,-0.0011594982194986403,0.003322945290193563,1000
btad,study,I_TRI,-1,4,,-0.0014990520305364179,-0.0033841058129905465,0.0007110610285287501,1000
btad,study,I_TRI,-1,8,,-0.0022764199527782027,-0.004045807689998486,-0.0002968730740739518,1000
btad,study,I_BAL,0,1,,1.7287454935432156e-05,-0.0026748496164873447,0.0029498181134076326,1000
btad,study,I_BAL,0,2,,-0.0015280994750245598,-0.0037333862823996696,0.001012261398540326,1000
btad,study,I_BAL,0,4,,-0.002898119300411596,-0.004956059537559684,-0.0006271480964667982,1000
btad,study,I_BAL,0,8,,-0.002735145638176726,-0.0047351884800841985,-0.0005994052121222838,1000
btad,study,I_BAL,1,1,,0.001997156100247277,0.0001272090234041708,0.004307485430999808,1000
btad,study,I_BAL,1,2,,0.0016013824955182691,-0.0004630687357076713,0.004147970942128706,1000
btad,study,I_BAL,1,4,,-0.0010739509064085183,-0.0033100372280092712,0.0015478580638260905,1000
btad,study,I_BAL,1,8,,-0.0023659281146570775,-0.004389818340645213,-0.00024380922824262534,1000
btad,study,I_BAL,-1,1,,0.0010072217775913546,-0.0010448529274566822,0.0034089524068859,1000
btad,study,I_BAL,-1,2,,3.6641510246854693e-05,-0.0018707880647641352,0.002320711827750131,1000
btad,study,I_BAL,-1,4,,-0.001986035103410057,-0.003905960542328779,0.00020448857996521727,1000
btad,study,I_BAL,-1,8,,-0.0025505368764169012,-0.004298510787157944,-0.0005665853628608056,1000
btad,corrected,I_TRI,0,1,,0.0010518933641947253,-0.0015983734308273167,0.004047269570222827,1000
btad,corrected,I_TRI,0,2,,-0.0004805959543733811,-0.0028673996089882796,0.0024126655743824995,1000
btad,corrected,I_TRI,0,4,,-0.002694250563286364,-0.0049877399792287004,-0.00023671357708527453,1000
btad,corrected,I_TRI,0,8,,-0.002392540108104768,-0.0045679022048934455,-0.0002576378440787125,1000
btad,corrected,I_TRI,1,1,,0.0029304568250304334,0.0010785781822548386,0.00524144881919045,1000
btad,corrected,I_TRI,1,2,,0.0023163939669384294,0.00019376825067842236,0.005041599292776348,1000
btad,corrected,I_TRI,1,4,,-0.00014025342009883746,-0.0022914725395876464,0.002527019575827516,1000
btad,corrected,I_TRI,1,8,,-0.0022509917652673767,-0.004198802792058681,-0.00017419876828772568,1000
btad,corrected,I_TRI,-1,1,,0.001991175094612579,-6.543117863159319e-05,0.004316153209496155,1000
btad,corrected,I_TRI,-1,2,,0.0009178990062825243,-0.001179174433565011,0.003353022397434071,1000
btad,corrected,I_TRI,-1,4,,-0.0014172519916926007,-0.0034051072065734416,0.000792589218229411,1000
btad,corrected,I_TRI,-1,8,,-0.0023217659366860724,-0.004124875974897087,-0.00041818970099236644,1000
btad,corrected,I_BAL,0,1,,2.8199256703504538e-05,-0.0026860665284020612,0.002955176574935186,1000
btad,corrected,I_BAL,0,2,,-0.0014282520297556251,-0.003672255715581232,0.001071231676967329,1000
btad,corrected,I_BAL,0,4,,-0.002820928708021574,-0.004973353267206792,-0.0005030747804899736,1000
btad,corrected,I_BAL,0,8,,-0.002906609541842495,-0.004907166740116233,-0.0008008213445753707,1000
btad,corrected,I_BAL,1,1,,0.001728825562596919,-6.519781227859696e-05,0.004005926586425584,1000
btad,corrected,I_BAL,1,2,,0.0013406178302916465,-0.000807855084699327,0.003939358910267979,1000
btad,corrected,I_BAL,1,4,,-0.0010198648414282748,-0.003235764879626729,0.0017628380524105805,1000
btad,corrected,I_BAL,1,8,,-0.0020784139305775546,-0.004007072826055227,4.474123313609169e-05,1000
btad,corrected,I_BAL,-1,1,,0.0008785124096502117,-0.0012171694868813518,0.003127983688751885,1000
btad,corrected,I_BAL,-1,2,,-4.381709973198922e-05,-0.0019632702912181096,0.002239266294221092,1000
