dataset,evaluation_revision,interaction,category,mean_delta,ci95_low,ci95_high,n_replicates
mpdd,study,I_TRI,bracket_black,0.0024879390047917835,-0.0008982050282200016,0.006053896239874022,1000
mpdd,study,I_TRI,bracket_brown,0.0014395982867493168,-7.633149226550863e-05,0.0028349915319551724,1000
mpdd,study,I_TRI,bracket_white,0.0037730025107831256,-0.012716847606169004,0.01760897025442749,1000
mpdd,study,I_TRI,connector,0.020514567674230696,0.00868931628116192,0.03495043619910578,1000
mpdd,study,I_TRI,metal_plate,0.006571819075865859,0.005730185062664145,0.007480420734397442,1000
mpdd,study,I_TRI,tubes,0.01095924191237976,0.0077333889013982094,0.014476271225612082,1000
mpdd,study,I_BAL,bracket_black,0.0012982020408514585,-0.0034905460239950024,0.006045713802126655,1000
mpdd,study,I_BAL,bracket_brown,0.0005993845262663042,-0.0008615392117147349,0.0017735198692209687,1000
mpdd,study,I_BAL,bracket_white,0.0028925067655277124,-0.012140316966775063,0.016836721446747995,1000
mpdd,study,I_BAL,connector,0.01599555164345563,0.006630726563185322,0.0279904533298331,1000
mpdd,study,I_BAL,metal_plate,0.005064695857422862,0.004456092722312119,0.005746291053088091,1000
mpdd,study,I_BAL,tubes,0.011072984919356106,0.007844249414011512,0.014751647437807075,1000
btad,study,I_TRI,01,0.0002853522326863412,-0.004336654122103555,0.005826798889617192,1000
btad,study,I_TRI,02,-0.0013263348536280146,-0.0028590307159700587,0.0004453778164635313,1000
btad,study,I_TRI,03,0.0004504761957119717,-0.002049456954852205,0.0033268498046402865,1000
btad,study,I_BAL,01,0.0010815104157900599,-0.0034569112083310126,0.006534775618269499,1000
btad,study,I_BAL,02,-0.001609549448445089,-0.0029416908047898596,-7.518252037316566e-05,1000
btad,study,I_BAL,03,-0.002091492486336537,-0.004398472705692385,0.0003746283359877727,1000
btad,corrected,I_TRI,01,0.0002853522326863412,-0.004336654122103555,0.005826798889617192,1000
btad,corrected,I_TRI,02,-0.0013263348536280146,-0.0028590307159700587,0.0004453778164635313,1000
btad,corrected,I_TRI,03,0.0004185247503289999,-0.002309072730634613,0.0033138131540955927,1000
btad,corrected,I_BAL,01,0.0010815104157900599,-0.0034569112083310126,0.006534775618269499,1000
btad,corrected,I_BAL,02,-0.001609549448445089,-0.0029416908047898596,-7.518252037316566e-05,1000
btad,corrected,I_BAL,03,-0.002155620868107518,-0.004580231600304527,0.0004091067559337298,1000
