method,dataset,seed,shot,category,geometry,region_grid,region_fraction_of_canvas,pixel_ap,pixel_auroc,n_pixels,seconds,source,source_table,note
PatchCore_harmonised448,btad,0,1,01,resize 448 / imagesize 448,392x392,0.765625,0.3403012648094415,0.9402227808540005,10756480,1.43,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions\mvtec_01.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,btad,0,1,01,resize 256 / imagesize 224,392x392,0.765625,0.39392715276832413,0.9357594118485035,10756480,1.15,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_01.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,btad,0,1,01,resize 144 / imagesize 128,392x392,0.765625,0.12362559167484184,0.7937467382040119,10756480,1.29,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_01.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,btad,0,1,02,resize 448 / imagesize 448,392x392,0.765625,0.6645880416668459,0.9636962217908658,35342720,5.45,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions\mvtec_02.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,btad,0,1,02,resize 256 / imagesize 224,392x392,0.765625,0.5330272807781027,0.9499253297122056,35342720,5.53,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_02.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,btad,0,1,02,resize 144 / imagesize 128,392x392,0.765625,0.44873728976464844,0.9356543348494873,35342720,4.83,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_02.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,btad,0,1,03,resize 448 / imagesize 448,392x392,0.5835777126099707,0.11272658229531478,0.9722118211827531,67765824,10.11,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions\mvtec_03.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,btad,0,1,03,resize 256 / imagesize 224,392x392,0.5835777126099707,0.08086273509700226,0.9584432663185029,67765824,7.93,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_03.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,btad,0,1,03,resize 144 / imagesize 128,392x392,0.5835777126099707,0.06033230975945057,0.9092234608137325,67765824,8.84,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_03.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mpdd,0,1,bracket_black,resize 448 / imagesize 448,392x392,0.765625,0.006254671422096857,0.9049595087615055,12139456,1.5,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,bracket_black,resize 256 / imagesize 224,392x392,0.765625,0.0033476125303712545,0.8434474064940353,12139456,1.15,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,bracket_black,resize 144 / imagesize 128,392x392,0.765625,0.0023397370272130336,0.7680796635167739,12139456,1.16,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
