method,dataset,seed,shot,n_categories,macro_pixel_ap,interval_pixel_ap_lo,interval_pixel_ap_hi,bootstrap_mean,geometry
PatchCore_harmonised448,btad,0,1,3,0.372538629590534,0.3314551838406603,0.42897257714260995,0.37721011141878175,resize 448 / imagesize 448
PatchCore_harmonised448,mpdd,0,1,6,0.21096606878233548,0.1977894308189996,0.2271922974303406,0.21194119021261845,resize 448 / imagesize 448
PatchCore_harmonised448,mvtec,0,1,15,0.5050103778616779,0.48602178149608427,0.5245955927716455,0.5058027285264008,resize 448 / imagesize 448
PatchCore_harmonised448,visa,0,1,12,0.3227581103913803,0.2959542236834185,0.3468050601669489,0.32096436283058144,resize 448 / imagesize 448
PatchCore_native_official224,btad,0,1,3,0.3359390562144764,0.29201890799808455,0.37917704044224976,0.3363861678754422,resize 256 / imagesize 224
PatchCore_native_official224,mpdd,0,1,6,0.17638839793099356,0.168357741197768,0.18774454593774795,0.1773163272881925,resize 256 / imagesize 224
PatchCore_native_official224,mvtec,0,1,15,0.47336794509133295,0.4517797000371153,0.49561042992450977,0.47375787201705577,resize 256 / imagesize 224
PatchCore_native_official224,visa,0,1,12,0.27164765132072854,0.24383528093792464,0.29670607883993877,0.2700302535454807,resize 256 / imagesize 224
PatchCore_native_local128,btad,0,1,3,0.21089839706631364,0.18422003186256836,0.24150093237901463,0.2124324916673301,resize 144 / imagesize 128
PatchCore_native_local128,mpdd,0,1,6,0.15373357745059035,0.1430425823848844,0.16616575348768217,0.154616584459776,resize 144 / imagesize 128
PatchCore_native_local128,mvtec,0,1,15,0.36812042460633365,0.3434922313167558,0.3916749746243433,0.36806406875319303,resize 144 / imagesize 128
PatchCore_native_local128,visa,0,1,12,0.21511343751616,0.18697796618557835,0.23621093971226859,0.21352778658545377,resize 144 / imagesize 128
