dataset,seed,shot,category,method,pixel_ap
btad,0,1,01,A1_J,0.57411184920154423
btad,0,1,01,A1_L,0.5855472032158785
btad,0,1,01,B,0.54327309633295995
btad,0,1,01,BAL_J,0.55920956776667363
btad,0,1,01,BAL_L,0.57558869315888728
btad,0,1,01,C,0.5010614329942592
btad,0,1,01,DUP_BAL_J,0.57411184920154423
btad,0,1,01,DUP_EXPECTED_J,0.56310286385217545
btad,0,1,01,DUP_J,0.56310286385217545
btad,0,1,01,DUP_L,0.57129037606751221
btad,0,1,01,S,0.38770539668648735
btad,0,1,01,TRI_J,0.54711310407230518
btad,0,1,01,TRI_L,0.55966661376401383
btad,0,2,01,A1_J,0.57971282330669127
btad,0,2,01,A1_L,0.58765196162564348
btad,0,2,01,B,0.54709030768273381
btad,0,2,01,BAL_J,0.55827264836765733
btad,0,2,01,BAL_L,0.562791221743981
btad,0,2,01,C,0.51223108259664496
btad,0,2,01,DUP_BAL_J,0.57971282330669127
btad,0,2,01,DUP_EXPECTED_J,0.56775034227883325
btad,0,2,01,DUP_J,0.56775034227883325
btad,0,2,01,DUP_L,0.57362762746126716
btad,0,2,01,S,0.32757732142046581
btad,0,2,01,TRI_J,0.54266447016589847
btad,0,2,01,TRI_L,0.54340098168143691
btad,0,4,01,A1_J,0.58777595257160975
btad,0,4,01,A1_L,0.59719804928818232
btad,0,4,01,B,0.5630009588299526
btad,0,4,01,BAL_J,0.57073869952101275
btad,0,4,01,BAL_L,0.57489539523271227
btad,0,4,01,C,0.50980576100145103
btad,0,4,01,DUP_BAL_J,0.58777595257160975
btad,0,4,01,DUP_EXPECTED_J,0.57823894725964409
btad,0,4,01,DUP_J,0.57823894725964409
btad,0,4,01,DUP_L,0.58548852973499832
btad,0,4,01,S,0.35569656363743302
btad,0,4,01,TRI_J,0.56055298979181623
btad,0,4,01,TRI_L,0.56019368102277856
btad,0,8,01,A1_J,0.6035477000610352
btad,0,8,01,A1_L,0.61258752458150179
btad,0,8,01,B,0.58868979408526001
btad,0,8,01,BAL_J,0.58490724323737486
btad,0,8,01,BAL_L,0.58940240350919149
btad,0,8,01,C,0.50958177919004533
btad,0,8,01,DUP_BAL_J,0.6035477000610352
btad,0,8,01,DUP_EXPECTED_J,0.59862980079411765
btad,0,8,01,DUP_J,0.59862980079411765
btad,0,8,01,DUP_L,0.60562471469442269
btad,0,8,01,S,0.40151195705923809
btad,0,8,01,TRI_J,0.57870674706950909
btad,0,8,01,TRI_L,0.58111885075345415
btad,1,1,01,A1_J,0.6000953032555657
btad,1,1,01,A1_L,0.60347609716101103
btad,1,1,01,B,0.57381271918348986
btad,1,1,01,BAL_J,0.57595493429375177
btad,1,1,01,BAL_L,0.58364496261026944
btad,1,1,01,C,0.49396244481119372
btad,1,1,01,DUP_BAL_J,0.6000953032555657
btad,1,1,01,DUP_EXPECTED_J,0.59117800435064294
btad,1,1,01,DUP_J,0.59117800435064294
btad,1,1,01,DUP_L,0.59399543500944962
btad,1,1,01,S,0.39613946267822381
btad,1,1,01,TRI_J,0.5657731768783979
btad,1,1,01,TRI_L,0.57238541750726035
btad,1,2,01,A1_J,0.60102817230580841
btad,1,2,01,A1_L,0.60387368019831844
btad,1,2,01,B,0.57538654584520454
btad,1,2,01,BAL_J,0.58011089685636619
btad,1,2,01,BAL_L,0.58995075915539541
btad,1,2,01,C,0.49454180678718829
btad,1,2,01,DUP_BAL_J,0.60102817230580841
btad,1,2,01,DUP_EXPECTED_J,0.59265707046518024
btad,1,2,01,DUP_J,0.59265707046518024
btad,1,2,01,DUP_L,0.59471046935298566
btad,1,2,01,S,0.42090635710092572
btad,1,2,01,TRI_J,0.5728593057238105
btad,1,2,01,TRI_L,0.58118997459454125
btad,1,4,01,A1_J,0.60888681698734892
btad,1,4,01,A1_L,0.61178796592798446
btad,1,4,01,B,0.58564219391513195
btad,1,4,01,BAL_J,0.59082174757289496
btad,1,4,01,BAL_L,0.59453302481895021
btad,1,4,01,C,0.50195491054490549
btad,1,4,01,DUP_BAL_J,0.60888681698734892
btad,1,4,01,DUP_EXPECTED_J,0.60179184114702466
btad,1,4,01,DUP_J,0.60179184114702466
btad,1,4,01,DUP_L,0.60394216460274919
btad,1,4,01,S,0.42405294038966501
btad,1,4,01,TRI_J,0.58348765689904791
btad,1,4,01,TRI_L,0.58683149760892261
btad,1,8,01,A1_J,0.61031266806562123
btad,1,8,01,A1_L,0.61250087682059884
btad,1,8,01,B,0.58750018243868807
btad,1,8,01,BAL_J,0.59005234983251409
btad,1,8,01,BAL_L,0.59182059792244335
btad,1,8,01,C,0.50966054600921529
btad,1,8,01,DUP_BAL_J,0.61031266806562123
btad,1,8,01,DUP_EXPECTED_J,0.60268602262190685
btad,1,8,01,DUP_J,0.60268602262190685
btad,1,8,01,DUP_L,0.60473829311009997
btad,1,8,01,S,0.41432296872447621
btad,1,8,01,TRI_J,0.58219847438669237
btad,1,8,01,TRI_L,0.58296022017846738
mpdd,0,1,bracket_black,A1_J,0.010484232161356622
mpdd,0,1,bracket_black,A1_L,0.0095562285195461769
