dataset,seed,shot,contrast,stride8_point_delta,stride1_point_delta,same_sign,both_below_scale,reversal_above_scale
mpdd,1,4,TRI_J - DUP_J,-0.0037602022539937607,-0.003923246026365512,True,True,False
mpdd,1,4,TRI_L - DUP_L,0.009013719085151028,0.007928720677964962,True,False,False
mpdd,1,4,BAL_J - A1_J,-0.00812788360875183,-0.012902867945874252,True,False,False
mpdd,1,4,BAL_L - A1_L,0.002473668352970748,-0.001314834742893789,False,True,False
mpdd,1,8,A1_L - A1_J,0.0060851809488878805,0.006994150344162731,True,False,False
mpdd,1,8,TRI_L - TRI_J,0.010457303962984,0.013630842445397195,True,False,False
mpdd,1,8,BAL_L - BAL_J,0.015384664057694453,0.01427926631885279,True,False,False
mpdd,1,8,DUP_L - DUP_J,0.0024376663893970196,0.0031051684755090125,True,True,False
mpdd,1,8,DUP_J - A1_J,-0.005438313442564846,-0.0072649902465957705,True,False,False
mpdd,1,8,TRI_J - DUP_J,0.0012642491806015843,-0.006446326701943728,False,False,True
mpdd,1,8,TRI_L - DUP_L,0.009283886754188564,0.004079347267944455,True,False,False
mpdd,1,8,BAL_J - A1_J,-0.00439881988618418,-0.007054496465426663,True,False,False
mpdd,1,8,BAL_L - A1_L,0.004900663222622392,0.0002306195092633967,True,True,False
mpdd,2,1,A1_L - A1_J,0.005958376004808585,0.006679450272134346,True,False,False
mpdd,2,1,TRI_L - TRI_J,0.00751353684299072,0.00789112677566689,True,False,False
mpdd,2,1,BAL_L - BAL_J,0.008510918781264865,0.007811674924288692,True,False,False
mpdd,2,1,DUP_L - DUP_J,0.003401988703005565,0.004905132331712914,True,True,False
mpdd,2,1,DUP_J - A1_J,-0.010141802858589843,-0.011633511913143435,True,False,False
mpdd,2,1,TRI_J - DUP_J,-0.002600117764264942,-0.0026491978022795126,True,True,False
mpdd,2,1,TRI_L - DUP_L,0.001511430375720213,0.0003367966416744639,True,True,False
mpdd,2,1,BAL_J - A1_J,-0.0023644622306677188,-0.002475325701494613,True,True,False
mpdd,2,1,BAL_L - A1_L,0.00018808054578856037,-0.0013431010493402673,False,True,False
mpdd,2,2,A1_L - A1_J,0.004844441210053119,0.005206660207214053,True,False,False
mpdd,2,2,TRI_L - TRI_J,0.009573934191182631,0.01092550946495835,True,False,False
mpdd,2,2,BAL_L - BAL_J,0.011475343451639475,0.011199640393908694,True,False,False
mpdd,2,2,DUP_L - DUP_J,0.0013452291684788453,0.0028339162017290698,True,True,False
mpdd,2,2,DUP_J - A1_J,-0.011033409911936298,-0.016088532265605582,True,False,False
mpdd,2,2,TRI_J - DUP_J,-0.006396742610116746,-0.009134934237568504,True,False,False
mpdd,2,2,TRI_L - DUP_L,0.0018319624125870404,-0.0010433409743392241,False,True,False
mpdd,2,2,BAL_J - A1_J,-0.004704278193553346,-0.008606346751403926,True,False,False
mpdd,2,2,BAL_L - A1_L,0.00192662404803301,-0.002613366564709285,False,True,False
mpdd,2,4,A1_L - A1_J,0.007124482729511217,0.0072366581645123,True,False,False
mpdd,2,4,TRI_L - TRI_J,0.010361124422771206,0.014147183853363055,True,False,False
mpdd,2,4,BAL_L - BAL_J,0.012754179177991154,0.014106199057037527,True,False,False
mpdd,2,4,DUP_L - DUP_J,0.0039154245753745265,0.0039802955334031775,True,True,False
mpdd,2,4,DUP_J - A1_J,-0.009520472389933254,-0.011789360358122891,True,False,False
mpdd,2,4,TRI_J - DUP_J,0.0026179320637526593,-0.0048217264426604345,False,True,False
mpdd,2,4,TRI_L - DUP_L,0.009063631911149339,0.0053451618772994425,True,False,False
mpdd,2,4,BAL_J - A1_J,-0.003721202268766377,-0.00886282367474811,True,False,False
mpdd,2,4,BAL_L - A1_L,0.0019084941797135602,-0.0019932827822228827,False,True,False
mpdd,2,8,A1_L - A1_J,0.010875613694074693,0.009120063925653732,True,False,False
mpdd,2,8,TRI_L - TRI_J,0.016334453970539786,0.012560465650136465,True,False,False
mpdd,2,8,BAL_L - BAL_J,0.018343557409096378,0.017108952804286037,True,False,False
mpdd,2,8,DUP_L - DUP_J,0.005438998788830807,0.004058328201899164,True,False,False
mpdd,2,8,DUP_J - A1_J,-0.004555456077993236,-0.006057051344602549,True,False,False
mpdd,2,8,TRI_J - DUP_J,-0.003958940896146845,-0.0050036226304532305,True,False,False
mpdd,2,8,TRI_L - DUP_L,0.006936514285562134,0.003498514817784071,True,False,False
mpdd,2,8,BAL_J - A1_J,-0.003544251317578073,-0.0059518015016543635,True,False,False
mpdd,2,8,BAL_L - A1_L,0.003923692397443612,0.002037087376977942,True,True,False
btad,0,1,A1_L - A1_J,0.009177937732827157,0.009227584657483745,True,False,False
btad,0,1,TRI_L - TRI_J,0.007874394094374293,0.007914318994770686,True,False,False
btad,0,1,BAL_L - BAL_J,0.009044160400819679,0.009112579436813428,True,False,False
btad,0,1,DUP_L - DUP_J,0.0067767270525139756,0.006679792022816433,True,False,False
btad,0,1,DUP_J - A1_J,-0.009423002480906884,-0.009701443547253219,True,False,False
btad,0,1,TRI_J - DUP_J,0.023474658393889403,0.023208495913361604,True,False,False
btad,0,1,TRI_L - DUP_L,0.02457232543574972,0.024443022885315857,True,False,False
btad,0,1,BAL_J - A1_J,0.016970510170744135,0.016558228119947782,True,False,False
btad,0,1,BAL_L - A1_L,0.016836732838736657,0.016443222899277465,True,False,False
btad,0,2,A1_L - A1_J,0.010699037578276172,0.010626609085100158,True,False,False
btad,0,2,TRI_L - TRI_J,0.005942639679559214,0.005884639265076319,True,False,False
btad,0,2,BAL_L - BAL_J,0.00886602825228644,0.008830366557150748,True,False,False
btad,0,2,DUP_L - DUP_J,0.006903574048740646,0.0068385009052437384,True,False,False
btad,0,2,DUP_J - A1_J,-0.006929912415096995,-0.007245617821789452,True,False,False
btad,0,2,TRI_J - DUP_J,0.010113324362972187,0.010036282583393175,True,False,False
btad,0,2,TRI_L - DUP_L,0.009152389993790755,0.009082420943225755,True,False,False
btad,0,2,BAL_J - A1_J,0.005774853072771258,0.005525371160325698,True,False,False
btad,0,2,BAL_L - A1_L,0.003941843746781526,0.0037291286323762884,True,True,False
btad,0,4,A1_L - A1_J,0.011246297257146987,0.011129136317889365,True,False,False
btad,0,4,TRI_L - TRI_J,0.004162019693441321,0.004041894906841481,True,True,False
btad,0,4,BAL_L - BAL_J,0.008044782277365936,0.007987271985248734,True,False,False
btad,0,4,DUP_L - DUP_J,0.007225228454632804,0.0071535579042708575,True,False,False
btad,0,4,DUP_J - A1_J,-0.007132459783747214,-0.007228385828354944,True,False,False
btad,0,4,TRI_J - DUP_J,0.01047206602879025,0.009957052859686621,True,False,False
btad,0,4,TRI_L - DUP_L,0.007408857267598767,0.006845389862257245,True,False,False
btad,0,4,BAL_J - A1_J,0.0054490867237215745,0.004948493304343549,True,False,False
btad,0,4,BAL_L - A1_L,0.002247571743940524,0.0018066289717029171,True,True,False
btad,0,8,A1_L - A1_J,0.008821682849176837,0.008829225443471533,True,False,False
btad,0,8,TRI_L - TRI_J,0.0039579374848799365,0.003862730930281666,True,True,False
btad,0,8,BAL_L - BAL_J,0.005918909793587779,0.005810011813440208,True,False,False
btad,0,8,DUP_L - DUP_J,0.006466120231168437,0.006404772913453094,True,False,False
btad,0,8,DUP_J - A1_J,-0.008319240042894527,-0.008291221282627381,True,False,False
btad,0,8,TRI_J - DUP_J,0.00826943967003091,0.007804258748465132,True,False,False
btad,0,8,TRI_L - DUP_L,0.005761256923742408,0.0052622167652937035,True,False,False
btad,0,8,BAL_J - A1_J,0.0037485845049388677,0.0033895245408773755,True,True,False
btad,0,8,BAL_L - A1_L,0.0008458114493498092,0.00037031091084605006,True,True,False
btad,1,1,A1_L - A1_J,0.008180788796294802,0.008289384849244574,True,False,False
btad,1,1,TRI_L - TRI_J,0.008616562086054103,0.008601239709835395,True,False,False
btad,1,1,BAL_L - BAL_J,0.009857271186322403,0.00993651348237945,True,False,False
btad,1,1,DUP_L - DUP_J,0.005993896012806532,0.005948190495153938,True,False,False
btad,1,1,DUP_J - A1_J,-0.01055440944461794,-0.010478104115228648,True,False,False
btad,1,1,TRI_J - DUP_J,0.015273688569154231,0.014758896010484412,True,False,False
btad,1,1,TRI_L - DUP_L,0.0178963546424018,0.01741194522516587,True,False,False
btad,1,1,BAL_J - A1_J,0.009393903939335702,0.008947191328482984,True,False,False
btad,1,1,BAL_L - A1_L,0.011070386329363302,0.01059431996161786,True,False,False
btad,1,2,A1_L - A1_J,0.00771003021370209,0.0076177853526905315,True,False,False
btad,1,2,TRI_L - TRI_J,0.00792807584853994,0.007826424297606271,True,False,False
btad,1,2,BAL_L - BAL_J,0.0089973725207807,0.008864425599650616,True,False,False
btad,1,2,DUP_L - DUP_J,0.005764473951311855,0.005615164150451379,True,False,False
btad,1,2,DUP_J - A1_J,-0.01119509782222261,-0.011134656040536539,True,False,False
btad,1,2,TRI_J - DUP_J,0.015030193230998079,0.014521961592546928,True,False,False
btad,1,2,TRI_L - DUP_L,0.017193795128226164,0.01673322173970182,True,False,False
btad,1,2,BAL_J - A1_J,0.008443190131757095,0.008060700742082982,True,False,False
btad,1,2,BAL_L - A1_L,0.009730532438835704,0.009307340989043067,True,False,False
btad,1,4,A1_L - A1_J,0.0065572966248135245,0.006447488709129479,True,False,False
btad,1,4,TRI_L - TRI_J,0.003828833705634138,0.0037613279560885227,True,True,False
btad,1,4,BAL_L - BAL_J,0.005012663560169162,0.005016806975742916,True,False,False
btad,1,4,DUP_L - DUP_J,0.004432201997577323,0.004269237263922587,True,True,False
btad,1,4,DUP_J - A1_J,-0.010794933447659694,-0.01079693185398134,True,False,False
btad,1,4,TRI_J - DUP_J,0.02121729322086019,0.02067704167378326,True,False,False
btad,1,4,TRI_L - DUP_L,0.020613924928917005,0.020169132365949194,True,False,False
btad,1,4,BAL_J - A1_J,0.014543007356093818,0.01404139830686335,True,False,False
btad,1,4,BAL_L - A1_L,0.012998374291449455,0.012610716573476788,True,False,False
btad,1,8,A1_L - A1_J,0.003987209155916438,0.003959134651286278,True,True,False
btad,1,8,TRI_L - TRI_J,0.0005176577732145526,0.0004284701311053629,True,True,False
btad,1,8,BAL_L - BAL_J,0.0012884790562878168,0.00137053980876356,True,True,False
btad,1,8,DUP_L - DUP_J,0.00308959144721066,0.002982540720774085,True,True,False
btad,1,8,DUP_J - A1_J,-0.0123553163614335,-0.012347305455876256,True,False,False
btad,1,8,TRI_J - DUP_J,0.018919438072829697,0.018526578569952545,True,False,False
btad,1,8,TRI_L - DUP_L,0.01634750439883359,0.015972507980283823,True,False,False
btad,1,8,BAL_J - A1_J,0.012598370111092216,0.012109110291316338,True,False,False
btad,1,8,BAL_L - A1_L,0.009899640011463595,0.00952051544879362,True,False,False
