Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,0.9817460317460317,0.980645922687046,0.977410549921453
mvtec_cable,0.5935157421289355,0.928702753141408,0.9276007798232783
mvtec_capsule,0.8448344635021939,0.9753193815684434,0.974286336242121
mvtec_carpet,0.9626805778491171,0.9920493696883865,0.9907934352928061
mvtec_grid,0.6031746031746033,0.6255588929311322,0.6223094788840918
mvtec_hazelnut,0.9642857142857143,0.9652266945397443,0.9610112622313447
mvtec_leather,0.9983016304347826,0.9958596912999638,0.9945160712220756
mvtec_metal_nut,0.8411534701857283,0.953092359966816,0.9539822217821519
mvtec_pill,0.8030551009274413,0.9584692112976126,0.9574831562823818
mvtec_screw,0.42836646853863497,0.9439410439363116,0.9449256091172422
mvtec_tile,1.0,0.9775019828175051,0.9688634906671418
mvtec_toothbrush,0.8722222222222223,0.9702054397272445,0.9676629326043428
mvtec_transistor,0.8741666666666666,0.7601614094834331,0.7591024515608042
mvtec_wood,0.9859649122807018,0.9544340726642271,0.9463000148341992
mvtec_zipper,0.9359243697478992,0.9891761552487326,0.9876341769337407
Mean,0.8459594649127116,0.931356292066534,0.9289254644932783
