seed,shot,method,pixel_stride,n_categories,pixel_auroc_stride1,pixel_ap_stride1,pixel_auroc_stride8,pixel_ap_stride8,image_auroc,image_ap
0,2,A1_J,1,6,0.963063415482087,0.34845615281935866,0.963955059208344,0.3437071834989405,0.7695362648724188,0.7878200915321022
0,2,A1_J,8,6,0.963063415482087,0.34845615281935866,0.963955059208344,0.3437071834989405,0.7695362648724188,0.7878200915321022
0,2,A1_L,1,6,0.9653136130875013,0.3544343600351183,0.9662239858236413,0.34922278169749643,0.764877745829785,0.7838761297912588
0,2,A1_L,8,6,0.9653136130875013,0.3544343600351183,0.9662239858236413,0.34922278169749643,0.764877745829785,0.7838761297912588
0,2,DUP_J,1,6,0.9592216688770798,0.33790673466663507,0.9602866328690055,0.33525529380214875,0.7555379586071483,0.7623242020626648
0,2,DUP_J,8,6,0.9592216688770798,0.33790673466663507,0.9602866328690055,0.33525529380214875,0.7555379586071483,0.7623242020626648
0,2,DUP_L,1,6,0.9606475993101301,0.340132687768499,0.9617345142702702,0.3363218812245267,0.7524191504720834,0.761967393732002
0,2,DUP_L,8,6,0.9606475993101301,0.340132687768499,0.9617345142702702,0.3363218812245267,0.7524191504720834,0.761967393732002
0,2,TRI_J,1,6,0.9626166693836793,0.33486928031748264,0.9635981635327356,0.33420610023541847,0.759538784609015,0.7741167812538543
0,2,TRI_J,8,6,0.9626166693836793,0.33486928031748264,0.9635981635327356,0.33420610023541847,0.759538784609015,0.7741167812538543
0,2,TRI_L,1,6,0.9661332773395027,0.34516483143351356,0.9671375657240012,0.3407434252145965,0.7600384931204706,0.7749783660552296
0,2,TRI_L,8,6,0.9661332773395027,0.34516483143351356,0.9671375657240012,0.3407434252145965,0.7600384931204706,0.7749783660552296
0,2,BAL_J,1,6,0.9653318301448556,0.34001815966246923,0.9661617929230739,0.3363861579104757,0.7687938155665819,0.7814524769725244
0,2,BAL_J,8,6,0.9653318301448556,0.34001815966246923,0.9661617929230739,0.3363861579104757,0.7687938155665819,0.7814524769725244
0,2,BAL_L,1,6,0.9688858826853545,0.3518323126859802,0.9697350079392045,0.34668088401206015,0.766685701457461,0.7808189437054533
0,2,BAL_L,8,6,0.9688858826853545,0.3518323126859802,0.9697350079392045,0.34668088401206015,0.766685701457461,0.7808189437054533
0,4,A1_J,1,6,0.9694988118456128,0.38699362568098944,0.97033399367425,0.3883278672632295,0.842623082353588,0.8625157633903692
0,4,A1_J,8,6,0.9694988118456128,0.38699362568098944,0.97033399367425,0.3883278672632295,0.842623082353588,0.8625157633903692
0,4,A1_L,1,6,0.972894518476941,0.39459767175176824,0.9736578693372944,0.3922696120665959,0.8464848062437101,0.8706220947208441
0,4,A1_L,8,6,0.972894518476941,0.39459767175176824,0.9736578693372944,0.3922696120665959,0.8464848062437101,0.8706220947208441
0,4,DUP_J,1,6,0.966346457555478,0.3781054707218033,0.9672965221974558,0.3801058414972622,0.8398877402843298,0.8600310448012264
0,4,DUP_J,8,6,0.966346457555478,0.3781054707218033,0.9672965221974558,0.3801058414972622,0.8398877402843298,0.8600310448012264
0,4,DUP_L,1,6,0.9686768126767532,0.3827370358337805,0.9695966828798667,0.3818673648324511,0.8392175315574809,0.8591147493563994
0,4,DUP_L,8,6,0.9686768126767532,0.3827370358337805,0.9695966828798667,0.3818673648324511,0.8392175315574809,0.8591147493563994
0,4,TRI_J,1,6,0.9700015238642724,0.3665574046637092,0.9707595073543835,0.37314304190341074,0.8298594442382535,0.8479921337755041
0,4,TRI_J,8,6,0.9700015238642724,0.3665574046637092,0.9707595073543835,0.37314304190341074,0.8298594442382535,0.8479921337755041
0,4,TRI_L,1,6,0.9744228168328317,0.3801371787031543,0.9751396978064534,0.38439392301538206,0.8365980143193847,0.8627290996728209
0,4,TRI_L,8,6,0.9744228168328317,0.3801371787031543,0.9751396978064534,0.38439392301538206,0.8365980143193847,0.8627290996728209
0,4,BAL_J,1,6,0.972031382988552,0.37379628077881993,0.9727543376663519,0.3781278165191748,0.8339182700820551,0.84868095755595
0,4,BAL_J,8,6,0.972031382988552,0.37379628077881993,0.9727543376663519,0.3781278165191748,0.8339182700820551,0.84868095755595
0,4,BAL_L,1,6,0.9767649081369263,0.38562857502628994,0.9773783952715224,0.3853023775739118,0.8443881516449808,0.8690072544961586
0,4,BAL_L,8,6,0.9767649081369263,0.38562857502628994,0.9773783952715224,0.3853023775739118,0.8443881516449808,0.8690072544961586
1,2,A1_J,1,6,0.9634342730346136,0.36526468358465336,0.9637918188065129,0.3656121316114404,0.7807120002127688,0.8165147625456002
1,2,A1_J,8,6,0.9634342730346136,0.36526468358465336,0.9637918188065129,0.3656121316114404,0.7807120002127688,0.8165147625456002
1,2,A1_L,1,6,0.9671215950980683,0.3719458796042685,0.9675144442394945,0.37233782854055875,0.7783583060567539,0.8240448715683902
1,2,A1_L,8,6,0.9671215950980683,0.3719458796042685,0.9675144442394945,0.37233782854055875,0.7783583060567539,0.8240448715683902
1,2,DUP_J,1,6,0.9597429855252603,0.3566792485218537,0.9601721850051095,0.35920153990001563,0.7576027314399386,0.8051278746506001
1,2,DUP_J,8,6,0.9597429855252603,0.3566792485218537,0.9601721850051095,0.35920153990001563,0.7576027314399386,0.8051278746506001
1,2,DUP_L,1,6,0.9623988253802502,0.3606761421418045,0.9628634544955076,0.3640324610881917,0.7589159807324496,0.8074971270621288
1,2,DUP_L,8,6,0.9623988253802502,0.3606761421418045,0.9628634544955076,0.3640324610881917,0.7589159807324496,0.8074971270621288
1,2,TRI_J,1,6,0.963146181163797,0.34908579167965365,0.9635426534114812,0.352575791582497,0.7643002763796759,0.8098560158851273
1,2,TRI_J,8,6,0.963146181163797,0.34908579167965365,0.9635426534114812,0.352575791582497,0.7643002763796759,0.8098560158851273
1,2,TRI_L,1,6,0.967563596346595,0.3594725813689455,0.9679643503237246,0.3641424024223238,0.7839216698820076,0.8352949841334857
1,2,TRI_L,8,6,0.967563596346595,0.3594725813689455,0.9679643503237246,0.3641424024223238,0.7839216698820076,0.8352949841334857
1,2,BAL_J,1,6,0.9659759852825284,0.35535530515945485,0.9662537754461521,0.3565967070689733,0.775581210996302,0.809261618315596
1,2,BAL_J,8,6,0.9659759852825284,0.35535530515945485,0.9662537754461521,0.3565967070689733,0.775581210996302,0.809261618315596
1,2,BAL_L,1,6,0.9707239386764909,0.36692519567050746,0.9710546447713346,0.3694188177707831,0.7916581371710745,0.8366792364961663
1,2,BAL_L,8,6,0.9707239386764909,0.36692519567050746,0.9710546447713346,0.3694188177707831,0.7916581371710745,0.8366792364961663
1,4,A1_J,1,6,0.9716520086542376,0.4058513415747374,0.9719111233550408,0.39852189015766143,0.8206758833145756,0.8284086939873828
1,4,A1_J,8,6,0.9716520086542376,0.4058513415747374,0.9719111233550408,0.39852189015766143,0.8206758833145756,0.8284086939873828
1,4,A1_L,1,6,0.975096433993227,0.4126099782783528,0.9753248063722287,0.4056390058488392,0.8224607889203579,0.8401362895940238
1,4,A1_L,8,6,0.975096433993227,0.4126099782783528,0.9753248063722287,0.4056390058488392,0.8224607889203579,0.8401362895940238
1,4,DUP_J,1,6,0.9689616941904492,0.3903029192021603,0.9692847103544354,0.38881918983536784,0.8058402244845216,0.8182780529496378
1,4,DUP_J,8,6,0.9689616941904492,0.3903029192021603,0.9692847103544354,0.38881918983536784,0.8058402244845216,0.8182780529496378
1,4,DUP_L,1,6,0.9713077287291917,0.3947348453566173,0.9716241180731454,0.39273081996471054,0.8090476317546161,0.8249919772764928
1,4,DUP_L,8,6,0.9713077287291917,0.3947348453566173,0.9716241180731454,0.39273081996471054,0.8090476317546161,0.8249919772764928
1,4,TRI_J,1,6,0.9706751642254755,0.38637967317579475,0.9709695163947302,0.38505900311744795,0.7891842240960364,0.7952492819101095
1,4,TRI_J,8,6,0.9706751642254755,0.38637967317579475,0.9709695163947302,0.38505900311744795,0.7891842240960364,0.7952492819101095
1,4,TRI_L,1,6,0.9753727189478444,0.4026635660345819,0.9756284485080778,0.4017445503508217,0.8097401894453236,0.825497788220455
1,4,TRI_L,8,6,0.9753727189478444,0.4026635660345819,0.9756284485080778,0.4017445503508217,0.8097401894453236,0.825497788220455
1,4,BAL_J,1,6,0.9725576437723932,0.39294847362886315,0.9727573953699662,0.39039426720393716,0.8016067530236396,0.7979375588929535
1,4,BAL_J,8,6,0.9725576437723932,0.39294847362886315,0.9727573953699662,0.39039426720393716,0.8016067530236396,0.7979375588929535
1,4,BAL_L,1,6,0.9776679670374461,0.41129514353545843,0.9778521482806514,0.4081126858389192,0.8192333986240432,0.8320818735235771
1,4,BAL_L,8,6,0.9776679670374461,0.41129514353545843,0.9778521482806514,0.4081126858389192,0.8192333986240432,0.8320818735235771
